phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.007638709848436217,-213776.890625,,0.004709342990753528,,,5s
retrain,2,0.006118247458804398,-271596.875,,0.004709342990753528,,,10s
retrain,3,0.008420281074444452,-281820.75,,0.004709342990753528,,,15s
retrain,4,0.006087507614388596,-285935.40625,,0.004709342990753528,,,20s
retrain,5,0.0050817806067876515,-288211.875,,0.004709342990753528,,,26s
retrain,6,0.006754081970344608,-288507.5625,,0.004709342990753528,,,31s
retrain,7,0.006649133948488937,-290356.625,,0.004709342990753528,,,36s
retrain,8,0.006940311782279362,-290777.09375,,0.004709342990753528,,,41s
retrain,9,0.003720757405444359,-294614.25,,0.004709342990753528,,,46s
retrain,10,0.002180697978924339,-300594.75,,0.004709342990753528,,,51s
retrain,11,0.006405680171132553,-301411.5,,0.004709342990753528,,,57s
retrain,12,0.010984266975575883,-298606.34375,,0.004709342990753528,,,1m02s
