phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.007638709848436217,-213776.890625,,0.004709342990753528,,,5s
retrain,2,0.006118247458804398,-271596.875,,0.004709342990753528,,,10s
retrain,3,0.008420281074444452,-281820.75,,0.004709342990753528,,,15s
retrain,4,0.006087507614388596,-285935.40625,,0.004709342990753528,,,20s
retrain,5,0.0050817806067876515,-288211.875,,0.004709342990753528,,,26s
retrain,6,0.006754081970344608,-288507.5625,,0.004709342990753528,,,31s
retrain,7,0.006649133948488937,-290356.625,,0.004709342990753528,,,36s
retrain,8,0.006940311782279362,-290777.09375,,0.004709342990753528,,,41s
retrain,9,0.003720757405444359,-294614.25,,0.004709342990753528,,,46s
retrain,10,0.002180697978924339,-300594.75,,0.004709342990753528,,,51s
retrain,11,0.006405680171132553,-301411.5,,0.004709342990753528,,,57s
retrain,12,0.010984266975575883,-298606.34375,,0.004709342990753528,,,1m02s
retrain,13,0.005593245896485557,-300642.28125,,0.004709342990753528,,,1m07s
retrain,14,0.0032336922301251132,-305002.03125,,0.004709342990753528,,,1m12s
retrain,15,0.0014422081488368954,-311544.03125,,0.004709342990753528,,,1m17s
retrain,16,0.009754873692632343,-307251.40625,,0.004709342990753528,,,1m22s
retrain,17,0.005490698667369239,-308481.3125,,0.004709342990753528,,,1m28s
retrain,18,0.0033384474480932114,-312086.96875,,0.004709342990753528,,,1m33s
retrain,19,0.003430313262330795,-316123.15625,,0.004709342990753528,,,1m38s
retrain,20,0.004293149180754942,-318514.15625,,0.004709342990753528,0.9812,103.38,1m43s
retrain,21,0.006939867516702118,-317495.90625,,0.004709342990753528,,,1m49s
retrain,22,0.006879745649175796,-317327.28125,,0.004709342990753528,,,1m54s
retrain,23,0.0031516208281430107,-321085.9375,,0.004709342990753528,,,1m59s
retrain,24,0.005161598734553263,-322442.65625,,0.004709342990753528,,,2m05s
retrain,25,0.004965005681772406,-324846.875,,0.004709342990753528,,,2m10s
retrain,26,0.0015415788412603433,-332582.71875,,0.004709342990753528,,,2m15s
retrain,27,0.0002295815651533,-344390.21875,,0.004709342990753528,,,2m20s
retrain,28,0.00011206561860065752,-360112.0625,,0.004709342990753528,,,2m25s
retrain,29,0.00017971499223591914,-379961.71875,,0.004709342990753528,,,2m30s
retrain,30,0.02043440210397821,-357962.96875,,0.004709342990753528,,,2m36s
retrain,31,0.005524743080736759,-362825.90625,,0.004709342990753528,,,2m41s
retrain,32,0.0032122965488233604,-369296.03125,,0.004709342990753528,,,2m46s
retrain,33,0.0008184118540229974,-381995.875,,0.004709342990753528,,,2m51s
retrain,34,0.00023689313791595243,-400420.65625,,0.004709342990753528,,,2m57s
retrain,35,0.00016506936704972758,-425961.15625,,0.004709342990753528,,,3m02s
retrain,36,0.00023476946631368871,-466450.8125,,0.004709342990753528,,,3m08s
retrain,37,0.024421991004334995,-432030.21875,,0.004709342990753528,,,3m13s
retrain,38,0.006580941674718633,-444873.53125,,0.004709342990753528,,,3m18s
retrain,39,0.0033659722664936757,-463576.875,,0.004709342990753528,,,3m24s
retrain,40,0.001531718068725119,-496370.5,,0.004709342990753528,0.9838,55.57,3m29s
