phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.009086355790689898,-215604.4375,,0.0044376464843244035,,,5s
retrain,2,0.007084332392574288,-270641.5625,,0.0044376464843244035,,,10s
retrain,3,0.004377687611601626,-282328.625,,0.0044376464843244035,,,15s
retrain,4,0.0070212020688341,-284795.3125,,0.0044376464843244035,,,20s
retrain,5,0.009018482260697055,-284691.46875,,0.0044376464843244035,,,25s
retrain,6,0.004649482967172904,-287686.9375,,0.0044376464843244035,,,31s
retrain,7,0.007217643274479391,-287792.09375,,0.0044376464843244035,,,36s
retrain,8,0.005292866514262278,-289680.15625,,0.0044376464843244035,,,41s
retrain,9,0.002587284747416076,-294182.90625,,0.0044376464843244035,,,46s
retrain,10,0.009629357961425557,-292030.3125,,0.0044376464843244035,,,52s
retrain,11,0.004251461542803251,-294430.78125,,0.0044376464843244035,,,57s
retrain,12,0.0038468506814194068,-297586.65625,,0.0044376464843244035,,,1m02s
retrain,13,0.006086452177892594,-297813.375,,0.0044376464843244035,,,1m08s
retrain,14,0.00455888467670884,-299528.15625,,0.0044376464843244035,,,1m13s
retrain,15,0.0063214829719509,-298980.25,,0.0044376464843244035,,,1m18s
retrain,16,0.006080212573202637,-298830.8125,,0.0044376464843244035,,,1m24s
retrain,17,0.0021639492409090354,-303480.28125,,0.0044376464843244035,,,1m29s
retrain,18,0.0006891757718481434,-311271.625,,0.0044376464843244035,,,1m34s
retrain,19,0.0009345247424498666,-320275.21875,,0.0044376464843244035,,,1m39s
retrain,20,0.011998985844827257,-315343.5,,0.0044376464843244035,0.9785,104.36,1m45s
retrain,21,0.007270374869035246,-315872.59375,,0.0044376464843244035,,,1m50s
retrain,22,0.005348679229873233,-316727.75,,0.0044376464843244035,,,1m55s
retrain,23,0.001170797264726328,-324161.3125,,0.0044376464843244035,,,2m01s
retrain,24,0.0005394994147296529,-333822.28125,,0.0044376464843244035,,,2m06s
retrain,25,0.00021831129616475665,-346913.0,,0.0044376464843244035,,,2m11s
retrain,26,0.00013024206157715524,-364462.21875,,0.0044376464843244035,,,2m16s
retrain,27,0.0001227343561234496,-388155.84375,,0.0044376464843244035,,,2m21s
retrain,28,0.02558851192853957,-359446.84375,,0.0044376464843244035,,,2m26s
retrain,29,0.005422587544587441,-363637.5,,0.0044376464843244035,,,2m31s
retrain,30,0.0018326977777702268,-371544.96875,,0.0044376464843244035,,,2m37s
retrain,31,0.0037727333906572313,-377296.28125,,0.0044376464843244035,,,2m42s
retrain,32,0.003513761818030616,-383929.5625,,0.0044376464843244035,,,2m47s
retrain,33,0.006816287684941198,-382306.15625,,0.0044376464843244035,,,2m52s
retrain,34,0.009517258467944338,-379922.5,,0.0044376464843244035,,,2m57s
retrain,35,0.0038804580547090154,-386265.8125,,0.0044376464843244035,,,3m02s
retrain,36,0.0021362758314741465,-396174.90625,,0.0044376464843244035,,,3m07s
retrain,37,0.002189266292589794,-407948.6875,,0.0044376464843244035,,,3m13s
retrain,38,0.006972205844777636,-405547.5,,0.0044376464843244035,,,3m18s
retrain,39,0.007270164361891027,-406324.1875,,0.0044376464843244035,,,3m23s
retrain,40,0.0056186232700555895,-412358.71875,,0.0044376464843244035,0.9838,64.90,3m29s
