phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.009136038345781465,-221218.28125,,0.0034646115110451804,,,5s
retrain,2,0.004994564543326851,-274303.6875,,0.0034646115110451804,,,10s
retrain,3,0.005487503900169395,-283193.3125,,0.0034646115110451804,,,15s
retrain,4,0.006598177728937784,-283276.46875,,0.0034646115110451804,,,20s
retrain,5,0.006317946576753942,-283272.53125,,0.0034646115110451804,,,26s
retrain,6,0.006184479467165268,-283802.53125,,0.0034646115110451804,,,31s
retrain,7,0.007619850024658566,-283063.15625,,0.0034646115110451804,,,36s
retrain,8,0.0031934283625121075,-285305.875,,0.0034646115110451804,,,41s
retrain,9,0.008114354853481442,-283890.125,,0.0034646115110451804,,,46s
retrain,10,0.006596493528108113,-283391.90625,,0.0034646115110451804,,,52s
retrain,11,0.002386427804528891,-286219.25,,0.0034646115110451804,,,57s
retrain,12,0.004227886793471407,-286434.625,,0.0034646115110451804,,,1m02s
retrain,13,0.008071944709514112,-284235.65625,,0.0034646115110451804,,,1m07s
retrain,14,0.0051143015367386396,-284847.21875,,0.0034646115110451804,,,1m12s
retrain,15,0.0024963268312067763,-288060.75,,0.0034646115110451804,,,1m18s
retrain,16,0.006341415949864313,-287344.125,,0.0034646115110451804,,,1m23s
retrain,17,0.004818472482985817,-287088.40625,,0.0034646115110451804,,,1m28s
retrain,18,0.007902616876922548,-284699.1875,,0.0034646115110451804,,,1m33s
retrain,19,0.006286378461661904,-284302.90625,,0.0034646115110451804,,,1m39s
retrain,20,0.0024711762986922015,-287076.59375,,0.0034646115110451804,0.9829,117.06,1m44s
retrain,21,0.0016795626717568666,-290763.3125,,0.0034646115110451804,,,1m49s
retrain,22,0.005299652670842867,-290327.21875,,0.0034646115110451804,,,1m55s
retrain,23,0.007084945319199081,-288635.875,,0.0034646115110451804,,,2m00s
retrain,24,0.0036732986196831917,-290593.0,,0.0034646115110451804,,,2m05s
retrain,25,0.0045105968716263305,-290965.09375,,0.0034646115110451804,,,2m11s
retrain,26,0.002582320609964275,-293275.0,,0.0034646115110451804,,,2m16s
retrain,27,0.005535942227681516,-292205.75,,0.0034646115110451804,,,2m21s
retrain,28,0.004444657044011789,-292400.5625,,0.0034646115110451804,,,2m26s
retrain,29,0.0019453312978361889,-296210.625,,0.0034646115110451804,,,2m31s
retrain,30,0.005654589287138515,-295501.59375,,0.0034646115110451804,,,2m36s
retrain,31,0.006976510918747469,-292604.84375,,0.0034646115110451804,,,2m42s
retrain,32,0.003387552417300079,-293816.6875,,0.0034646115110451804,,,2m47s
retrain,33,0.003955527150687218,-294573.8125,,0.0034646115110451804,,,2m52s
retrain,34,0.0033837096610999044,-296123.4375,,0.0034646115110451804,,,2m57s
retrain,35,0.006624375788554122,-294740.25,,0.0034646115110451804,,,3m03s
retrain,36,0.0022062628049005677,-297933.625,,0.0034646115110451804,,,3m08s
retrain,37,0.0007356316738766812,-304122.40625,,0.0034646115110451804,,,3m13s
retrain,38,8.243501417649289e-05,-312679.59375,,0.0034646115110451804,,,3m19s
retrain,39,4.717854134090279e-05,-323511.5625,,0.0034646115110451804,,,3m24s
retrain,40,4.825736777189983e-05,-337317.71875,,0.0034646115110451804,0.9848,90.34,3m29s
