phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.009127020448159115,-229552.046875,,0.003619824155310538,,,5s
retrain,2,0.0048990821768141665,-277294.34375,,0.003619824155310538,,,10s
retrain,3,0.007623012344434392,-281323.4375,,0.003619824155310538,,,15s
retrain,4,0.0061092784883144,-282072.4375,,0.003619824155310538,,,21s
retrain,5,0.005182087202443897,-283444.5625,,0.003619824155310538,,,26s
retrain,6,0.006907289812166709,-283929.4375,,0.003619824155310538,,,31s
retrain,7,0.00957568123039285,-282254.4375,,0.003619824155310538,,,37s
retrain,8,0.0025546232392506985,-285498.4375,,0.003619824155310538,,,42s
retrain,9,0.003018804327809873,-289136.03125,,0.003619824155310538,,,47s
retrain,10,0.007834285836224444,-286859.4375,,0.003619824155310538,,,52s
retrain,11,0.005467055729916319,-286829.21875,,0.003619824155310538,,,58s
retrain,12,0.003539840514668807,-289296.75,,0.003619824155310538,,,1m03s
retrain,13,0.007982810102818379,-287765.0625,,0.003619824155310538,,,1m08s
retrain,14,0.007209682907412449,-286701.25,,0.003619824155310538,,,1m13s
retrain,15,0.0010397268530927249,-291521.09375,,0.003619824155310538,,,1m19s
retrain,16,0.0006425706182528908,-297778.6875,,0.003619824155310538,,,1m24s
retrain,17,0.00014311653381834428,-306426.0625,,0.003619824155310538,,,1m29s
retrain,18,7.983658308706557e-05,-317326.03125,,0.003619824155310538,,,1m34s
retrain,19,7.495199582675317e-05,-331187.40625,,0.003619824155310538,,,1m40s
retrain,20,9.86278924208212e-05,-348836.03125,,0.003619824155310538,0.9828,113.84,1m45s
retrain,21,0.028336223159738196,-322763.40625,,0.003619824155310538,,,1m50s
retrain,22,0.006423003989721959,-323809.1875,,0.003619824155310538,,,1m56s
retrain,23,0.002482489449348456,-328002.65625,,0.003619824155310538,,,2m01s
retrain,24,0.0026614900804357603,-331452.0625,,0.003619824155310538,,,2m06s
retrain,25,0.008385487443953753,-328911.84375,,0.003619824155310538,,,2m11s
retrain,26,0.0034121154138216903,-331174.375,,0.003619824155310538,,,2m16s
retrain,27,0.0006305675171810435,-338280.5625,,0.003619824155310538,,,2m21s
retrain,28,0.000800446188672989,-346880.21875,,0.003619824155310538,,,2m26s
retrain,29,0.010020148151425141,-341263.90625,,0.003619824155310538,,,2m32s
retrain,30,0.009530193358294976,-338305.625,,0.003619824155310538,,,2m37s
retrain,31,0.002689879185935327,-342882.71875,,0.003619824155310538,,,2m42s
retrain,32,0.004584487168875057,-343668.9375,,0.003619824155310538,,,2m47s
retrain,33,0.002846259527137348,-347951.8125,,0.003619824155310538,,,2m52s
retrain,34,0.005549130324367434,-347790.53125,,0.003619824155310538,,,2m57s
retrain,35,0.00508259666254744,-349577.9375,,0.003619824155310538,,,3m03s
retrain,36,0.001025417923393737,-357486.71875,,0.003619824155310538,,,3m08s
retrain,37,0.002398607185975804,-364294.15625,,0.003619824155310538,,,3m13s
retrain,38,0.0109931815745309,-354159.78125,,0.003619824155310538,,,3m18s
retrain,39,0.0047576223959370206,-356217.1875,,0.003619824155310538,,,3m24s
retrain,40,0.0007020479058943844,-364965.65625,,0.003619824155310538,0.9839,82.48,3m29s
