phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.009757839689046765,-219896.5625,,0.0031156947886909645,,,5s
retrain,2,0.003511571851322272,-274012.1875,,0.0031156947886909645,,,10s
retrain,3,0.006989553655560788,-282602.375,,0.0031156947886909645,,,15s
retrain,4,0.006698094145053376,-283101.875,,0.0031156947886909645,,,20s
retrain,5,0.007873257904752002,-281833.09375,,0.0031156947886909645,,,26s
retrain,6,0.004067196693442141,-283249.75,,0.0031156947886909645,,,31s
retrain,7,0.006151666665154819,-283049.8125,,0.0031156947886909645,,,36s
retrain,8,0.004891085063367306,-283050.34375,,0.0031156947886909645,,,41s
retrain,9,0.00488906521218208,-284237.46875,,0.0031156947886909645,,,47s
retrain,10,0.010985430213211415,-279757.21875,,0.0031156947886909645,,,52s
retrain,11,0.005719189206638839,-279589.1875,,0.0031156947886909645,,,57s
retrain,12,0.0017125067510060034,-282449.09375,,0.0031156947886909645,,,1m02s
retrain,13,0.0047603084514887695,-283612.53125,,0.0031156947886909645,,,1m08s
retrain,14,0.00552628847193652,-283309.625,,0.0031156947886909645,,,1m13s
retrain,15,0.003957632799798739,-283908.4375,,0.0031156947886909645,,,1m18s
retrain,16,0.009821560983425782,-279381.0,,0.0031156947886909645,,,1m23s
retrain,17,0.0022692036347570443,-281537.65625,,0.0031156947886909645,,,1m29s
retrain,18,0.0045907939995464405,-281682.75,,0.0031156947886909645,,,1m34s
retrain,19,0.001450251674700121,-284915.96875,,0.0031156947886909645,,,1m39s
retrain,20,0.005843516993773907,-283460.03125,,0.0031156947886909645,0.9821,120.15,1m45s
retrain,21,0.005136462185826774,-282575.0625,,0.0031156947886909645,,,1m50s
retrain,22,0.004180941439144469,-283109.3125,,0.0031156947886909645,,,1m55s
retrain,23,0.006008745628017156,-281219.84375,,0.0031156947886909645,,,2m00s
retrain,24,0.0017959067416595644,-283943.21875,,0.0031156947886909645,,,2m06s
retrain,25,0.0002545379693017215,-289753.8125,,0.0031156947886909645,,,2m11s
retrain,26,6.188596747112266e-05,-297344.28125,,0.0031156947886909645,,,2m17s
retrain,27,3.974447785731172e-05,-306869.75,,0.0031156947886909645,,,2m22s
retrain,28,3.865869786241092e-05,-318843.875,,0.0031156947886909645,,,2m27s
retrain,29,4.554697048903714e-05,-334180.96875,,0.0031156947886909645,,,2m33s
retrain,30,0.0006366095665341466,-351931.875,,0.0031156947886909645,,,2m38s
retrain,31,0.026566781360764676,-323484.1875,,0.0031156947886909645,,,2m43s
retrain,32,0.003964212144478612,-325974.53125,,0.0031156947886909645,,,2m49s
retrain,33,0.0007332484806557962,-332462.96875,,0.0031156947886909645,,,2m54s
retrain,34,0.0005292294009423737,-340503.21875,,0.0031156947886909645,,,2m59s
retrain,35,0.00808843973405504,-333866.46875,,0.0031156947886909645,,,3m05s
retrain,36,0.006651016383330958,-333249.25,,0.0031156947886909645,,,3m10s
retrain,37,0.0023466586787437944,-336454.3125,,0.0031156947886909645,,,3m15s
retrain,38,0.0037936082034294182,-337250.3125,,0.0031156947886909645,,,3m20s
retrain,39,0.006950753915366173,-334778.4375,,0.0031156947886909645,,,3m25s
retrain,40,0.0029595445589104203,-337185.0625,,0.0031156947886909645,0.9809,86.95,3m31s
