phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.009456112058615932,-225695.09375,,0.00405014771338119,,,5s
retrain,2,0.007928569074588207,-275192.59375,,0.00405014771338119,,,10s
retrain,3,0.0035818591831678834,-284636.8125,,0.00405014771338119,,,15s
retrain,4,0.004513965576537885,-287502.8125,,0.00405014771338119,,,20s
retrain,5,0.011068602130631917,-285350.59375,,0.00405014771338119,,,26s
retrain,6,0.0030606513172523895,-289016.84375,,0.00405014771338119,,,31s
retrain,7,0.006328580690902891,-288806.59375,,0.00405014771338119,,,36s
retrain,8,0.0059584671650508726,-289398.125,,0.00405014771338119,,,41s
retrain,9,0.007477638258947991,-288618.59375,,0.00405014771338119,,,46s
retrain,10,0.00583373775271466,-289319.75,,0.00405014771338119,,,51s
retrain,11,0.005753985958131185,-289733.90625,,0.00405014771338119,,,57s
retrain,12,0.004254643414800133,-291618.8125,,0.00405014771338119,,,1m02s
retrain,13,0.0031880037789950924,-293642.4375,,0.00405014771338119,,,1m07s
retrain,14,0.005474884587116927,-294587.6875,,0.00405014771338119,,,1m12s
retrain,15,0.008675896759564056,-291746.625,,0.00405014771338119,,,1m18s
retrain,16,0.005080227027651078,-292661.84375,,0.00405014771338119,,,1m23s
retrain,17,0.0037367897709841297,-294698.34375,,0.00405014771338119,,,1m28s
retrain,18,0.0061783997896825895,-295163.5,,0.00405014771338119,,,1m34s
retrain,19,0.005156362433719914,-295809.0,,0.00405014771338119,,,1m39s
retrain,20,0.003076014417763023,-298670.09375,,0.00405014771338119,0.9802,115.34,1m44s
retrain,21,0.002627049213605157,-301761.375,,0.00405014771338119,,,1m50s
retrain,22,0.007651094811643513,-299041.46875,,0.00405014771338119,,,1m55s
retrain,23,0.004152211456945709,-301419.0,,0.00405014771338119,,,2m00s
retrain,24,0.0022214289208777093,-305294.09375,,0.00405014771338119,,,2m05s
retrain,25,0.0012669571219177064,-311948.75,,0.00405014771338119,,,2m11s
retrain,26,0.0054387644469214135,-312254.46875,,0.00405014771338119,,,2m16s
retrain,27,0.01159643228831701,-306064.53125,,0.00405014771338119,,,2m21s
retrain,28,0.003348091574923213,-309093.34375,,0.00405014771338119,,,2m26s
retrain,29,0.0005530899009905018,-315908.9375,,0.00405014771338119,,,2m31s
retrain,30,0.00010055518763304765,-325240.1875,,0.00405014771338119,,,2m37s
retrain,31,7.027097295989127e-05,-337059.0,,0.00405014771338119,,,2m42s
retrain,32,7.110139547197226e-05,-352380.125,,0.00405014771338119,,,2m47s
retrain,33,0.011251942406529755,-345787.34375,,0.00405014771338119,,,2m52s
retrain,34,0.015287132634641603,-338460.4375,,0.00405014771338119,,,2m58s
retrain,35,0.0044554295882117,-342821.65625,,0.00405014771338119,,,3m03s
retrain,36,0.0015813286048457181,-349511.375,,0.00405014771338119,,,3m08s
retrain,37,0.0039873181596475965,-353425.0,,0.00405014771338119,,,3m14s
retrain,38,0.005883789357562394,-353675.40625,,0.00405014771338119,,,3m19s
retrain,39,0.0015169783628041235,-361606.75,,0.00405014771338119,,,3m24s
retrain,40,0.0021406687333534744,-367662.3125,,0.00405014771338119,0.9783,80.07,3m29s
