phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.009299172147844608,-228217.78125,,0.004427078249463775,,,5s
retrain,2,0.005536760971904732,-281724.0,,0.004427078249463775,,,10s
retrain,3,0.006316656813917992,-289920.96875,,0.004427078249463775,,,16s
retrain,4,0.007817234644821534,-291202.15625,,0.004427078249463775,,,21s
retrain,5,0.00671853943967338,-292674.96875,,0.004427078249463775,,,26s
retrain,6,0.005057557991267337,-294916.3125,,0.004427078249463775,,,31s
retrain,7,0.00448506557358584,-297700.34375,,0.004427078249463775,,,37s
retrain,8,0.008620651342366666,-296455.28125,,0.004427078249463775,,,43s
retrain,9,0.004358337741764262,-298710.3125,,0.004427078249463775,,,48s
retrain,10,0.005447418331878726,-299197.875,,0.004427078249463775,,,53s
retrain,11,0.00488769863024354,-300309.53125,,0.004427078249463775,,,58s
retrain,12,0.007615122636496866,-298821.625,,0.004427078249463775,,,1m03s
retrain,13,0.006859099823744812,-299529.40625,,0.004427078249463775,,,1m09s
retrain,14,0.0037504055072631066,-302356.71875,,0.004427078249463775,,,1m14s
retrain,15,0.005082690399262356,-302892.96875,,0.004427078249463775,,,1m19s
retrain,16,0.004475628896517446,-304089.375,,0.004427078249463775,,,1m24s
retrain,17,0.002196181754055821,-309390.71875,,0.004427078249463775,,,1m30s
retrain,18,0.005814104216190753,-311475.375,,0.004427078249463775,,,1m35s
retrain,19,0.007866819690400734,-308927.625,,0.004427078249463775,,,1m40s
retrain,20,0.00437042152507153,-310780.0,,0.004427078249463775,0.9818,111.37,1m45s
retrain,21,0.0022060605582703524,-315601.0625,,0.004427078249463775,,,1m51s
retrain,22,0.006635533322151362,-314070.65625,,0.004427078249463775,,,1m56s
retrain,23,0.00401091694435454,-316354.375,,0.004427078249463775,,,2m01s
retrain,24,0.005330563960459161,-317594.125,,0.004427078249463775,,,2m06s
retrain,25,0.00549918190498914,-318881.40625,,0.004427078249463775,,,2m12s
retrain,26,0.0032201026086385053,-322287.5625,,0.004427078249463775,,,2m17s
retrain,27,0.002319049953069771,-326930.5,,0.004427078249463775,,,2m22s
retrain,28,0.00045005363022404104,-335895.34375,,0.004427078249463775,,,2m28s
retrain,29,9.218686844590896e-05,-348685.75,,0.004427078249463775,,,2m33s
retrain,30,6.905926993834631e-05,-365583.125,,0.004427078249463775,,,2m38s
retrain,31,0.006484134984803192,-369410.78125,,0.004427078249463775,,,2m44s
retrain,32,0.016087974198907614,-358194.0625,,0.004427078249463775,,,2m49s
retrain,33,0.004533036811828303,-361177.3125,,0.004427078249463775,,,2m54s
retrain,34,0.004505829322023783,-365059.375,,0.004427078249463775,,,2m59s
retrain,35,0.004593056859334077,-367371.6875,,0.004427078249463775,,,3m04s
retrain,36,0.004653751829016255,-369920.59375,,0.004427078249463775,,,3m10s
retrain,37,0.0035336495503705614,-375322.78125,,0.004427078249463775,,,3m15s
retrain,38,0.004909427377975468,-378474.65625,,0.004427078249463775,,,3m20s
retrain,39,0.00655106228007935,-378437.78125,,0.004427078249463775,,,3m25s
retrain,40,0.0013694259288226022,-388813.75,,0.004427078249463775,0.9841,75.12,3m31s
