phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.008162427064885075,-230754.40625,,0.008201309008748856,,,5s
retrain,2,0.006375911678660972,-286785.65625,,0.008201309008748856,,,10s
retrain,3,0.007549366095506897,-300209.28125,,0.008201309008748856,,,15s
retrain,4,0.0071551545498038955,-307666.4375,,0.008201309008748856,,,20s
retrain,5,0.007700221573895154,-312504.5625,,0.008201309008748856,,,25s
retrain,6,0.003287451686661613,-321494.3125,,0.008201309008748856,,,31s
retrain,7,0.007417022163556734,-324896.4375,,0.008201309008748856,,,36s
retrain,8,0.006558812094836807,-330144.5,,0.008201309008748856,,,41s
retrain,9,0.005753231541624215,-336867.28125,,0.008201309008748856,,,47s
retrain,10,0.006763052282831632,-342549.6875,,0.008201309008748856,,,52s
retrain,11,0.0060511862312521165,-347976.90625,,0.008201309008748856,,,57s
retrain,12,0.00551743246516368,-354265.59375,,0.008201309008748856,,,1m02s
retrain,13,0.00859583707031173,-357599.46875,,0.008201309008748856,,,1m08s
retrain,14,0.007909805966479083,-361196.5625,,0.008201309008748856,,,1m13s
retrain,15,0.003608502970383658,-371664.15625,,0.008201309008748856,,,1m18s
retrain,16,0.0054661544520175085,-379055.59375,,0.008201309008748856,,,1m23s
retrain,17,0.00794006607546471,-382853.59375,,0.008201309008748856,,,1m29s
retrain,18,0.0061960359871077045,-391295.59375,,0.008201309008748856,,,1m34s
retrain,19,0.006848003370671843,-397149.28125,,0.008201309008748856,,,1m39s
retrain,20,0.0032623685374545556,-411155.5625,,0.008201309008748856,0.9814,88.32,1m45s
retrain,21,0.0058913514072075485,-420188.0,,0.008201309008748856,,,1m50s
retrain,22,0.007044106687834331,-429507.34375,,0.008201309008748856,,,1m55s
retrain,23,0.007745246470269437,-437489.3125,,0.008201309008748856,,,2m00s
retrain,24,0.004510629863951666,-454731.21875,,0.008201309008748856,,,2m06s
retrain,25,0.005546991797474523,-468462.09375,,0.008201309008748856,,,2m11s
retrain,26,0.00814694963960598,-481972.65625,,0.008201309008748856,,,2m16s
retrain,27,0.008107885976011555,-498190.625,,0.008201309008748856,,,2m22s
retrain,28,0.007632524862497424,-522623.84375,,0.008201309008748856,,,2m27s
retrain,29,0.005849937184310208,-557754.0625,,0.008201309008748856,,,2m32s
retrain,30,0.007798247511948769,-595821.125,,0.008201309008748856,,,2m37s
retrain,31,0.00595105016012676,-667434.75,,0.008201309008748856,,,2m43s
retrain,32,0.00636906634173356,-730372.1875,,0.008201309008748856,,,2m48s
retrain,33,0.006177992294697712,-767960.6875,,0.008201309008748856,,,2m53s
retrain,34,0.005865979964573247,-715444.0625,,0.008201309008748856,,,2m59s
retrain,35,0.013403594702047607,-756094.5625,,0.008201309008748856,,,3m04s
retrain,36,0.0014206205387832596,-808150.8125,,0.008201309008748856,,,3m09s
retrain,37,0.0005308945526252501,-818289.125,,0.008201309008748856,,,3m15s
retrain,38,0.0003666357672268835,-820730.5,,0.008201309008748856,,,3m20s
retrain,39,0.0003284677121351706,-823257.9375,,0.008201309008748856,,,3m25s
retrain,40,0.0003387588689705202,-825059.0625,,0.008201309008748856,0.9843,49.70,3m30s
