phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.008138594231250075,-210466.96875,,0.003700784140931015,,,5s
retrain,2,0.005757520419250553,-266135.78125,,0.003700784140931015,,,10s
retrain,3,0.006777018700477978,-275681.875,,0.003700784140931015,,,15s
retrain,4,0.00607702223546803,-277803.53125,,0.003700784140931015,,,20s
retrain,5,0.006600609862005028,-278063.125,,0.003700784140931015,,,25s
retrain,6,0.0019183190599782393,-282733.875,,0.003700784140931015,,,31s
retrain,7,0.006678066003371108,-282767.625,,0.003700784140931015,,,36s
retrain,8,0.0078561134870979,-281152.0625,,0.003700784140931015,,,41s
retrain,9,0.006630302592083657,-281048.15625,,0.003700784140931015,,,46s
retrain,10,0.00353340658294037,-283675.15625,,0.003700784140931015,,,52s
retrain,11,0.00788942550640398,-282761.625,,0.003700784140931015,,,57s
retrain,12,0.004564607569385165,-284145.375,,0.003700784140931015,,,1m02s
retrain,13,0.0036626216726319397,-286636.84375,,0.003700784140931015,,,1m07s
retrain,14,0.007001422270928742,-285431.46875,,0.003700784140931015,,,1m13s
retrain,15,0.0068819351256184744,-284838.3125,,0.003700784140931015,,,1m18s
retrain,16,0.004741220404933362,-285286.0625,,0.003700784140931015,,,1m23s
retrain,17,0.0036592896430403927,-286578.90625,,0.003700784140931015,,,1m28s
retrain,18,0.005207881857761337,-287231.5,,0.003700784140931015,,,1m33s
retrain,19,0.00611282826087263,-285973.21875,,0.003700784140931015,,,1m39s
retrain,20,0.004536452644434757,-286717.9375,,0.003700784140931015,0.9805,112.92,1m44s
retrain,21,0.0034837766787580524,-289089.625,,0.003700784140931015,,,1m50s
retrain,22,0.002696908635360887,-292287.96875,,0.003700784140931015,,,1m55s
retrain,23,0.006329953501416215,-291076.46875,,0.003700784140931015,,,2m00s
retrain,24,0.004474715143477079,-292119.375,,0.003700784140931015,,,2m05s
retrain,25,0.004244952546111502,-292640.0,,0.003700784140931015,,,2m11s
retrain,26,0.0031198152489378115,-294946.0625,,0.003700784140931015,,,2m16s
retrain,27,0.004171967227034717,-296019.65625,,0.003700784140931015,,,2m21s
retrain,28,0.008294447171940798,-293316.59375,,0.003700784140931015,,,2m26s
retrain,29,0.0015467533737275516,-297915.78125,,0.003700784140931015,,,2m32s
retrain,30,0.00041714794750732833,-305195.90625,,0.003700784140931015,,,2m37s
retrain,31,0.007125115668632983,-302117.40625,,0.003700784140931015,,,2m42s
retrain,32,0.0078057280178259435,-300324.09375,,0.003700784140931015,,,2m47s
retrain,33,0.0015393631410882032,-305470.75,,0.003700784140931015,,,2m52s
retrain,34,0.0065799484761907175,-305097.4375,,0.003700784140931015,,,2m57s
retrain,35,0.0024939525106805376,-308640.96875,,0.003700784140931015,,,3m02s
retrain,36,0.003372514339906047,-311094.9375,,0.003700784140931015,,,3m08s
retrain,37,0.005919568264602761,-311104.90625,,0.003700784140931015,,,3m13s
retrain,38,0.0025594191194143303,-314842.0,,0.003700784140931015,,,3m18s
retrain,39,0.003345605249594276,-316343.0,,0.003700784140931015,,,3m24s
retrain,40,0.007159217733280578,-313573.0,,0.003700784140931015,0.9809,85.90,3m29s
