phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.008734016126964707,-224634.28125,,0.004523322995830579,,,5s
retrain,2,0.005012165313699127,-275911.0,,0.004523322995830579,,,10s
retrain,3,0.0065711677824690316,-282615.96875,,0.004523322995830579,,,15s
retrain,4,0.00481272157074806,-286191.3125,,0.004523322995830579,,,20s
retrain,5,0.00821840749491239,-287190.46875,,0.004523322995830579,,,26s
retrain,6,0.008718410831072833,-286346.1875,,0.004523322995830579,,,31s
retrain,7,0.004884898157045245,-289422.46875,,0.004523322995830579,,,36s
retrain,8,0.0008615374604647514,-296501.625,,0.004523322995830579,,,41s
retrain,9,0.00019243998852422616,-306392.6875,,0.004523322995830579,,,47s
retrain,10,0.00011484118924563517,-318981.875,,0.004523322995830579,,,52s
retrain,11,0.0001215412392038464,-334868.0625,,0.004523322995830579,,,57s
retrain,12,0.0058119271533117476,-341335.375,,0.004523322995830579,,,1m03s
retrain,13,0.02295429935452218,-325872.03125,,0.004523322995830579,,,1m08s
retrain,14,0.0073556723990943285,-327563.75,,0.004523322995830579,,,1m13s
retrain,15,0.004483789956049683,-330283.46875,,0.004523322995830579,,,1m19s
retrain,16,0.0049039670327096245,-333830.34375,,0.004523322995830579,,,1m24s
retrain,17,0.005540169636544306,-335627.34375,,0.004523322995830579,,,1m30s
retrain,18,0.007863224920599411,-334504.3125,,0.004523322995830579,,,1m35s
retrain,19,0.0034765585473156536,-338619.0625,,0.004523322995830579,,,1m40s
retrain,20,0.007098103207039337,-337751.75,,0.004523322995830579,0.9810,102.84,1m46s
retrain,21,0.0035365235201936835,-342133.25,,0.004523322995830579,,,1m51s
retrain,22,0.003914722847963761,-345440.21875,,0.004523322995830579,,,1m57s
retrain,23,0.007840444292399721,-343350.375,,0.004523322995830579,,,2m02s
retrain,24,0.005192841397124963,-344793.34375,,0.004523322995830579,,,2m08s
retrain,25,0.0034051756726189825,-348684.71875,,0.004523322995830579,,,2m13s
retrain,26,0.0058626256465174565,-350396.65625,,0.004523322995830579,,,2m18s
retrain,27,0.00510681607897859,-353012.75,,0.004523322995830579,,,2m24s
retrain,28,0.0038623044751390505,-357704.375,,0.004523322995830579,,,2m29s
retrain,29,0.0015192111530021066,-367013.15625,,0.004523322995830579,,,2m34s
retrain,30,0.0004569044368399773,-381459.78125,,0.004523322995830579,,,2m39s
retrain,31,0.006248952963294384,-383830.3125,,0.004523322995830579,,,2m44s
retrain,32,0.01339572367630899,-375853.59375,,0.004523322995830579,,,2m50s
retrain,33,0.0035751120377225257,-382809.25,,0.004523322995830579,,,2m55s
retrain,34,0.006189347054374714,-384789.125,,0.004523322995830579,,,3m00s
retrain,35,0.0018965733648753182,-396229.6875,,0.004523322995830579,,,3m05s
retrain,36,0.0004980515436599186,-414330.0,,0.004523322995830579,,,3m10s
retrain,37,0.001387464583752444,-433094.09375,,0.004523322995830579,,,3m16s
retrain,38,0.016780867027988037,-410933.90625,,0.004523322995830579,,,3m21s
retrain,39,0.0029878630515003655,-425755.71875,,0.004523322995830579,,,3m26s
retrain,40,0.0018105696550783856,-444446.46875,,0.004523322995830579,0.9831,61.88,3m32s
