phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.008163521283864975,-216928.1875,,0.006640685070153612,,,5s
retrain,2,0.006498944912804291,-275313.125,,0.006640685070153612,,,10s
retrain,3,0.008256739330425625,-288419.15625,,0.006640685070153612,,,15s
retrain,4,0.004737588673065572,-295896.96875,,0.006640685070153612,,,21s
retrain,5,0.005016257682741465,-301715.53125,,0.006640685070153612,,,26s
retrain,6,0.007013209117514392,-305037.1875,,0.006640685070153612,,,31s
retrain,7,0.009663422826196378,-305704.53125,,0.006640685070153612,,,36s
retrain,8,0.006386641733216432,-309190.96875,,0.006640685070153612,,,42s
retrain,9,0.0032940407025957635,-315880.96875,,0.006640685070153612,,,47s
retrain,10,0.0019453183165169322,-325224.4375,,0.006640685070153612,,,52s
retrain,11,0.007138903840266478,-327686.84375,,0.006640685070153612,,,58s
retrain,12,0.011875583898151914,-325919.875,,0.006640685070153612,,,1m03s
retrain,13,0.003486731463659089,-332705.15625,,0.006640685070153612,,,1m08s
retrain,14,0.001374675379288965,-343682.6875,,0.006640685070153612,,,1m13s
retrain,15,0.0075039594985467075,-345734.40625,,0.006640685070153612,,,1m18s
retrain,16,0.00800624711336568,-347508.40625,,0.006640685070153612,,,1m24s
retrain,17,0.00775524511404025,-349825.875,,0.006640685070153612,,,1m29s
retrain,18,0.005618323217355646,-355069.84375,,0.006640685070153612,,,1m34s
retrain,19,0.004593383184145205,-361089.21875,,0.006640685070153612,,,1m40s
retrain,20,0.00786161263375543,-363203.03125,,0.006640685070153612,0.9806,91.75,1m45s
retrain,21,0.002093920588293986,-374878.71875,,0.006640685070153612,,,1m51s
retrain,22,0.0069154659482650455,-378895.71875,,0.006640685070153612,,,1m56s
retrain,23,0.0050415870494092815,-385909.4375,,0.006640685070153612,,,2m01s
retrain,24,0.0061398677184401704,-390276.75,,0.006640685070153612,,,2m07s
retrain,25,0.003801591330941301,-403195.25,,0.006640685070153612,,,2m12s
retrain,26,0.0022366611637252695,-420031.25,,0.006640685070153612,,,2m17s
retrain,27,0.009827360615646466,-417802.46875,,0.006640685070153612,,,2m23s
retrain,28,0.007789356230796935,-425196.5,,0.006640685070153612,,,2m28s
retrain,29,0.004029256285020771,-440159.90625,,0.006640685070153612,,,2m33s
retrain,30,0.002965480457226901,-462278.65625,,0.006640685070153612,,,2m39s
retrain,31,0.0053588043969745435,-479286.9375,,0.006640685070153612,,,2m44s
retrain,32,0.010914320298827563,-481520.0625,,0.006640685070153612,,,2m49s
retrain,33,0.004667134742702668,-515294.65625,,0.006640685070153612,,,2m54s
retrain,34,0.003701431849160387,-564232.9375,,0.006640685070153612,,,3m00s
retrain,35,0.00423207602292144,-646623.8125,,0.006640685070153612,,,3m05s
retrain,36,0.01185309238585954,-679624.25,,0.006640685070153612,,,3m10s
retrain,37,0.004353121173940599,-807747.1875,,0.006640685070153612,,,3m16s
retrain,38,0.0007832837111433037,-829786.25,,0.006640685070153612,,,3m21s
retrain,39,0.00047144348689665396,-837799.75,,0.006640685070153612,,,3m26s
retrain,40,0.00029054771023414406,-839280.1875,,0.006640685070153612,0.9845,46.12,3m32s
