phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.00899014420643604,-215041.5,,0.003355851334200886,,,5s
retrain,2,0.00489843103319096,-270256.28125,,0.003355851334200886,,,10s
retrain,3,0.007294967402894205,-278096.1875,,0.003355851334200886,,,15s
retrain,4,0.006626150848266358,-279288.84375,,0.003355851334200886,,,21s
retrain,5,0.008841884352856625,-278204.0625,,0.003355851334200886,,,26s
retrain,6,0.004813721244541618,-279603.40625,,0.003355851334200886,,,31s
retrain,7,0.0061982306789179955,-279949.21875,,0.003355851334200886,,,37s
retrain,8,0.0034167959594128966,-282036.25,,0.003355851334200886,,,42s
retrain,9,0.006432395717214483,-281380.71875,,0.003355851334200886,,,48s
retrain,10,0.004104157149502619,-282342.53125,,0.003355851334200886,,,53s
retrain,11,0.005151716018778583,-282329.8125,,0.003355851334200886,,,58s
retrain,12,0.009194437979379048,-279801.71875,,0.003355851334200886,,,1m04s
retrain,13,0.0027552946974610678,-282040.9375,,0.003355851334200886,,,1m09s
retrain,14,0.0058652414117338295,-281435.34375,,0.003355851334200886,,,1m14s
retrain,15,0.007219399856628539,-279789.28125,,0.003355851334200886,,,1m19s
retrain,16,0.005797515002840858,-278988.0625,,0.003355851334200886,,,1m24s
retrain,17,0.004005602910402619,-280691.46875,,0.003355851334200886,,,1m29s
retrain,18,0.0009152703046265136,-285041.71875,,0.003355851334200886,,,1m35s
retrain,19,0.006771580207477867,-282950.0625,,0.003355851334200886,,,1m40s
retrain,20,0.007237212801864371,-282240.375,,0.003355851334200886,0.9786,116.13,1m45s
retrain,21,0.005430658125625147,-282495.0,,0.003355851334200886,,,1m51s
retrain,22,0.0024714762437933434,-285413.0,,0.003355851334200886,,,1m56s
retrain,23,0.006388801744908172,-283689.59375,,0.003355851334200886,,,2m01s
retrain,24,0.0047137159799613675,-283437.40625,,0.003355851334200886,,,2m06s
retrain,25,0.003097999239625642,-285752.5,,0.003355851334200886,,,2m11s
retrain,26,0.00307157042058631,-288018.9375,,0.003355851334200886,,,2m16s
retrain,27,0.005576929480862842,-287632.96875,,0.003355851334200886,,,2m22s
retrain,28,0.004034182685239163,-288323.125,,0.003355851334200886,,,2m27s
retrain,29,0.004570914452969252,-288303.46875,,0.003355851334200886,,,2m32s
retrain,30,0.0024512931214189545,-291415.90625,,0.003355851334200886,,,2m37s
retrain,31,0.006928502184791675,-289435.03125,,0.003355851334200886,,,2m42s
retrain,32,0.003441897156482446,-290481.84375,,0.003355851334200886,,,2m47s
retrain,33,0.004025494687801499,-291813.15625,,0.003355851334200886,,,2m52s
retrain,34,0.0054974849338458925,-291031.34375,,0.003355851334200886,,,2m58s
retrain,35,0.00239572181670228,-293999.0625,,0.003355851334200886,,,3m03s
retrain,36,0.004419380596920383,-294070.0,,0.003355851334200886,,,3m08s
retrain,37,0.004014029970275442,-295103.875,,0.003355851334200886,,,3m14s
retrain,38,0.0023038764565246916,-297387.5625,,0.003355851334200886,,,3m19s
retrain,39,0.0025100880676463323,-299340.6875,,0.003355851334200886,,,3m24s
retrain,40,0.0030065158309822435,-301818.6875,,0.003355851334200886,0.9809,94.97,3m30s
