phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.007021125875005964,-225081.046875,,0.0037412745072790666,,,5s
retrain,2,0.007111622908106074,-274007.65625,,0.0037412745072790666,,,10s
retrain,3,0.007042749689108071,-280490.0,,0.0037412745072790666,,,15s
retrain,4,0.004749753944796976,-282248.75,,0.0037412745072790666,,,20s
retrain,5,0.009639914904115721,-280509.8125,,0.0037412745072790666,,,26s
retrain,6,0.0062010085269808765,-281272.875,,0.0037412745072790666,,,31s
retrain,7,0.0022336172200137904,-285639.5625,,0.0037412745072790666,,,36s
retrain,8,0.0038795256870992794,-288028.25,,0.0037412745072790666,,,41s
retrain,9,0.010250225517270155,-284119.0,,0.0037412745072790666,,,46s
retrain,10,0.003908718160885231,-286058.25,,0.0037412745072790666,,,52s
retrain,11,0.0005362715159562262,-292407.90625,,0.0037412745072790666,,,57s
retrain,12,0.00016260785928316182,-300671.375,,0.0037412745072790666,,,1m02s
retrain,13,8.987590902058098e-05,-311106.71875,,0.0037412745072790666,,,1m07s
retrain,14,8.899924916234644e-05,-324108.53125,,0.0037412745072790666,,,1m12s
retrain,15,0.00010696308178109272,-340478.8125,,0.0037412745072790666,,,1m17s
retrain,16,0.0031513559333378603,-352023.5,,0.0037412745072790666,,,1m22s
retrain,17,0.028575137052622934,-328743.03125,,0.0037412745072790666,,,1m28s
retrain,18,0.005950618308635118,-330730.65625,,0.0037412745072790666,,,1m33s
retrain,19,0.003449141952201414,-334412.21875,,0.0037412745072790666,,,1m38s
retrain,20,0.003954098867368885,-337081.46875,,0.0037412745072790666,0.9833,103.27,1m43s
retrain,21,0.005254207176074851,-337996.46875,,0.0037412745072790666,,,1m48s
retrain,22,0.009012772535625845,-334054.0625,,0.0037412745072790666,,,1m54s
retrain,23,0.0035395668763027062,-337092.9375,,0.0037412745072790666,,,1m59s
retrain,24,0.0028967213003876775,-341736.25,,0.0037412745072790666,,,2m04s
retrain,25,0.007091916279657744,-338963.75,,0.0037412745072790666,,,2m10s
retrain,26,0.006984020580017629,-337792.125,,0.0037412745072790666,,,2m15s
retrain,27,0.0030119250858027954,-341863.15625,,0.0037412745072790666,,,2m20s
retrain,28,0.0010704501895369806,-349379.09375,,0.0037412745072790666,,,2m25s
retrain,29,0.004255057026847499,-351539.8125,,0.0037412745072790666,,,2m30s
retrain,30,0.009910662726918235,-344235.59375,,0.0037412745072790666,,,2m35s
retrain,31,0.005151159614499193,-345882.59375,,0.0037412745072790666,,,2m40s
retrain,32,0.002132823471534842,-351556.1875,,0.0037412745072790666,,,2m46s
retrain,33,0.0006573990211337029,-360645.96875,,0.0037412745072790666,,,2m51s
retrain,34,0.0020258065605264467,-367845.84375,,0.0037412745072790666,,,2m56s
retrain,35,0.010363088675378822,-358287.6875,,0.0037412745072790666,,,3m01s
retrain,36,0.006826746884469563,-357077.65625,,0.0037412745072790666,,,3m06s
retrain,37,0.003901468130395127,-359560.0625,,0.0037412745072790666,,,3m11s
retrain,38,0.0020661347173891653,-366642.9375,,0.0037412745072790666,,,3m16s
retrain,39,0.0044372842156629,-369111.09375,,0.0037412745072790666,,,3m21s
retrain,40,0.006364024422873626,-369182.65625,,0.0037412745072790666,0.9837,75.07,3m27s
