phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.00916810194379262,-230852.0625,,0.0030334035977945786,,,5s
retrain,2,0.004784875239563795,-277085.8125,,0.0030334035977945786,,,10s
retrain,3,0.007326610158903834,-280344.15625,,0.0030334035977945786,,,15s
retrain,4,0.0057583646146270135,-279954.9375,,0.0030334035977945786,,,20s
retrain,5,0.0059145389679217866,-279997.125,,0.0030334035977945786,,,26s
retrain,6,0.004086780531178617,-281043.5625,,0.0030334035977945786,,,31s
retrain,7,0.007049179971008562,-280145.65625,,0.0030334035977945786,,,36s
retrain,8,0.005352367882182201,-280536.65625,,0.0030334035977945786,,,42s
retrain,9,0.0036102595970189818,-281726.75,,0.0030334035977945786,,,47s
retrain,10,0.0038025218503569096,-282395.71875,,0.0030334035977945786,,,52s
retrain,11,0.012798669481122245,-277626.90625,,0.0030334035977945786,,,58s
retrain,12,0.003310825210502177,-279080.75,,0.0030334035977945786,,,1m03s
retrain,13,0.003497915089178908,-280770.84375,,0.0030334035977945786,,,1m08s
retrain,14,0.0038272430509891514,-281965.0625,,0.0030334035977945786,,,1m14s
retrain,15,0.009943683601776138,-277221.21875,,0.0030334035977945786,,,1m19s
retrain,16,0.0033242885578831194,-278559.5,,0.0030334035977945786,,,1m24s
retrain,17,0.0022950998113738024,-280776.9375,,0.0030334035977945786,,,1m29s
retrain,18,0.005611887851258507,-279048.8125,,0.0030334035977945786,,,1m35s
retrain,19,0.005964817302934049,-278476.03125,,0.0030334035977945786,,,1m40s
retrain,20,0.0017018273342274673,-280999.78125,,0.0030334035977945786,0.9822,123.98,1m46s
retrain,21,0.003594138203813539,-282240.625,,0.0030334035977945786,,,1m51s
retrain,22,0.009502162152406526,-277758.75,,0.0030334035977945786,,,1m56s
retrain,23,0.0031822086422742964,-278847.90625,,0.0030334035977945786,,,2m02s
retrain,24,0.0036269941336514117,-279236.84375,,0.0030334035977945786,,,2m07s
retrain,25,0.003925836342684246,-279649.75,,0.0030334035977945786,,,2m13s
retrain,26,0.002439647575928878,-281662.46875,,0.0030334035977945786,,,2m18s
retrain,27,0.004765857923201596,-281189.28125,,0.0030334035977945786,,,2m23s
retrain,28,0.005403615996224107,-280293.40625,,0.0030334035977945786,,,2m29s
retrain,29,0.001679674319246745,-282833.6875,,0.0030334035977945786,,,2m34s
retrain,30,0.0010345780765742044,-287101.84375,,0.0030334035977945786,,,2m39s
retrain,31,0.010913358899231146,-280813.90625,,0.0030334035977945786,,,2m44s
retrain,32,0.004415235923885485,-281213.5625,,0.0030334035977945786,,,2m50s
retrain,33,0.0023606803731119727,-283654.28125,,0.0030334035977945786,,,2m55s
retrain,34,0.0005752483384184112,-288043.75,,0.0030334035977945786,,,3m00s
retrain,35,0.00032256688996543136,-294020.9375,,0.0030334035977945786,,,3m05s
retrain,36,4.1216457448414685e-05,-302249.6875,,0.0030334035977945786,,,3m10s
retrain,37,3.5504453460028645e-05,-312550.875,,0.0030334035977945786,,,3m16s
retrain,38,3.707939914117257e-05,-325754.96875,,0.0030334035977945786,,,3m21s
retrain,39,5.223186547348935e-05,-343101.34375,,0.0030334035977945786,,,3m26s
retrain,40,0.012709799707245353,-336832.6875,,0.0030334035977945786,0.9726,90.40,3m32s
