phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.009361688460813214,-218092.375,,0.0066217542465573116,,,5s
retrain,2,0.008302362165289621,-274058.3125,,0.0066217542465573116,,,10s
retrain,3,0.0069906245758756995,-287646.1875,,0.0066217542465573116,,,15s
retrain,4,0.006009040624830717,-295805.0625,,0.0066217542465573116,,,21s
retrain,5,0.0049405214768718,-302462.21875,,0.0066217542465573116,,,26s
retrain,6,0.003921507330231058,-308444.3125,,0.0066217542465573116,,,31s
retrain,7,0.012696457853727043,-306937.46875,,0.0066217542465573116,,,36s
retrain,8,0.00515114157582478,-311983.03125,,0.0066217542465573116,,,42s
retrain,9,0.004577744031053347,-318069.875,,0.0066217542465573116,,,47s
retrain,10,0.00590859763455422,-319687.90625,,0.0066217542465573116,,,52s
retrain,11,0.005391555943487523,-323570.5,,0.0066217542465573116,,,57s
retrain,12,0.004498733550240286,-329029.21875,,0.0066217542465573116,,,1m03s
retrain,13,0.006609263061563252,-331130.40625,,0.0066217542465573116,,,1m08s
retrain,14,0.005743939063581638,-334497.375,,0.0066217542465573116,,,1m13s
retrain,15,0.007157321962318383,-337360.28125,,0.0066217542465573116,,,1m18s
retrain,16,0.006865516623443303,-340258.96875,,0.0066217542465573116,,,1m24s
retrain,17,0.003150502749004712,-348373.9375,,0.0066217542465573116,,,1m29s
retrain,18,0.008146697418748712,-349903.15625,,0.0066217542465573116,,,1m34s
retrain,19,0.0035203012430729966,-358042.3125,,0.0066217542465573116,,,1m39s
retrain,20,0.00633168437985975,-359597.15625,,0.0066217542465573116,0.9791,95.80,1m45s
retrain,21,0.005395893946631501,-364135.6875,,0.0066217542465573116,,,1m50s
retrain,22,0.006304220985256446,-367504.9375,,0.0066217542465573116,,,1m55s
retrain,23,0.0054909573421929965,-373024.5625,,0.0066217542465573116,,,2m00s
retrain,24,0.00353122835046961,-383097.0625,,0.0066217542465573116,,,2m05s
retrain,25,0.0020517325778064937,-396726.875,,0.0066217542465573116,,,2m10s
retrain,26,0.010911216061903784,-391432.53125,,0.0066217542465573116,,,2m16s
retrain,27,0.0040857340632782626,-401411.09375,,0.0066217542465573116,,,2m21s
retrain,28,0.004483632379452077,-409589.21875,,0.0066217542465573116,,,2m26s
retrain,29,0.006441424779543498,-415891.0625,,0.0066217542465573116,,,2m31s
retrain,30,0.0045435881175993325,-427139.1875,,0.0066217542465573116,,,2m36s
retrain,31,0.00796223504266236,-430175.09375,,0.0066217542465573116,,,2m41s
retrain,32,0.004525695344146031,-443096.9375,,0.0066217542465573116,,,2m46s
retrain,33,0.003306799067748943,-461574.3125,,0.0066217542465573116,,,2m51s
retrain,34,0.009999710667141093,-459888.59375,,0.0066217542465573116,,,2m56s
retrain,35,0.0038821689183978986,-482058.625,,0.0066217542465573116,,,3m02s
retrain,36,0.006965496386040468,-494193.78125,,0.0066217542465573116,,,3m07s
retrain,37,0.004740390532277525,-522671.9375,,0.0066217542465573116,,,3m12s
retrain,38,0.005252594818035141,-562980.1875,,0.0066217542465573116,,,3m17s
retrain,39,0.006081914284794281,-611850.1875,,0.0066217542465573116,,,3m22s
retrain,40,0.0075882508802693335,-680587.125,,0.0066217542465573116,0.9801,52.06,3m27s
