phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.008425260327139404,-223921.859375,,0.007811081907160803,,,5s
retrain,2,0.004246706868211428,-282916.5625,,0.007811081907160803,,,10s
retrain,3,0.008851341088372282,-294997.4375,,0.007811081907160803,,,15s
retrain,4,0.008416669755246645,-300681.625,,0.007811081907160803,,,21s
retrain,5,0.00541452964611041,-306899.78125,,0.007811081907160803,,,26s
retrain,6,0.00595820411054107,-313060.375,,0.007811081907160803,,,31s
retrain,7,0.007114411911205388,-316758.8125,,0.007811081907160803,,,37s
retrain,8,0.004436838940445644,-323462.59375,,0.007811081907160803,,,42s
retrain,9,0.004494769909721799,-330424.1875,,0.007811081907160803,,,47s
retrain,10,0.008003924779896624,-333334.21875,,0.007811081907160803,,,53s
retrain,11,0.007529982049976631,-337271.1875,,0.007811081907160803,,,58s
retrain,12,0.005618770842339533,-342795.46875,,0.007811081907160803,,,1m03s
retrain,13,0.006998533977234426,-347557.65625,,0.007811081907160803,,,1m08s
retrain,14,0.005116913807780172,-353810.625,,0.007811081907160803,,,1m14s
retrain,15,0.00670905973186406,-358957.53125,,0.007811081907160803,,,1m19s
retrain,16,0.008059101736110946,-363005.78125,,0.007811081907160803,,,1m24s
retrain,17,0.004003399058089902,-372394.1875,,0.007811081907160803,,,1m30s
retrain,18,0.0015923009446783302,-388823.65625,,0.007811081907160803,,,1m35s
retrain,19,0.0015527828746688707,-410130.28125,,0.007811081907160803,,,1m40s
retrain,20,0.018408945749017098,-398826.0625,,0.007811081907160803,0.9792,85.13,1m46s
retrain,21,0.007113350599383315,-408636.25,,0.007811081907160803,,,1m51s
retrain,22,0.0018042953968048095,-430119.15625,,0.007811081907160803,,,1m56s
retrain,23,0.005959281695409057,-442360.03125,,0.007811081907160803,,,2m02s
retrain,24,0.009358543323663374,-448463.90625,,0.007811081907160803,,,2m07s
retrain,25,0.007633778582140803,-461713.25,,0.007811081907160803,,,2m12s
retrain,26,0.006229135090392083,-482458.71875,,0.007811081907160803,,,2m17s
retrain,27,0.0038516172596563896,-516351.34375,,0.007811081907160803,,,2m23s
retrain,28,0.008695076210424304,-544140.5625,,0.007811081907160803,,,2m28s
retrain,29,0.009496935433568433,-590284.0,,0.007811081907160803,,,2m33s
retrain,30,0.005706644914951175,-697457.1875,,0.007811081907160803,,,2m38s
retrain,31,0.004732708238329117,-797296.4375,,0.007811081907160803,,,2m43s
retrain,32,0.006311305922362953,-831197.125,,0.007811081907160803,,,2m49s
retrain,33,0.0008551005384574334,-844663.5625,,0.007811081907160803,,,2m54s
retrain,34,0.00041360377268865705,-854760.3125,,0.007811081907160803,,,2m59s
retrain,35,0.0003285263390862383,-857681.0,,0.007811081907160803,,,3m05s
retrain,36,0.00029069293197632457,-860552.3125,,0.007811081907160803,,,3m10s
retrain,37,0.0002886204168666154,-865209.75,,0.007811081907160803,,,3m15s
retrain,38,0.022229552704200614,-565495.0,,0.007811081907160803,,,3m20s
retrain,39,0.010532908309220025,-681131.1875,,0.007811081907160803,,,3m25s
retrain,40,0.0016438427193420163,-766311.1875,,0.007811081907160803,0.9833,36.11,3m31s
