phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.008431555482232943,-217662.65625,,0.009308229001805788,,,5s
retrain,2,0.006975795241848876,-279612.90625,,0.009308229001805788,,,10s
retrain,3,0.007620361422374844,-295850.9375,,0.009308229001805788,,,15s
retrain,4,0.004822800052375533,-305451.3125,,0.009308229001805788,,,20s
retrain,5,0.005216225425417846,-313961.8125,,0.009308229001805788,,,26s
retrain,6,0.007254710942188589,-321021.96875,,0.009308229001805788,,,31s
retrain,7,0.009486131357727572,-324979.34375,,0.009308229001805788,,,36s
retrain,8,0.005752165581045362,-333099.15625,,0.009308229001805788,,,41s
retrain,9,0.005924690807905669,-339706.3125,,0.009308229001805788,,,46s
retrain,10,0.003969948413448098,-349796.65625,,0.009308229001805788,,,51s
retrain,11,0.0054512306183809416,-358013.84375,,0.009308229001805788,,,57s
retrain,12,0.00878904454583923,-362379.34375,,0.009308229001805788,,,1m02s
retrain,13,0.007803184505214449,-369990.65625,,0.009308229001805788,,,1m07s
retrain,14,0.004649878756608814,-382172.1875,,0.009308229001805788,,,1m13s
retrain,15,0.009661614885708937,-386038.6875,,0.009308229001805788,,,1m18s
retrain,16,0.00589985479398941,-398092.40625,,0.009308229001805788,,,1m23s
retrain,17,0.004666622367571108,-412648.46875,,0.009308229001805788,,,1m29s
retrain,18,0.004225470959953964,-429295.09375,,0.009308229001805788,,,1m34s
retrain,19,0.008755713145077849,-439416.46875,,0.009308229001805788,,,1m39s
retrain,20,0.0053791640947572885,-460598.0,,0.009308229001805788,0.9814,73.30,1m45s
retrain,21,0.005789316056141009,-482910.375,,0.009308229001805788,,,1m50s
retrain,22,0.012321521854090195,-494237.0625,,0.009308229001805788,,,1m55s
retrain,23,0.007107922776322812,-534112.0,,0.009308229001805788,,,2m00s
retrain,24,0.006514710201136768,-608013.0,,0.009308229001805788,,,2m05s
retrain,25,0.009462892116513104,-768521.25,,0.009308229001805788,,,2m11s
retrain,26,0.00512215444566682,-855133.375,,0.009308229001805788,,,2m16s
retrain,27,0.003054896911334557,-850403.3125,,0.009308229001805788,,,2m21s
retrain,28,0.0012288673885632307,-858965.0,,0.009308229001805788,,,2m26s
retrain,29,0.000743504911812488,-881500.0,,0.009308229001805788,,,2m32s
retrain,30,0.015764592072887655,-614712.375,,0.009308229001805788,,,2m37s
retrain,31,0.007416517826293906,-801223.5625,,0.009308229001805788,,,2m42s
retrain,32,0.0008235755428050955,-823878.5,,0.009308229001805788,,,2m47s
retrain,33,0.0004000105852105965,-831001.75,,0.009308229001805788,,,2m53s
retrain,34,0.0003422772484831512,-836561.375,,0.009308229001805788,,,2m58s
retrain,35,0.0004353872323069178,-821852.125,,0.009308229001805788,,,3m03s
retrain,36,0.023430206143665904,-644525.3125,,0.009308229001805788,,,3m09s
retrain,37,0.0037104493732874593,-748839.4375,,0.009308229001805788,,,3m14s
retrain,38,0.0008493892353842967,-770220.125,,0.009308229001805788,,,3m19s
retrain,39,0.0003254800445322568,-780636.5,,0.009308229001805788,,,3m25s
retrain,40,0.00031214455166482367,-783776.625,,0.009308229001805788,0.9823,33.17,3m30s
