phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.009249031579021055,-228013.5,,0.009173166998252288,,,5s
retrain,2,0.0060729915031930435,-287004.65625,,0.009173166998252288,,,10s
retrain,3,0.005654060795639331,-301679.15625,,0.009173166998252288,,,15s
retrain,4,0.007128090959927067,-309394.34375,,0.009173166998252288,,,20s
retrain,5,0.008429817028110846,-315929.0,,0.009173166998252288,,,26s
retrain,6,0.006801957700455872,-322722.65625,,0.009173166998252288,,,31s
retrain,7,0.006316806235769763,-329122.4375,,0.009173166998252288,,,36s
retrain,8,0.005876606749448304,-336483.09375,,0.009173166998252288,,,41s
retrain,9,0.005760965354104216,-344807.1875,,0.009173166998252288,,,47s
retrain,10,0.008787449259326483,-349120.21875,,0.009173166998252288,,,52s
retrain,11,0.006067817882857829,-357212.59375,,0.009173166998252288,,,57s
retrain,12,0.006178310186555609,-364888.625,,0.009173166998252288,,,1m03s
retrain,13,0.0048359543021341475,-374503.53125,,0.009173166998252288,,,1m08s
retrain,14,0.007238603412375475,-381167.25,,0.009173166998252288,,,1m13s
retrain,15,0.006460479992783318,-390261.96875,,0.009173166998252288,,,1m19s
retrain,16,0.0030425891337916254,-407562.6875,,0.009173166998252288,,,1m24s
retrain,17,0.011507859194325284,-412000.53125,,0.009173166998252288,,,1m29s
retrain,18,0.0061579055808639776,-425851.53125,,0.009173166998252288,,,1m35s
retrain,19,0.005763063504981498,-441033.03125,,0.009173166998252288,,,1m40s
retrain,20,0.007376219789963215,-453809.21875,,0.009173166998252288,0.9814,79.42,1m46s
retrain,21,0.008073018006809677,-468619.5625,,0.009173166998252288,,,1m51s
retrain,22,0.006083981651843836,-491911.21875,,0.009173166998252288,,,1m56s
retrain,23,0.004824258085262652,-525133.75,,0.009173166998252288,,,2m02s
retrain,24,0.009680005415622145,-549802.5625,,0.009173166998252288,,,2m07s
retrain,25,0.010455383108742534,-588706.0,,0.009173166998252288,,,2m12s
retrain,26,0.006496214846459528,-660460.375,,0.009173166998252288,,,2m17s
retrain,27,0.010052658376268422,-702761.9375,,0.009173166998252288,,,2m22s
retrain,28,0.00543937837354218,-759198.3125,,0.009173166998252288,,,2m27s
retrain,29,0.009302882036877175,-739712.5625,,0.009173166998252288,,,2m32s
retrain,30,0.0039012211572689317,-770764.3125,,0.009173166998252288,,,2m38s
retrain,31,0.002195445400895551,-781492.6875,,0.009173166998252288,,,2m43s
retrain,32,0.009737782122349988,-752001.625,,0.009173166998252288,,,2m48s
retrain,33,0.0021352277665399014,-801843.0625,,0.009173166998252288,,,2m53s
retrain,34,0.0004731845340070625,-808047.125,,0.009173166998252288,,,2m58s
retrain,35,0.00041025935063371434,-805150.9375,,0.009173166998252288,,,3m03s
retrain,36,0.022219107758859172,-668767.0625,,0.009173166998252288,,,3m08s
retrain,37,0.005328714277991094,-774969.4375,,0.009173166998252288,,,3m13s
retrain,38,0.0005158336376266864,-800285.3125,,0.009173166998252288,,,3m19s
retrain,39,0.00023542851270467508,-802749.125,,0.009173166998252288,,,3m24s
retrain,40,0.0002060627525517096,-804173.4375,,0.009173166998252288,0.9834,52.53,3m29s
