phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.008247293281632786,-230416.40625,,0.006266804240273479,,,5s
retrain,2,0.006358352627713854,-282533.9375,,0.006266804240273479,,,10s
retrain,3,0.007325349400743531,-291515.78125,,0.006266804240273479,,,15s
retrain,4,0.008839042613996814,-293784.15625,,0.006266804240273479,,,21s
retrain,5,0.004159163834938469,-299652.25,,0.006266804240273479,,,26s
retrain,6,0.0014500379388298218,-308659.71875,,0.006266804240273479,,,31s
retrain,7,0.004722274163912516,-314952.875,,0.006266804240273479,,,36s
retrain,8,0.013789217818101558,-309960.1875,,0.006266804240273479,,,42s
retrain,9,0.0061282709272578355,-313614.75,,0.006266804240273479,,,47s
retrain,10,0.006207354367520505,-316847.5,,0.006266804240273479,,,52s
retrain,11,0.004304806361934364,-321738.5625,,0.006266804240273479,,,57s
retrain,12,0.006225920820290533,-324767.84375,,0.006266804240273479,,,1m02s
retrain,13,0.006440882438743332,-326855.5,,0.006266804240273479,,,1m07s
retrain,14,0.0035308074291679078,-332610.75,,0.006266804240273479,,,1m12s
retrain,15,0.00792657537025516,-333442.09375,,0.006266804240273479,,,1m18s
retrain,16,0.006193095808662474,-336737.5625,,0.006266804240273479,,,1m23s
retrain,17,0.0025763840012601575,-343761.375,,0.006266804240273479,,,1m28s
retrain,18,0.007410489181363179,-345494.15625,,0.006266804240273479,,,1m33s
retrain,19,0.004985809650163477,-350199.03125,,0.006266804240273479,,,1m38s
retrain,20,0.0030593938075219435,-357749.84375,,0.006266804240273479,0.9813,98.95,1m44s
retrain,21,0.002919262540759519,-366147.53125,,0.006266804240273479,,,1m49s
retrain,22,0.00785604967485803,-366880.28125,,0.006266804240273479,,,1m54s
retrain,23,0.00523764927299344,-371651.25,,0.006266804240273479,,,1m59s
retrain,24,0.006121725946199149,-375835.40625,,0.006266804240273479,,,2m04s
retrain,25,0.00555707450559518,-380683.625,,0.006266804240273479,,,2m09s
retrain,26,0.005084145910836136,-387564.34375,,0.006266804240273479,,,2m15s
retrain,27,0.005291232664390312,-392098.5625,,0.006266804240273479,,,2m20s
retrain,28,0.005560424807126401,-397797.0,,0.006266804240273479,,,2m25s
retrain,29,0.003196302859329929,-409996.34375,,0.006266804240273479,,,2m30s
retrain,30,0.0038619607601237172,-420837.65625,,0.006266804240273479,,,2m35s
retrain,31,0.008066094986884854,-420686.25,,0.006266804240273479,,,2m40s
retrain,32,0.005067102193991499,-432337.3125,,0.006266804240273479,,,2m45s
retrain,33,0.004205744340639406,-445521.0,,0.006266804240273479,,,2m50s
retrain,34,0.005617157787581285,-458878.15625,,0.006266804240273479,,,2m56s
retrain,35,0.005477960998161386,-473652.84375,,0.006266804240273479,,,3m01s
retrain,36,0.002889583501056768,-503862.3125,,0.006266804240273479,,,3m06s
retrain,37,0.010012058318941855,-509144.375,,0.006266804240273479,,,3m11s
retrain,38,0.004993464308713252,-545734.4375,,0.006266804240273479,,,3m16s
retrain,39,0.005485848616098519,-591164.1875,,0.006266804240273479,,,3m21s
retrain,40,0.003696516089568225,-677906.3125,,0.006266804240273479,0.9791,46.60,3m27s
