phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.009155745709198528,-210499.78125,,0.003474821130689769,,,5s
retrain,2,0.007005844287401608,-264042.9375,,0.003474821130689769,,,10s
retrain,3,0.004034378303226549,-276413.125,,0.003474821130689769,,,15s
retrain,4,0.0076388896451719725,-278637.5,,0.003474821130689769,,,20s
retrain,5,0.007857867485804793,-278614.96875,,0.003474821130689769,,,25s
retrain,6,0.00552626522887925,-279243.375,,0.003474821130689769,,,30s
retrain,7,0.004697193768787353,-280225.96875,,0.003474821130689769,,,36s
retrain,8,0.00814879648014127,-279153.90625,,0.003474821130689769,,,41s
retrain,9,0.0023987077793339267,-282737.375,,0.003474821130689769,,,46s
retrain,10,0.00033379930765756096,-290005.78125,,0.003474821130689769,,,51s
retrain,11,0.00011920646624833655,-299350.53125,,0.003474821130689769,,,56s
retrain,12,8.745621841493024e-05,-310595.65625,,0.003474821130689769,,,1m02s
retrain,13,9.940188047185075e-05,-323866.5,,0.003474821130689769,,,1m07s
retrain,14,0.00011691370867095732,-340364.28125,,0.003474821130689769,,,1m12s
retrain,15,0.02082177150505013,-322195.40625,,0.003474821130689769,,,1m18s
retrain,16,0.012996970015919457,-318275.15625,,0.003474821130689769,,,1m23s
retrain,17,0.004157280060579069,-320723.28125,,0.003474821130689769,,,1m28s
retrain,18,0.001220714140093575,-327498.125,,0.003474821130689769,,,1m33s
retrain,19,0.00586379035784242,-327000.34375,,0.003474821130689769,,,1m38s
retrain,20,0.0061969408373852885,-325828.03125,,0.003474821130689769,0.9809,101.46,1m43s
retrain,21,0.005002187418759179,-326376.5625,,0.003474821130689769,,,1m49s
retrain,22,0.007134907281391012,-323458.0,,0.003474821130689769,,,1m54s
retrain,23,0.0056853221908774385,-323684.0,,0.003474821130689769,,,1m59s
retrain,24,0.004398160535859642,-325811.5,,0.003474821130689769,,,2m05s
retrain,25,0.003760400849309129,-327224.78125,,0.003474821130689769,,,2m10s
retrain,26,0.00398320621655148,-329179.21875,,0.003474821130689769,,,2m15s
retrain,27,0.0048544383868109435,-329727.1875,,0.003474821130689769,,,2m20s
retrain,28,0.0067859009709965905,-327973.3125,,0.003474821130689769,,,2m25s
retrain,29,0.003928434267985479,-330370.09375,,0.003474821130689769,,,2m31s
retrain,30,0.00459913199932198,-331687.03125,,0.003474821130689769,,,2m36s
retrain,31,0.004523228552475726,-332282.125,,0.003474821130689769,,,2m41s
retrain,32,0.0042116058759391305,-333879.84375,,0.003474821130689769,,,2m46s
retrain,33,0.006038245253315351,-332864.3125,,0.003474821130689769,,,2m51s
retrain,34,0.0024900984420790336,-337201.0,,0.003474821130689769,,,2m57s
retrain,35,0.00409374947566151,-338414.0625,,0.003474821130689769,,,3m02s
retrain,36,0.0037899415495436795,-340437.90625,,0.003474821130689769,,,3m07s
retrain,37,0.0038623210251855196,-339958.75,,0.003474821130689769,,,3m12s
retrain,38,0.0043734892839303935,-339862.375,,0.003474821130689769,,,3m17s
retrain,39,0.006452503958623857,-340096.0,,0.003474821130689769,,,3m22s
retrain,40,0.0017172144897340332,-346258.71875,,0.003474821130689769,0.9813,81.76,3m28s
