phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,0.35050974901517234,,,,0.9523,,4s
pretrain,2,0.13823176677028337,,,,0.9648,,9s
pretrain,3,0.0888552248775959,,,,0.9717,,14s
pretrain,4,0.06382115814685821,,,,0.9751,,18s
pretrain,5,0.04914494829773903,,,,0.9753,,23s
pretrain,6,0.03687251263062159,,,,0.9785,,28s
pretrain,7,0.028611755961924792,,,,0.9722,,32s
pretrain,8,0.024727887305617334,,,,0.9790,,36s
pretrain,9,0.017471205711364745,,,,0.9788,,41s
pretrain,10,0.014097024916733305,,,,0.9794,,45s
pretrain,11,0.013515600477531552,,,,0.9752,,50s
pretrain,12,0.01352339623880883,,,,0.9799,,54s
pretrain,13,0.010322597002486387,,,,0.9774,,59s
pretrain,14,0.00988391927263389,,,,0.9804,,1m03s
pretrain,15,0.009239662440183262,,,,0.9808,,1m08s
pretrain,16,0.007805140399886295,,,,0.9776,,1m12s
pretrain,17,0.008153133329252401,,,,0.9783,,1m16s
pretrain,18,0.0061152083980618045,,,,0.9773,,1m21s
pretrain,19,0.008344028548073644,,,,0.9801,,1m25s
pretrain,20,0.005396915764346098,,,,0.9795,,1m30s
retrain,1,0.0023961530075447325,-224903.484375,,0.005,0.9821,,8s
retrain,2,0.0009398545294000845,-284749.03125,,0.005,0.9809,,15s
retrain,3,0.0029718244914275905,-297808.71875,,0.005,0.9810,,24s
retrain,4,0.001047201501346232,-305841.25,,0.005,0.9831,,32s
retrain,5,0.00042702424518065526,-314854.34375,,0.005,0.9833,,40s
retrain,6,0.00021980974116401437,-326307.03125,,0.005,0.9828,,48s
retrain,7,0.0004599659764557146,-338811.5,,0.005,0.9825,,58s
retrain,8,0.007060281764692627,-339521.75,,0.005,0.9824,,1m06s
retrain,9,0.0021685125610092656,-343737.84375,,0.005,0.9831,,1m14s
retrain,10,0.0005047775234386791,-350927.90625,,0.005,0.9833,,1m23s
retrain,11,0.00024744860524854935,-360351.84375,,0.005,0.9839,,1m31s
retrain,12,0.0002158723365321445,-372134.34375,,0.005,0.9832,,1m39s
retrain,13,0.0002528649507633721,-386867.59375,,0.005,0.9839,,1m47s
retrain,14,0.00493613607485313,-393856.90625,,0.005,0.9780,,1m55s
retrain,15,0.005838787794066593,-393847.84375,,0.005,0.9806,,2m03s
retrain,16,0.0019243743657367304,-399005.84375,,0.005,0.9817,,2m11s
retrain,17,0.0006419845639960841,-407499.5625,,0.005,0.9833,,2m20s
retrain,18,0.0003807131219189614,-418703.9375,,0.005,0.9834,,2m28s
retrain,19,0.0010154589829888816,-430199.59375,,0.005,0.9807,,2m36s
retrain,20,0.0074452891796516875,-425580.3125,,0.005,0.9817,,2m46s
retrain,21,0.001499901504108372,-432240.125,,0.005,0.9839,,2m54s
retrain,22,0.0005418189229404864,-442856.59375,,0.005,0.9829,,3m03s
retrain,23,0.00042325867069885136,-459419.53125,,0.005,0.9832,,3m11s
retrain,24,0.0017874982709608351,-473563.3125,,0.005,0.9775,,3m19s
retrain,25,0.009983986761483054,-466715.84375,,0.005,0.9813,,3m28s
retrain,26,0.002056786444837538,-476659.25,,0.005,0.9825,,3m36s
retrain,27,0.0007907823148261135,-491384.0625,,0.005,0.9825,,3m44s
retrain,28,0.0007329091168241576,-510558.625,,0.005,0.9829,,3m52s
retrain,29,0.0009205891054201251,-536004.5,,0.005,0.9829,,4m00s
retrain,30,0.01123714901531736,-525405.0625,,0.005,0.9821,,4m09s
retrain,31,0.002641871109077086,-541567.125,,0.005,0.9821,,4m17s
retrain,32,0.0018353449541144073,-560305.375,,0.005,0.9825,,4m25s
retrain,33,0.0011736904939947028,-590458.9375,,0.005,0.9833,,4m33s
retrain,34,0.005133964997312675,-605084.0625,,0.005,0.9782,,4m42s
retrain,35,0.006415930721225838,-619920.0625,,0.005,0.9788,,4m50s
retrain,36,0.004090249640184144,-649152.4375,,0.005,0.9820,,4m58s
retrain,37,0.0021648397363411885,-705506.4375,,0.005,0.9822,,5m06s
retrain,38,0.004045985022218277,-753794.75,,0.005,0.9810,,5m14s
retrain,39,0.005255148591784139,-801218.375,,0.005,0.9804,,5m23s
retrain,40,0.004869909004649768,-838296.875,,0.005,0.9804,,5m30s
retrain,41,0.002893741433353474,-869375.8125,,0.005,0.9800,,5m39s
retrain,42,0.0032421886081652096,-841857.0625,,0.005,0.9818,,5m47s
retrain,43,0.006215852359488296,-863605.0625,,0.005,0.9820,,5m55s
retrain,44,0.0010638087050368389,-898685.25,,0.005,0.9824,,6m04s
retrain,45,0.0008134114332186679,-900938.375,,0.005,0.9822,,6m12s
retrain,46,0.002719586522698713,-841223.3125,,0.005,0.9772,,6m21s
retrain,47,0.0069192627627402544,-826440.25,,0.005,0.9768,,6m29s
retrain,48,0.0023622720480741314,-891084.25,,0.005,0.9820,,6m37s
retrain,49,0.0004690229033352807,-902155.6875,,0.005,0.9823,,6m45s
retrain,50,0.0004067031894577667,-903368.3125,,0.005,0.9819,,6m53s
retrain,51,0.00038050377068963524,-903996.875,,0.005,0.9818,,7m01s
