phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,0.35050974901517234,,,,0.9523,,4s
pretrain,2,0.13823176677028337,,,,0.9648,,9s
pretrain,3,0.0888552248775959,,,,0.9717,,13s
pretrain,4,0.06382115814685821,,,,0.9751,,18s
pretrain,5,0.04914494829773903,,,,0.9753,,22s
pretrain,6,0.03687251263062159,,,,0.9785,,27s
pretrain,7,0.028611755961924792,,,,0.9722,,31s
pretrain,8,0.024727887305617334,,,,0.9790,,36s
pretrain,9,0.017471205711364745,,,,0.9788,,41s
pretrain,10,0.014097024916733305,,,,0.9794,,45s
pretrain,11,0.013515600477531552,,,,0.9752,,50s
pretrain,12,0.01352339623880883,,,,0.9799,,55s
pretrain,13,0.010322597002486387,,,,0.9774,,59s
pretrain,14,0.00988391927263389,,,,0.9804,,1m04s
pretrain,15,0.009239662440183262,,,,0.9808,,1m08s
pretrain,16,0.007805140399886295,,,,0.9776,,1m13s
pretrain,17,0.008153133329252401,,,,0.9783,,1m17s
pretrain,18,0.0061152083980618045,,,,0.9773,,1m22s
pretrain,19,0.008344028548073644,,,,0.9801,,1m27s
pretrain,20,0.005396915764346098,,,,0.9795,,1m31s
retrain,1,0.002785578480003945,-222489.609375,,0.01,0.9811,,8s
retrain,2,0.0009087142974409896,-290978.78125,,0.01,0.9820,,17s
retrain,3,0.003368029333142719,-314153.9375,,0.01,0.9793,,25s
retrain,4,0.001235828538929733,-329190.90625,,0.01,0.9807,,34s
retrain,5,0.001174364422610961,-344157.15625,,0.01,0.9823,,43s
retrain,6,0.00354214366277835,-356460.53125,,0.01,0.9803,,52s
retrain,7,0.002421947299813231,-367790.28125,,0.01,0.9813,,1m00s
retrain,8,0.0010455442629676932,-383518.28125,,0.01,0.9831,,1m09s
retrain,9,0.0005640190248300011,-405267.625,,0.01,0.9832,,1m18s
retrain,10,0.005700956162724954,-414517.96875,,0.01,0.9803,,1m26s
retrain,11,0.0046237447140738365,-426006.46875,,0.01,0.9819,,1m35s
retrain,12,0.0015950745636054003,-445180.53125,,0.01,0.9827,,1m44s
retrain,13,0.001106275269187366,-471697.875,,0.01,0.9832,,1m53s
retrain,14,0.005146755654551089,-489228.875,,0.01,0.9795,,2m02s
retrain,15,0.004924008102342487,-507763.1875,,0.01,0.9811,,2m10s
retrain,16,0.0040505513158316415,-530775.625,,0.01,0.9795,,2m20s
retrain,17,0.004044249863239626,-558857.375,,0.01,0.9807,,2m29s
retrain,18,0.005460733293369413,-589428.0,,0.01,0.9800,,2m38s
retrain,19,0.0071103227245310945,-626430.75,,0.01,0.9793,,2m47s
retrain,20,0.0071542535593733195,-681270.375,,0.01,0.9799,,2m55s
retrain,21,0.0082731642746677,-762127.375,,0.01,0.9795,,3m04s
retrain,22,0.00943751833786567,-848798.5,,0.01,0.9799,,3m13s
retrain,23,0.008117070300504564,-895262.125,,0.01,0.9800,,3m21s
retrain,24,0.008309982150420546,-894592.4375,,0.01,0.9813,,3m30s
retrain,25,0.005606181220151484,-909212.875,,0.01,0.9799,,3m38s
retrain,26,0.004951216647339364,-903889.6875,,0.01,0.9799,,3m47s
retrain,27,0.00545182450140516,-896048.375,,0.01,0.9808,,3m56s
retrain,28,0.004146404986223206,-918566.5625,,0.01,0.9814,,4m05s
retrain,29,0.003156223628949374,-906985.1875,,0.01,0.9788,,4m13s
retrain,30,0.004459379310999065,-918000.9375,,0.01,0.9814,,4m22s
retrain,31,0.0023875924419922132,-919911.0625,,0.01,0.9813,,4m31s
retrain,32,0.002412369110373159,-908316.25,,0.01,0.9796,,4m40s
retrain,33,0.002795458905181537,-916576.9375,,0.01,0.9801,,4m48s
retrain,34,0.0064513539927856375,-857142.5,,0.01,0.9750,,4m57s
retrain,35,0.00448697658291397,-923447.1875,,0.01,0.9817,,5m06s
retrain,36,0.0008298310044299191,-930885.625,,0.01,0.9822,,5m14s
retrain,37,0.0006945876199829702,-932719.875,,0.01,0.9816,,5m23s
retrain,38,0.008945630145942171,-896468.5625,,0.01,0.9823,,5m32s
retrain,39,0.0013408990051597357,-930938.875,,0.01,0.9814,,5m40s
retrain,40,0.0006704072653005521,-933821.125,,0.01,0.9812,,5m49s
retrain,41,0.0006289038302764918,-934500.0,,0.01,0.9819,,5m58s
retrain,42,0.0006770517185757247,-934980.9375,,0.01,0.9813,,6m06s
retrain,43,0.01175954919019714,-878759.6875,,0.01,0.9815,,6m15s
retrain,44,0.0017534296797549662,-932525.125,,0.01,0.9819,,6m24s
retrain,45,0.0005311889438113818,-936040.6875,,0.01,0.9819,,6m33s
retrain,46,0.0004928967165101009,-937706.375,,0.01,0.9819,,6m41s
retrain,47,0.0039879130043943105,-847886.5,,0.01,0.9744,,6m50s
retrain,48,0.008604626635997556,-898608.875,,0.01,0.9804,,6m59s
retrain,49,0.0013578031946827347,-934757.875,,0.01,0.9821,,7m08s
retrain,50,0.0004229744683563088,-937620.125,,0.01,0.9822,,7m16s
retrain,51,0.0004501004005006204,-938128.0625,,0.01,0.9815,,7m25s
retrain,52,0.00046839847828571997,-936841.5,,0.01,0.9816,,7m34s
