phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001294820388538786,-402249.5,,0.0044376464843244035,,,14s
retrain,2,0.0008355879388961208,-543210.0,,0.0044376464843244035,,,31s
retrain,3,0.0008267711431426505,-605496.5,,0.0044376464843244035,,,1m01s
retrain,4,0.0016996944492920496,-644591.375,,0.0044376464843244035,,,1m15s
retrain,5,0.0010391062034045414,-687220.5,,0.0044376464843244035,,,1m29s
retrain,6,0.0002673948127065766,-745781.1875,,0.0044376464843244035,,,1m44s
retrain,7,0.0031910976757397293,-788780.25,,0.0044376464843244035,,,1m58s
retrain,8,0.001832564079965232,-837869.4375,,0.0044376464843244035,,,2m15s
retrain,9,0.0006912416145283108,-920357.375,,0.0044376464843244035,,,2m34s
retrain,10,0.0032204835085819163,-996207.5625,,0.0044376464843244035,,,3m02s
retrain,11,0.0030519605501166855,-1095003.75,,0.0044376464843244035,,,3m32s
retrain,12,0.004431426173584381,-1214963.625,,0.0044376464843244035,,,4m01s
retrain,13,0.0034108817628740024,-1417926.625,,0.0044376464843244035,,,4m30s
retrain,14,0.00546973750560234,-1478547.75,,0.0044376464843244035,,,4m58s
retrain,15,0.002604553705609093,-1534883.75,,0.0044376464843244035,,,5m27s
retrain,16,0.0019751776354542624,-1565236.0,,0.0044376464843244035,,,5m56s
retrain,17,0.0019399960849628163,-1585505.375,,0.0044376464843244035,,,6m19s
retrain,18,0.0016452987200638745,-1566842.625,,0.0044376464843244035,,,6m48s
retrain,19,0.0012185327811302462,-1595547.25,,0.0044376464843244035,,,7m17s
retrain,20,0.0025992073371385533,-1438699.5,,0.0044376464843244035,0.9915,82.89,7m47s
retrain,21,0.0015568678193065958,-1593551.125,,0.0044376464843244035,,,8m16s
retrain,22,0.00047550875517408714,-1582292.0,,0.0044376464843244035,,,8m45s
retrain,23,0.0030804782903306963,-1577044.875,,0.0044376464843244035,,,9m14s
retrain,24,0.00033220704982037813,-1596969.375,,0.0044376464843244035,,,9m43s
retrain,25,0.0017508215841817824,-1590149.0,,0.0044376464843244035,,,10m04s
retrain,26,0.00017656329679351378,-1602262.875,,0.0044376464843244035,,,10m33s
retrain,27,0.0001181488987179364,-1603489.875,,0.0044376464843244035,,,11m02s
retrain,28,0.00010187391102948216,-1605163.5,,0.0044376464843244035,,,11m30s
