phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.18324761137962342,-1704283.75,,0.0044376464843244035,,,3m44s
retrain,2,0.16391532204151155,-2250287.75,,0.0044376464843244035,,,7m28s
retrain,3,0.15759674362659454,-2786882.75,,0.0044376464843244035,,,11m11s
retrain,4,0.14821814485549928,-3312718.5,,0.0044376464843244035,,,14m56s
retrain,5,0.14128331873893737,-3823745.75,,0.0044376464843244035,,,18m40s
retrain,6,0.13624406321525573,-4314267.5,,0.0044376464843244035,,,22m25s
retrain,7,0.128291040058136,-4775520.5,,0.0044376464843244035,,,26m11s
retrain,8,0.12477284457206726,-5197629.0,,0.0044376464843244035,,,29m58s
retrain,9,0.12475587468147278,-5568141.5,,0.0044376464843244035,,,33m26s
retrain,10,0.1183147692322731,-5897372.5,,0.0044376464843244035,,,36m25s
retrain,11,0.11508844392299653,-6216466.0,,0.0044376464843244035,,,39m25s
retrain,12,0.11470544280052185,-6545630.5,,0.0044376464843244035,,,41m54s
retrain,13,0.10746149331569671,-6893342.0,,0.0044376464843244035,,,43m51s
retrain,14,0.11379441431045532,-7267956.5,,0.0044376464843244035,,,45m48s
retrain,15,0.10846564037322998,-7673496.0,,0.0044376464843244035,,,47m45s
retrain,16,0.10591733561992646,-8099945.0,,0.0044376464843244035,,,49m42s
retrain,17,0.10060490792751313,-8544358.0,,0.0044376464843244035,,,51m38s
retrain,18,0.10057213551282883,-8997887.0,,0.0044376464843244035,,,53m35s
retrain,19,0.09612505110263825,-9450870.0,,0.0044376464843244035,,,55m32s
retrain,20,0.09592728092670441,-9900592.0,,0.0044376464843244035,0.9101,69.71,57m31s
retrain,21,0.08754711550712585,-10331370.0,,0.0044376464843244035,,,59m28s
retrain,22,0.08350607296466828,-10714235.0,,0.0044376464843244035,,,1h01m26s
retrain,23,0.09123918032288551,-11044410.0,,0.0044376464843244035,,,1h03m25s
retrain,24,0.08527670901298523,-11341432.0,,0.0044376464843244035,,,1h05m23s
retrain,25,0.07865235992908477,-11570762.0,,0.0044376464843244035,,,1h07m21s
retrain,26,0.07700922495603561,-11720663.0,,0.0044376464843244035,,,1h09m18s
retrain,27,0.0820158873128891,-11784871.0,,0.0044376464843244035,,,1h11m16s
retrain,28,0.07814947892427444,-11805893.0,,0.0044376464843244035,,,1h13m15s
retrain,29,0.07522123109817505,-11825697.0,,0.0044376464843244035,,,1h15m12s
retrain,30,0.07736631367444992,-11807758.0,,0.0044376464843244035,,,1h17m10s
retrain,31,0.07476918253183365,-11813234.0,,0.0044376464843244035,,,1h19m08s
retrain,32,0.0700714059829712,-11814443.0,,0.0044376464843244035,,,1h21m06s
retrain,33,0.0706639770936966,-11791418.0,,0.0044376464843244035,,,1h23m05s
retrain,34,0.07579220250606537,-11786129.0,,0.0044376464843244035,,,1h25m02s
retrain,35,0.0669589633011818,-11785719.0,,0.0044376464843244035,,,1h27m00s
retrain,36,0.07013753225922585,-11783404.0,,0.0044376464843244035,,,1h28m58s
retrain,37,0.06602920211315155,-11788213.0,,0.0044376464843244035,,,1h30m56s
retrain,38,0.06735358833312988,-11791541.0,,0.0044376464843244035,,,1h32m54s
retrain,39,0.06362128713607788,-11769580.0,,0.0044376464843244035,,,1h34m53s
retrain,40,0.0635653799366951,-11762246.0,,0.0044376464843244035,0.9065,70.12,1h36m53s
