phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,0.35050974901517234,,,,0.9523,,4s
pretrain,2,0.13823176677028337,,,,0.9648,,9s
pretrain,3,0.0888552248775959,,,,0.9717,,13s
pretrain,4,0.06382115814685821,,,,0.9751,,18s
pretrain,5,0.04914494829773903,,,,0.9753,,22s
pretrain,6,0.03687251263062159,,,,0.9785,,27s
pretrain,7,0.028611755961924792,,,,0.9722,,31s
pretrain,8,0.024727887305617334,,,,0.9790,,36s
pretrain,9,0.017471205711364745,,,,0.9788,,40s
pretrain,10,0.014097024916733305,,,,0.9794,,44s
pretrain,11,0.013515600477531552,,,,0.9752,,49s
pretrain,12,0.01352339623880883,,,,0.9799,,53s
pretrain,13,0.010322597002486387,,,,0.9774,,58s
pretrain,14,0.00988391927263389,,,,0.9804,,1m02s
pretrain,15,0.009239662440183262,,,,0.9808,,1m06s
pretrain,16,0.007805140399886295,,,,0.9776,,1m11s
pretrain,17,0.008153133329252401,,,,0.9783,,1m15s
pretrain,18,0.0061152083980618045,,,,0.9773,,1m19s
pretrain,19,0.008344028548073644,,,,0.9801,,1m24s
pretrain,20,0.005396915764346098,,,,0.9795,,1m28s
retrain,1,0.0023939050093099165,-243753.15625,,0.005,0.9822,,4s
retrain,2,0.0008115969754619679,-296574.40625,,0.005,0.9803,,9s
retrain,3,0.002579897242113172,-308024.1875,,0.005,0.9815,,14s
retrain,4,0.0017822062190699702,-314606.5625,,0.005,0.9806,,18s
retrain,5,0.0006298124452160361,-322701.34375,,0.005,0.9835,,23s
retrain,6,0.00019932596045740258,-333651.6875,,0.005,0.9833,,28s
retrain,7,0.00017612271232161827,-349332.53125,,0.005,0.9834,,33s
retrain,8,0.0004913755709499431,-364536.3125,,0.005,0.9811,,37s
retrain,9,0.009615561455798645,-357008.1875,,0.005,0.9823,,42s
retrain,10,0.001330963701180493,-362147.625,,0.005,0.9834,,47s
retrain,11,0.00044789015273175514,-369791.4375,,0.005,0.9835,,52s
retrain,12,0.00025580389972310513,-379693.09375,,0.005,0.9839,,56s
retrain,13,0.00026148571137067243,-391770.53125,,0.005,0.9835,,1m01s
retrain,14,0.0003640570228143285,-406319.4375,,0.005,0.9833,,1m06s
retrain,15,0.010374736034233743,-399459.5,,0.005,0.9807,,1m10s
retrain,16,0.0022364434676865738,-404777.21875,,0.005,0.9821,,1m15s
retrain,17,0.0007676341055038695,-412897.625,,0.005,0.9831,,1m20s
retrain,18,0.00043285929268846907,-423553.71875,,0.005,0.9830,,1m25s
retrain,19,0.00042161362725310025,-437017.125,,0.005,0.9830,,1m29s
retrain,20,0.00614846277559797,-434308.28125,,0.005,0.9799,,1m34s
retrain,21,0.0033020443197184553,-439342.5625,,0.005,0.9835,,1m39s
retrain,22,0.0016161345440428704,-447740.25,,0.005,0.9830,,1m44s
retrain,23,0.0006955507352249697,-460504.375,,0.005,0.9842,,1m48s
retrain,24,0.0004869724094091604,-477783.78125,,0.005,0.9838,,1m53s
retrain,25,0.0033228222308059534,-489374.4375,,0.005,0.9761,,1m58s
retrain,26,0.008033576424140484,-486167.09375,,0.005,0.9807,,2m02s
retrain,27,0.0022090685239527373,-496888.21875,,0.005,0.9821,,2m07s
retrain,28,0.0009965600600698962,-512871.4375,,0.005,0.9833,,2m12s
retrain,29,0.0006893974712584167,-536349.125,,0.005,0.9830,,2m17s
retrain,30,0.005242993053607642,-541316.4375,,0.005,0.9794,,2m22s
retrain,31,0.005736040165989349,-550303.0625,,0.005,0.9811,,2m26s
retrain,32,0.0015069803724996745,-575556.3125,,0.005,0.9816,,2m31s
retrain,33,0.0014728699222207068,-611107.1875,,0.005,0.9816,,2m36s
retrain,34,0.006794986917792509,-626854.9375,,0.005,0.9811,,2m40s
retrain,35,0.005130506858602166,-676786.0625,,0.005,0.9801,,2m45s
retrain,36,0.0037523405900845926,-1128280.375,,0.005,0.9812,,2m50s
retrain,37,0.0014375682254942756,-1498754.75,,0.005,0.9827,,2m55s
retrain,38,0.0008697242791919659,-1681686.75,,0.005,0.9827,,2m59s
retrain,39,0.0006797500763709347,-1689961.25,,0.005,0.9826,,3m04s
retrain,40,0.0005709975645683395,-1698985.75,,0.005,0.9825,,3m09s
retrain,41,0.0004700609258065621,-1696875.0,,0.005,0.9824,,3m14s
retrain,42,0.00040035215756700684,-1706175.75,,0.005,0.9821,,3m18s
retrain,43,0.0003449310737273966,-1712408.375,,0.005,0.9825,,3m23s
retrain,44,0.00029034772931481713,-1715342.375,,0.005,0.9816,,3m28s
retrain,45,0.0002567570447184456,-1717725.125,,0.005,0.9822,,3m33s
retrain,46,0.005071573380340123,-1033018.0625,,0.005,0.9756,,3m38s
retrain,47,0.010515652762772516,-1014617.75,,0.005,0.9782,,3m43s
retrain,48,0.0023893266037106516,-1061000.5,,0.005,0.9811,,3m47s
retrain,49,0.0005642676852255439,-1107872.25,,0.005,0.9818,,3m52s
retrain,50,0.0002769301237189211,-1189996.25,,0.005,0.9826,,3m57s
retrain,51,0.0002483916737915327,-1365272.125,,0.005,0.9818,,4m02s
