phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0020628758600524937,-250199.515625,,0.0030708037011840258,0.9827,,21s
retrain,2,0.0015440603523747996,-254424.5,,0.0030708037011840258,0.9824,,41s
retrain,3,0.0009143854006610733,-257867.109375,,0.0030708037011840258,0.9831,,1m02s
retrain,4,0.00015708678447505614,-261915.640625,,0.0030708037011840258,0.9836,,1m23s
retrain,5,8.831246684518797e-05,-266355.59375,,0.0030708037011840258,0.9838,,1m43s
retrain,6,7.861389843552994e-05,-271112.5625,,0.0030708037011840258,0.9835,,2m04s
retrain,7,7.51677616154969e-05,-276212.59375,,0.0030708037011840258,0.9835,,2m25s
retrain,8,7.879104010256318e-05,-281648.84375,,0.0030708037011840258,0.9839,,2m46s
retrain,9,0.00794887793920255,-282485.84375,,0.0030708037011840258,0.9801,,3m07s
retrain,10,0.0027654907868476584,-284050.34375,,0.0030708037011840258,0.9816,25.68,3m27s
retrain,11,0.0020151777637850803,-285973.21875,,0.0030708037011840258,0.9817,,3m48s
retrain,12,0.00033065094803265914,-288662.625,,0.0030708037011840258,0.9820,,4m08s
retrain,13,0.00013722857900429517,-291680.15625,,0.0030708037011840258,0.9824,,4m30s
retrain,14,0.00010119558247436847,-294957.03125,,0.0030708037011840258,0.9827,,4m50s
retrain,15,9.003146966230512e-05,-298544.90625,,0.0030708037011840258,0.9826,,5m11s
retrain,16,9.445578910720845e-05,-302488.5625,,0.0030708037011840258,0.9822,,5m31s
retrain,17,8.157055718523528e-05,-306898.46875,,0.0030708037011840258,0.9823,,5m52s
retrain,18,8.450766911070484e-05,-311807.125,,0.0030708037011840258,0.9824,,6m13s
retrain,19,0.008458005098329158,-311622.4375,,0.0030708037011840258,0.9801,,6m34s
retrain,20,0.004093290932973226,-312211.21875,,0.0030708037011840258,0.9810,59.97,6m55s
retrain,21,0.0005978373473063888,-314326.5,,0.0030708037011840258,0.9834,,7m15s
retrain,22,0.00017782463810702513,-316995.21875,,0.0030708037011840258,0.9829,,7m36s
retrain,23,0.00012915318026401413,-319946.0,,0.0030708037011840258,0.9834,,7m57s
retrain,24,0.0001092792088426601,-323240.0625,,0.0030708037011840258,0.9833,,8m17s
retrain,25,0.00010029293079763495,-326962.03125,,0.0030708037011840258,0.9835,,8m38s
retrain,26,9.83064673714883e-05,-331188.71875,,0.0030708037011840258,0.9833,,9m00s
retrain,27,0.00010315314253142181,-335976.28125,,0.0030708037011840258,0.9834,,9m17s
retrain,28,0.00048174784193009447,-340691.15625,,0.0030708037011840258,0.9750,,9m38s
retrain,29,0.011965925620682537,-335639.59375,,0.0030708037011840258,0.9800,,9m59s
retrain,30,0.0013279170196581012,-337110.375,,0.0030708037011840258,0.9826,51.50,10m20s
