phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.00310988529251966,-267052.84375,,0.00440338712821944,0.9823,,21s
retrain,2,0.0009913986613915768,-273565.3125,,0.00440338712821944,0.9825,,42s
retrain,3,0.0005169640936578313,-278950.375,,0.00440338712821944,0.9831,,1m03s
retrain,4,0.00018694826287101024,-284859.96875,,0.00440338712821944,0.9832,,1m24s
retrain,5,0.0047243257392100835,-287107.375,,0.00440338712821944,0.9781,,1m45s
retrain,6,0.0019070624574495014,-290394.75,,0.00440338712821944,0.9821,,2m06s
retrain,7,0.0006468887418450322,-294455.25,,0.00440338712821944,0.9816,,2m27s
retrain,8,0.0004099773010064382,-298986.71875,,0.00440338712821944,0.9820,,2m47s
retrain,9,0.0001409702717413893,-304304.6875,,0.00440338712821944,0.9829,,3m08s
retrain,10,0.00011114786106336396,-310267.34375,,0.00440338712821944,0.9822,23.84,3m29s
retrain,11,0.00010018969998636748,-316989.03125,,0.00440338712821944,0.9832,,3m49s
retrain,12,0.0001128135119836467,-324401.03125,,0.00440338712821944,0.9835,,4m10s
retrain,13,0.0076440914394139935,-325970.375,,0.00440338712821944,0.9785,,4m31s
retrain,14,0.005391199283495855,-326753.6875,,0.00440338712821944,0.9830,,4m52s
retrain,15,0.0007719576355302706,-329920.125,,0.00440338712821944,0.9832,,5m13s
retrain,16,0.0002436268689460121,-333870.4375,,0.00440338712821944,0.9833,,5m33s
retrain,17,0.00017143603166769027,-338345.8125,,0.00440338712821944,0.9832,,5m54s
retrain,18,0.00015202942333805065,-343419.21875,,0.00440338712821944,0.9831,,6m15s
retrain,19,0.0001483666829658129,-349216.53125,,0.00440338712821944,0.9829,,6m35s
retrain,20,0.00016090937241873082,-355798.03125,,0.00440338712821944,0.9835,40.19,6m56s
retrain,21,0.008957564760783377,-353562.96875,,0.00440338712821944,0.9815,,7m17s
retrain,22,0.0020400835816903663,-355666.4375,,0.00440338712821944,0.9838,,7m38s
retrain,23,0.0008982464482173479,-358610.625,,0.00440338712821944,0.9839,,7m59s
retrain,24,0.00047172923128431044,-362503.125,,0.00440338712821944,0.9835,,8m20s
retrain,25,0.0001852745678120603,-367568.65625,,0.00440338712821944,0.9839,,8m41s
retrain,26,0.00016948805139594092,-373419.34375,,0.00440338712821944,0.9836,,9m02s
retrain,27,0.000184567376423729,-380236.125,,0.00440338712821944,0.9826,,9m22s
retrain,28,0.0010721868868451565,-386757.125,,0.00440338712821944,0.9685,,9m43s
retrain,29,0.01163740538887214,-380532.28125,,0.00440338712821944,0.9804,,10m04s
retrain,30,0.0017395290363541184,-382791.21875,,0.00440338712821944,0.9830,35.09,10m25s
