phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0021229731648927555,-284710.5,,0.0024107536960695434,0.9810,,20s
retrain,2,0.001921699741265426,-289684.53125,,0.0024107536960695434,0.9812,,41s
retrain,3,0.0006397450495394878,-293492.46875,,0.0024107536960695434,0.9826,,1m02s
retrain,4,0.00016731700563880924,-298267.46875,,0.0024107536960695434,0.9827,,1m13s
retrain,5,0.00429672348140933,-298842.09375,,0.0024107536960695434,0.9812,,1m31s
retrain,6,0.001994665779780674,-300106.3125,,0.0024107536960695434,0.9821,,1m51s
retrain,7,0.000300750454881927,-303060.21875,,0.0024107536960695434,0.9834,,2m12s
retrain,8,0.00014200757204186327,-306694.3125,,0.0024107536960695434,0.9829,,2m33s
retrain,9,9.581469064384389e-05,-311062.34375,,0.0024107536960695434,0.9833,,2m54s
retrain,10,8.975051484012511e-05,-316163.8125,,0.0024107536960695434,0.9832,38.98,3m15s
retrain,11,8.721241101787503e-05,-322116.5,,0.0024107536960695434,0.9831,,3m35s
retrain,12,9.954526765844396e-05,-328912.9375,,0.0024107536960695434,0.9834,,3m56s
retrain,13,0.012008498029238156,-322558.40625,,0.0024107536960695434,0.9822,,4m17s
retrain,14,0.0011453828937684496,-323952.34375,,0.0024107536960695434,0.9828,,4m38s
retrain,15,0.00027626667116031363,-326295.8125,,0.0024107536960695434,0.9832,,4m59s
retrain,16,0.00015513756737539855,-329228.65625,,0.0024107536960695434,0.9830,,5m20s
retrain,17,0.00012336112586587358,-332745.71875,,0.0024107536960695434,0.9833,,5m41s
retrain,18,0.0001130776564173478,-336907.875,,0.0024107536960695434,0.9830,,6m02s
retrain,19,0.00010356950001150835,-341969.3125,,0.0024107536960695434,0.9830,,6m23s
retrain,20,0.0001109479862342899,-347972.1875,,0.0024107536960695434,0.9829,39.51,6m44s
retrain,21,0.00635655311512722,-345515.40625,,0.0024107536960695434,0.9796,,7m05s
retrain,22,0.003716355540587877,-344113.65625,,0.0024107536960695434,0.9826,,7m26s
retrain,23,0.0007121147214396236,-345740.90625,,0.0024107536960695434,0.9828,,7m46s
retrain,24,0.0001828520662888574,-348504.03125,,0.0024107536960695434,0.9830,,8m07s
retrain,25,0.0001343101653959214,-351857.65625,,0.0024107536960695434,0.9835,,8m27s
retrain,26,0.00011894295616463448,-355832.9375,,0.0024107536960695434,0.9833,,8m49s
retrain,27,0.00011031462297250983,-360649.46875,,0.0024107536960695434,0.9833,,9m09s
retrain,28,0.0001248267626996191,-366293.78125,,0.0024107536960695434,0.9831,,9m30s
retrain,29,0.007734082785095961,-362477.75,,0.0024107536960695434,0.9804,,9m51s
retrain,30,0.0035377836305182427,-361358.65625,,0.0024107536960695434,0.9814,39.63,10m12s
