phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002517106217093048,-243518.734375,,0.0017792905588964337,0.9804,,20s
retrain,2,0.001176131749219106,-248696.765625,,0.0017792905588964337,0.9822,,41s
retrain,3,0.0003541238235067188,-253501.421875,,0.0017792905588964337,0.9828,,1m02s
retrain,4,0.00010629475158105683,-258513.28125,,0.0017792905588964337,0.9830,,1m23s
retrain,5,8.130213592909665e-05,-263695.78125,,0.0017792905588964337,0.9831,,1m44s
retrain,6,6.507588594977278e-05,-269172.71875,,0.0017792905588964337,0.9832,,2m05s
retrain,7,6.192323391854492e-05,-274960.90625,,0.0017792905588964337,0.9833,,2m26s
retrain,8,6.001498675662636e-05,-281157.21875,,0.0017792905588964337,0.9835,,2m47s
retrain,9,0.009095695295871701,-280953.03125,,0.0017792905588964337,0.9797,,3m08s
retrain,10,0.0017311219435825478,-283331.625,,0.0017792905588964337,0.9812,3.81,3m29s
retrain,11,0.00040762201744364577,-286342.59375,,0.0017792905588964337,0.9822,,3m49s
retrain,12,0.00016080476587279312,-289601.5625,,0.0017792905588964337,0.9833,,4m11s
retrain,13,9.619840820766209e-05,-293129.34375,,0.0017792905588964337,0.9830,,4m31s
retrain,14,7.969862577544215e-05,-296889.59375,,0.0017792905588964337,0.9831,,4m50s
retrain,15,6.898081820739511e-05,-300984.53125,,0.0017792905588964337,0.9830,,5m10s
retrain,16,6.324237464674904e-05,-305529.125,,0.0017792905588964337,0.9831,,5m31s
retrain,17,6.106303087290144e-05,-310631.875,,0.0017792905588964337,0.9830,,5m52s
retrain,18,0.006210367206882802,-309888.15625,,0.0017792905588964337,0.9802,,6m13s
retrain,19,0.0037613684703673546,-309762.90625,,0.0017792905588964337,0.9819,,6m34s
retrain,20,0.0003681244913265497,-311962.53125,,0.0017792905588964337,0.9835,3.60,6m55s
retrain,21,0.00013470348689394691,-314659.59375,,0.0017792905588964337,0.9834,,7m16s
retrain,22,9.856105412278946e-05,-317713.40625,,0.0017792905588964337,0.9836,,7m36s
retrain,23,8.333631796316089e-05,-321172.125,,0.0017792905588964337,0.9834,,7m57s
retrain,24,7.397286019404418e-05,-325158.6875,,0.0017792905588964337,0.9838,,8m18s
retrain,25,7.000151270525142e-05,-329768.84375,,0.0017792905588964337,0.9832,,8m39s
retrain,26,6.923690700302055e-05,-335151.875,,0.0017792905588964337,0.9832,,9m00s
retrain,27,7.119391109154094e-05,-341424.28125,,0.0017792905588964337,0.9826,,9m21s
retrain,28,0.010395070586856067,-334665.9375,,0.0017792905588964337,0.9807,,9m42s
retrain,29,0.0018877661379558654,-334719.75,,0.0017792905588964337,0.9817,,10m03s
retrain,30,0.0007854388570354786,-335769.40625,,0.0017792905588964337,0.9839,3.74,10m23s
