phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0027428400896683646,-281694.46875,,0.0022206565761042764,0.9812,,21s
retrain,2,0.0011950751183360505,-288457.625,,0.0022206565761042764,0.9826,,42s
retrain,3,0.0011881122515983104,-292615.0,,0.0022206565761042764,0.9824,,1m03s
retrain,4,0.0017404029762168648,-295145.375,,0.0022206565761042764,0.9820,,1m24s
retrain,5,0.00228644739316854,-297402.78125,,0.0022206565761042764,0.9814,,1m45s
retrain,6,0.0019552345518760073,-298467.375,,0.0022206565761042764,0.9829,,2m06s
retrain,7,0.00031823678612272487,-301736.09375,,0.0022206565761042764,0.9820,,2m27s
retrain,8,0.00011156994923609697,-305901.3125,,0.0022206565761042764,0.9828,,2m47s
retrain,9,8.90808431567469e-05,-310796.125,,0.0022206565761042764,0.9829,,3m08s
retrain,10,8.335746260903155e-05,-316524.9375,,0.0022206565761042764,0.9830,34.63,3m28s
retrain,11,8.629414497263497e-05,-323180.875,,0.0022206565761042764,0.9833,,3m49s
retrain,12,9.388009369140491e-05,-331010.4375,,0.0022206565761042764,0.9829,,4m10s
retrain,13,0.003404482348525198,-335364.03125,,0.0022206565761042764,0.9759,,4m31s
retrain,14,0.009581293057611523,-330134.90625,,0.0022206565761042764,0.9815,,4m52s
retrain,15,0.0009691075844146933,-331445.40625,,0.0022206565761042764,0.9825,,5m13s
retrain,16,0.0002767485030402895,-333746.6875,,0.0022206565761042764,0.9829,,5m33s
retrain,17,0.00014973262451045837,-336645.9375,,0.0022206565761042764,0.9837,,5m54s
retrain,18,0.00012455359554636137,-340118.25,,0.0022206565761042764,0.9838,,6m16s
retrain,19,0.0001119692183516842,-344286.34375,,0.0022206565761042764,0.9833,,6m36s
retrain,20,0.00010931881120680676,-349325.625,,0.0022206565761042764,0.9836,33.85,6m57s
retrain,21,0.00011819416947352389,-355360.84375,,0.0022206565761042764,0.9824,,7m18s
retrain,22,0.010982278746754552,-346508.0,,0.0022206565761042764,0.9810,,7m39s
retrain,23,0.0015774024198879487,-347035.5,,0.0022206565761042764,0.9835,,8m00s
retrain,24,0.00039568523033813106,-348985.59375,,0.0022206565761042764,0.9839,,8m21s
retrain,25,0.00016675425590171168,-351577.125,,0.0022206565761042764,0.9836,,8m42s
retrain,26,0.00013411637728568166,-354645.90625,,0.0022206565761042764,0.9835,,9m03s
retrain,27,0.00011586386207054602,-358405.90625,,0.0022206565761042764,0.9837,,9m24s
retrain,28,0.00011273712171047616,-362963.46875,,0.0022206565761042764,0.9835,,9m45s
retrain,29,0.0001136254353778592,-368471.1875,,0.0022206565761042764,0.9836,,10m05s
retrain,30,0.00013937262379719564,-374945.28125,,0.0022206565761042764,0.9837,35.91,10m26s
