phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0021356469974659073,-241887.5625,,0.0008512163029567905,0.9811,,20s
retrain,2,0.0006831993776101929,-245403.65625,,0.0008512163029567905,0.9825,,41s
retrain,3,0.00019191566310473718,-248581.625,,0.0008512163029567905,0.9836,,1m02s
retrain,4,7.879603193772103e-05,-251840.859375,,0.0008512163029567905,0.9835,,1m23s
retrain,5,5.771485557052074e-05,-255222.6875,,0.0008512163029567905,0.9837,,1m43s
retrain,6,4.8356348956682875e-05,-258730.375,,0.0008512163029567905,0.9842,,2m04s
retrain,7,4.12120922007792e-05,-262424.0625,,0.0008512163029567905,0.9843,,2m25s
retrain,8,0.00402145842499655,-263731.8125,,0.0008512163029567905,0.9749,,2m46s
retrain,9,0.006346445725757318,-263246.9375,,0.0008512163029567905,0.9817,,3m07s
retrain,10,0.0008451189414035373,-264733.21875,,0.0008512163029567905,0.9826,22.82,3m27s
retrain,11,0.0001995836486724632,-266604.34375,,0.0008512163029567905,0.9840,,3m47s
retrain,12,8.878415606256264e-05,-268639.0625,,0.0008512163029567905,0.9839,,4m08s
retrain,13,6.93345297545117e-05,-270778.75,,0.0008512163029567905,0.9836,,4m29s
retrain,14,5.799310407358765e-05,-273035.5,,0.0008512163029567905,0.9838,,4m50s
retrain,15,4.876126964469828e-05,-275446.84375,,0.0008512163029567905,0.9841,,5m10s
retrain,16,4.1925406502802315e-05,-278056.90625,,0.0008512163029567905,0.9841,,5m31s
retrain,17,3.7429663053626426e-05,-280868.4375,,0.0008512163029567905,0.9837,,5m52s
retrain,18,3.3942039395090734e-05,-283967.125,,0.0008512163029567905,0.9837,,6m13s
retrain,19,3.146805524083902e-05,-287398.09375,,0.0008512163029567905,0.9840,,6m32s
retrain,20,3.3030119714385364e-05,-291118.90625,,0.0008512163029567905,0.9836,24.52,6m52s
retrain,21,0.01057243204794019,-289342.53125,,0.0008512163029567905,0.9805,,7m13s
retrain,22,0.002512216940130262,-289779.1875,,0.0008512163029567905,0.9810,,7m34s
retrain,23,0.0005062295805905402,-290963.1875,,0.0008512163029567905,0.9829,,7m55s
retrain,24,0.00013688312083831987,-292557.03125,,0.0008512163029567905,0.9839,,8m16s
retrain,25,7.493650637964796e-05,-294286.0,,0.0008512163029567905,0.9836,,8m37s
