phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001675659752318946,-188185.359375,,0.002422085695149476,0.9829,,5s
retrain,2,0.0028741445598968614,-196689.734375,,0.002422085695149476,0.9825,,11s
retrain,3,0.0010786588019361565,-204624.21875,,0.002422085695149476,0.9827,,17s
retrain,4,0.000864391971185493,-212312.0625,,0.002422085695149476,0.9831,,23s
retrain,5,0.00023894427530030953,-220057.078125,,0.002422085695149476,0.9834,,29s
retrain,6,7.621403886951157e-05,-227878.125,,0.002422085695149476,0.9834,,34s
retrain,7,5.903430178320074e-05,-235743.828125,,0.002422085695149476,0.9840,,40s
retrain,8,5.21794988118927e-05,-243715.875,,0.002422085695149476,0.9837,,46s
retrain,9,5.197544184144742e-05,-251843.515625,,0.002422085695149476,0.9833,,52s
retrain,10,0.006324039701130338,-257027.03125,,0.002422085695149476,0.9787,3.16,57s
retrain,11,0.004507204667699989,-261118.921875,,0.002422085695149476,0.9830,,1m03s
retrain,12,0.0004915838818337458,-266349.8125,,0.002422085695149476,0.9831,,1m09s
retrain,13,0.0001362808971782215,-271700.28125,,0.002422085695149476,0.9833,,1m15s
retrain,14,8.808802860585274e-05,-277089.65625,,0.002422085695149476,0.9833,,1m21s
retrain,15,7.157260138822797e-05,-282571.875,,0.002422085695149476,0.9833,,1m26s
retrain,16,6.505039128145047e-05,-288266.3125,,0.002422085695149476,0.9834,,1m32s
retrain,17,6.007403723585109e-05,-294306.3125,,0.002422085695149476,0.9837,,1m38s
retrain,18,5.8937826974821895e-05,-300872.84375,,0.002422085695149476,0.9836,,1m44s
retrain,19,6.527936799490513e-05,-308017.5625,,0.002422085695149476,0.9837,,1m50s
retrain,20,0.01081687665193943,-307611.6875,,0.002422085695149476,0.9818,3.16,1m56s
retrain,21,0.0020922265012011244,-309737.0625,,0.002422085695149476,0.9832,,2m01s
retrain,22,0.0004933279540603204,-312617.28125,,0.002422085695149476,0.9831,,2m07s
retrain,23,0.0001532672836134831,-316122.875,,0.002422085695149476,0.9835,,2m13s
retrain,24,0.00010891377285006456,-319964.9375,,0.002422085695149476,0.9837,,2m19s
retrain,25,9.444582672634473e-05,-324267.4375,,0.002422085695149476,0.9835,,2m25s
retrain,26,8.873183290318897e-05,-329186.8125,,0.002422085695149476,0.9833,,2m31s
retrain,27,8.827338835738676e-05,-334880.46875,,0.002422085695149476,0.9833,,2m37s
retrain,28,9.223315848309237e-05,-341511.15625,,0.002422085695149476,0.9832,,2m46s
retrain,29,0.008002279532741522,-340170.46875,,0.002422085695149476,0.9770,,2m57s
retrain,30,0.004321242371147188,-339191.09375,,0.002422085695149476,0.9806,13.78,3m09s
