phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0020647315552885025,-275469.03125,,0.0009284644686234411,0.9817,,20s
retrain,2,0.0011919445362805466,-279890.375,,0.0009284644686234411,0.9827,,41s
retrain,3,0.0002535433241874368,-283294.28125,,0.0009284644686234411,0.9839,,1m02s
retrain,4,8.715564317632622e-05,-287127.875,,0.0009284644686234411,0.9843,,1m23s
retrain,5,7.338160190944715e-05,-291196.84375,,0.0009284644686234411,0.9843,,1m44s
retrain,6,6.219094015541486e-05,-295729.5625,,0.0009284644686234411,0.9842,,2m05s
retrain,7,5.718222034144371e-05,-300783.09375,,0.0009284644686234411,0.9844,,2m26s
retrain,8,5.685004359984305e-05,-306312.6875,,0.0009284644686234411,0.9841,,2m47s
retrain,9,0.008642468943852387,-302669.65625,,0.0009284644686234411,0.9811,,3m09s
retrain,10,0.0018122368899872526,-302370.0,,0.0009284644686234411,0.9834,42.02,3m29s
retrain,11,0.000251436368515715,-303522.3125,,0.0009284644686234411,0.9834,,3m50s
retrain,12,0.00012156708879823176,-305100.40625,,0.0009284644686234411,0.9835,,4m11s
retrain,13,8.938745817479987e-05,-306938.375,,0.0009284644686234411,0.9837,,4m33s
retrain,14,6.85927574930247e-05,-309088.15625,,0.0009284644686234411,0.9837,,4m54s
retrain,15,6.250999325129669e-05,-311691.40625,,0.0009284644686234411,0.9839,,5m14s
retrain,16,5.421692710321319e-05,-314742.21875,,0.0009284644686234411,0.9837,,5m35s
retrain,17,5.33817033302815e-05,-318297.25,,0.0009284644686234411,0.9834,,5m56s
retrain,18,5.51090735316393e-05,-322526.46875,,0.0009284644686234411,0.9836,,6m17s
retrain,19,0.012960121321667975,-314381.65625,,0.0009284644686234411,0.9820,,6m37s
retrain,20,0.0008261947412684094,-314527.09375,,0.0009284644686234411,0.9829,39.19,6m58s
retrain,21,0.0001816865305940155,-315489.21875,,0.0009284644686234411,0.9838,,7m19s
retrain,22,0.00011021142989290334,-316703.1875,,0.0009284644686234411,0.9835,,7m40s
retrain,23,8.387523614025364e-05,-318144.875,,0.0009284644686234411,0.9833,,8m01s
retrain,24,6.875538072539105e-05,-319890.6875,,0.0009284644686234411,0.9831,,8m22s
retrain,25,5.9708414713774496e-05,-321978.4375,,0.0009284644686234411,0.9836,,8m43s
retrain,26,5.40184989804402e-05,-324533.46875,,0.0009284644686234411,0.9835,,9m04s
retrain,27,5.132263619210183e-05,-327581.8125,,0.0009284644686234411,0.9839,,9m25s
retrain,28,4.944775499995255e-05,-331290.46875,,0.0009284644686234411,0.9836,,9m46s
retrain,29,4.986224741345116e-05,-335741.1875,,0.0009284644686234411,0.9835,,10m07s
retrain,30,0.007848552997559212,-330290.875,,0.0009284644686234411,0.9795,37.07,10m28s
