phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.003277430583400807,-277407.15625,,0.002211627288052216,0.9831,,10s
retrain,2,0.0017725912031717598,-289532.5625,,0.002211627288052216,0.9815,,21s
retrain,3,0.001019814506615512,-296186.96875,,0.002211627288052216,0.9836,,31s
retrain,4,0.0002135874875918186,-303085.59375,,0.002211627288052216,0.9840,,41s
retrain,5,0.00011795252270724935,-310356.65625,,0.002211627288052216,0.9839,,52s
retrain,6,0.00010664832016724783,-318013.90625,,0.002211627288052216,0.9838,,1m02s
retrain,7,0.00010333772869004558,-326201.21875,,0.002211627288052216,0.9831,,1m12s
retrain,8,0.0001079732619022252,-335209.1875,,0.002211627288052216,0.9834,,1m22s
retrain,9,0.00888435060608317,-331038.71875,,0.002211627288052216,0.9803,,1m33s
retrain,10,0.0020766597910706576,-332316.25,,0.002211627288052216,0.9826,30.17,1m43s
retrain,11,0.00039989968450390733,-335564.84375,,0.002211627288052216,0.9843,,1m53s
retrain,12,0.00016943582381451658,-339651.625,,0.002211627288052216,0.9843,,2m05s
retrain,13,0.00013167553154926282,-344429.6875,,0.002211627288052216,0.9843,,2m15s
retrain,14,0.00011703217473307935,-350014.59375,,0.002211627288052216,0.9844,,2m25s
retrain,15,0.00011234315242036246,-356537.0625,,0.002211627288052216,0.9844,,2m35s
retrain,16,0.00011186640439361024,-364107.28125,,0.002211627288052216,0.9842,,2m46s
retrain,17,0.006638343162126451,-361211.3125,,0.002211627288052216,0.9796,,2m55s
retrain,18,0.005085335651948117,-359876.8125,,0.002211627288052216,0.9832,,3m05s
retrain,19,0.0007306771772719609,-362671.59375,,0.002211627288052216,0.9836,,3m17s
retrain,20,0.0002106566939551461,-366463.4375,,0.002211627288052216,0.9838,30.03,3m26s
retrain,21,0.0001404131427484875,-370832.875,,0.002211627288052216,0.9840,,3m37s
retrain,22,0.0001181443501423928,-375903.4375,,0.002211627288052216,0.9837,,3m47s
retrain,23,0.00011354978120555946,-381867.21875,,0.002211627288052216,0.9840,,3m58s
retrain,24,0.00011214101293880958,-388928.03125,,0.002211627288052216,0.9840,,4m08s
retrain,25,0.00011817621868103743,-397078.28125,,0.002211627288052216,0.9829,,4m18s
