phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.003137854727970747,-287556.8125,,0.0017632680513394274,0.9822,,10s
retrain,2,0.0009986283500969875,-298530.375,,0.0017632680513394274,0.9831,,21s
retrain,3,0.0002306032920993554,-305688.65625,,0.0017632680513394274,0.9831,,32s
retrain,4,0.00012977272442658432,-312841.375,,0.0017632680513394274,0.9837,,42s
retrain,5,9.803439489429972e-05,-320187.78125,,0.0017632680513394274,0.9838,,53s
retrain,6,9.218945862230611e-05,-327769.46875,,0.0017632680513394274,0.9829,,1m04s
retrain,7,0.007126268392326892,-326603.46875,,0.0017632680513394274,0.9775,,1m14s
retrain,8,0.002959923481316461,-325555.28125,,0.0017632680513394274,0.9815,,1m25s
retrain,9,0.0004166078459704295,-327750.78125,,0.0017632680513394274,0.9836,,1m35s
retrain,10,0.00016740566819207743,-330710.4375,,0.0017632680513394274,0.9837,32.61,1m45s
retrain,11,0.00011756024377730985,-334182.96875,,0.0017632680513394274,0.9837,,1m56s
retrain,12,9.717488035773082e-05,-338301.8125,,0.0017632680513394274,0.9833,,2m06s
retrain,13,8.755282134952721e-05,-343257.8125,,0.0017632680513394274,0.9836,,2m16s
retrain,14,8.430308289825916e-05,-349098.9375,,0.0017632680513394274,0.9829,,2m27s
retrain,15,8.673625887895468e-05,-356036.3125,,0.0017632680513394274,0.9830,,2m37s
retrain,16,0.0012729782148380763,-361224.375,,0.0017632680513394274,0.9669,,2m47s
retrain,17,0.010468880687669541,-352932.625,,0.0017632680513394274,0.9819,,2m58s
retrain,18,0.0011683248963633862,-353976.09375,,0.0017632680513394274,0.9837,,3m08s
retrain,19,0.0002370357260272916,-356540.09375,,0.0017632680513394274,0.9840,,3m18s
retrain,20,0.00013500529296676784,-359582.25,,0.0017632680513394274,0.9839,34.78,3m29s
retrain,21,0.00010546221636274519,-363241.3125,,0.0017632680513394274,0.9836,,3m40s
retrain,22,9.506687821995001e-05,-367659.03125,,0.0017632680513394274,0.9836,,3m50s
retrain,23,9.254921363123382e-05,-372819.34375,,0.0017632680513394274,0.9838,,4m00s
retrain,24,8.998543189566893e-05,-379092.40625,,0.0017632680513394274,0.9833,,4m11s
retrain,25,0.0031092159780974423,-380203.53125,,0.0017632680513394274,0.9773,,4m21s
retrain,26,0.008036845034143578,-373572.65625,,0.0017632680513394274,0.9806,,4m31s
retrain,27,0.0016188079999488157,-374532.0625,,0.0017632680513394274,0.9831,,4m41s
retrain,28,0.00024857123800514576,-377041.375,,0.0017632680513394274,0.9829,,4m52s
retrain,29,0.00012554888162315668,-380067.40625,,0.0017632680513394274,0.9828,,5m02s
retrain,30,0.00010111366086833489,-383728.78125,,0.0017632680513394274,0.9825,36.17,5m12s
