phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002998902013519546,-295837.4375,,0.002252101443046936,0.9828,,10s
retrain,2,0.0007222225220350083,-304127.1875,,0.002252101443046936,0.9828,,15s
retrain,3,0.002051031667649901,-307728.125,,0.002252101443046936,0.9823,,25s
retrain,4,0.003131221239082515,-308493.21875,,0.002252101443046936,0.9809,,35s
retrain,5,0.0006863314006419387,-311525.46875,,0.002252101443046936,0.9826,,46s
retrain,6,0.0001377642475058868,-316079.6875,,0.002252101443046936,0.9833,,56s
retrain,7,0.00010629370639411111,-321399.9375,,0.002252101443046936,0.9828,,1m06s
retrain,8,9.528399363916833e-05,-327566.0,,0.002252101443046936,0.9829,,1m16s
retrain,9,9.873536028705226e-05,-334539.625,,0.002252101443046936,0.9832,,1m27s
retrain,10,0.0019190272017886552,-338391.4375,,0.002252101443046936,0.9769,31.73,1m38s
retrain,11,0.009481087784302266,-333000.4375,,0.002252101443046936,0.9814,,1m48s
retrain,12,0.0009529551921916815,-335156.5625,,0.002252101443046936,0.9824,,1m59s
retrain,13,0.00024344519354247798,-338435.40625,,0.002252101443046936,0.9822,,2m10s
retrain,14,0.00014450735986271563,-342286.0,,0.002252101443046936,0.9827,,2m20s
retrain,15,0.00011662859305506572,-346804.90625,,0.002252101443046936,0.9823,,2m30s
retrain,16,0.00010525768024332743,-352070.1875,,0.002252101443046936,0.9828,,2m40s
retrain,17,0.00010032266193108322,-358195.59375,,0.002252101443046936,0.9829,,2m50s
retrain,18,0.0001094190022869346,-365238.0625,,0.002252101443046936,0.9822,,3m00s
retrain,19,0.008118648638869248,-361249.15625,,0.002252101443046936,0.9781,,3m11s
retrain,20,0.0023511095129923583,-361821.6875,,0.002252101443046936,0.9804,30.66,3m21s
retrain,21,0.0009177512896712869,-363894.0625,,0.002252101443046936,0.9826,,3m31s
retrain,22,0.00019540339813393074,-367407.03125,,0.002252101443046936,0.9821,,3m42s
retrain,23,0.00012779163844437184,-371546.34375,,0.002252101443046936,0.9825,,3m53s
retrain,24,0.00011021063617711964,-376383.875,,0.002252101443046936,0.9824,,4m03s
retrain,25,0.00010192268041622204,-382061.375,,0.002252101443046936,0.9828,,4m13s
retrain,26,0.00010788620181265287,-388569.9375,,0.002252101443046936,0.9824,,4m24s
retrain,27,0.00011303553223842754,-396116.75,,0.002252101443046936,0.9826,,4m34s
retrain,28,0.007115975311509101,-394482.375,,0.002252101443046936,0.9790,,4m44s
retrain,29,0.00542027415005335,-392739.46875,,0.002252101443046936,0.9808,,4m54s
retrain,30,0.0009853635156139111,-394781.53125,,0.002252101443046936,0.9823,31.71,5m05s
