phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0025502849616401363,-280515.84375,,0.0017066139422971622,0.9814,,21s
retrain,2,0.0017955299302081888,-287309.0,,0.0017066139422971622,0.9820,,43s
retrain,3,0.0007813760833848695,-292185.90625,,0.0017066139422971622,0.9824,,1m04s
retrain,4,0.00015940787832272084,-297682.21875,,0.0017066139422971622,0.9824,,1m25s
retrain,5,9.599492718698457e-05,-303724.21875,,0.0017066139422971622,0.9835,,1m46s
retrain,6,8.323962943104561e-05,-310427.46875,,0.0017066139422971622,0.9833,,2m05s
retrain,7,8.464486238954123e-05,-317891.1875,,0.0017066139422971622,0.9834,,2m26s
retrain,8,8.904599734329774e-05,-326361.28125,,0.0017066139422971622,0.9835,,2m47s
retrain,9,0.0034104174449157048,-330611.65625,,0.0017066139422971622,0.9745,,3m09s
retrain,10,0.00855790022467263,-326145.46875,,0.0017066139422971622,0.9832,28.04,3m30s
retrain,11,0.0005113033685813813,-327934.40625,,0.0017066139422971622,0.9841,,3m52s
retrain,12,0.00017895111285809738,-330549.15625,,0.0017066139422971622,0.9840,,4m13s
retrain,13,0.0001270358211360872,-333568.5,,0.0017066139422971622,0.9844,,4m35s
retrain,14,0.00010369511365230816,-337173.34375,,0.0017066139422971622,0.9840,,4m56s
retrain,15,9.173056872132293e-05,-341467.0625,,0.0017066139422971622,0.9839,,5m17s
retrain,16,9.038332233139955e-05,-346629.65625,,0.0017066139422971622,0.9841,,5m38s
retrain,17,9.148094995665209e-05,-352911.96875,,0.0017066139422971622,0.9840,,6m00s
retrain,18,0.00010165069060264311,-360339.625,,0.0017066139422971622,0.9835,,6m21s
retrain,19,0.007731409624537142,-358839.96875,,0.0017066139422971622,0.9800,,6m42s
retrain,20,0.0046884453961315254,-355975.0,,0.0017066139422971622,0.9824,28.35,7m03s
retrain,21,0.0008016941768000834,-357043.40625,,0.0017066139422971622,0.9833,,7m25s
retrain,22,0.00020135885415947997,-359377.78125,,0.0017066139422971622,0.9843,,7m46s
retrain,23,0.00013161284250672907,-362258.78125,,0.0017066139422971622,0.9842,,8m07s
retrain,24,0.0001077878881226449,-365761.0,,0.0017066139422971622,0.9841,,8m29s
retrain,25,9.914719102089293e-05,-369986.3125,,0.0017066139422971622,0.9841,,8m50s
retrain,26,9.749203346097299e-05,-375182.84375,,0.0017066139422971622,0.9836,,9m11s
retrain,27,9.936652732139919e-05,-381559.59375,,0.0017066139422971622,0.9839,,9m33s
retrain,28,0.002314170948235551,-383852.59375,,0.0017066139422971622,0.9702,,9m54s
retrain,29,0.00897202199374636,-376036.09375,,0.0017066139422971622,0.9810,,10m15s
retrain,30,0.001440993154522342,-376852.28125,,0.0017066139422971622,0.9829,29.56,10m36s
