phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002200807760669462,-276958.59375,,0.0018749915905304536,0.9831,,21s
retrain,2,0.001038402179335632,-283981.71875,,0.0018749915905304536,0.9797,,42s
retrain,3,0.0024531508099171332,-285906.5,,0.0018749915905304536,0.9817,,1m04s
retrain,4,0.00117555661960796,-288450.0,,0.0018749915905304536,0.9808,,1m25s
retrain,5,0.000543007058041015,-291326.5625,,0.0018749915905304536,0.9827,,1m46s
retrain,6,0.001873136544020963,-293145.5,,0.0018749915905304536,0.9808,,2m07s
retrain,7,0.0003611164187372196,-296565.03125,,0.0018749915905304536,0.9831,,2m29s
retrain,8,0.00011925821208375662,-300910.59375,,0.0018749915905304536,0.9828,,2m50s
retrain,9,8.020931127636383e-05,-305943.3125,,0.0018749915905304536,0.9835,,3m11s
retrain,10,7.22396616023616e-05,-311647.78125,,0.0018749915905304536,0.9841,40.86,3m32s
retrain,11,7.064816675556357e-05,-318112.71875,,0.0018749915905304536,0.9839,,3m53s
retrain,12,8.08033673184885e-05,-325157.3125,,0.0018749915905304536,0.9830,,4m15s
retrain,13,0.009901825718989616,-322447.625,,0.0018749915905304536,0.9810,,4m36s
retrain,14,0.002560108425336269,-322329.625,,0.0018749915905304536,0.9825,,4m57s
retrain,15,0.0009358191776341604,-323450.59375,,0.0018749915905304536,0.9826,,5m18s
retrain,16,0.00017815220843573723,-325721.09375,,0.0018749915905304536,0.9833,,5m39s
retrain,17,0.00011567954401834868,-328444.9375,,0.0018749915905304536,0.9828,,6m00s
retrain,18,9.731208010149809e-05,-331604.40625,,0.0018749915905304536,0.9831,,6m21s
retrain,19,8.920573869351453e-05,-335276.46875,,0.0018749915905304536,0.9831,,6m42s
retrain,20,8.578974977620723e-05,-339554.96875,,0.0018749915905304536,0.9829,39.41,7m04s
retrain,21,8.184681911661755e-05,-344563.28125,,0.0018749915905304536,0.9832,,7m25s
retrain,22,0.0011736585713825966,-348889.1875,,0.0018749915905304536,0.9783,,7m46s
retrain,23,0.009384439049374001,-341740.0625,,0.0018749915905304536,0.9827,,8m07s
retrain,24,0.00216209616594424,-341926.90625,,0.0018749915905304536,0.9822,,8m29s
retrain,25,0.0003888177858510365,-343632.46875,,0.0018749915905304536,0.9824,,8m50s
retrain,26,0.00015565079450655805,-346061.875,,0.0018749915905304536,0.9832,,9m11s
retrain,27,0.00010854411042819266,-348986.6875,,0.0018749915905304536,0.9832,,9m32s
retrain,28,9.980631773554099e-05,-352363.96875,,0.0018749915905304536,0.9832,,9m54s
retrain,29,8.760735165900163e-05,-356412.125,,0.0018749915905304536,0.9835,,10m15s
retrain,30,8.585862181983732e-05,-361200.25,,0.0018749915905304536,0.9832,37.45,10m36s
