phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0023438833679654634,-260017.078125,,0.0024681229024679906,0.9814,,20s
retrain,2,0.0010581697713932955,-265097.875,,0.0024681229024679906,0.9827,,41s
retrain,3,0.0005157453159413611,-269244.53125,,0.0024681229024679906,0.9829,,1m02s
retrain,4,0.00012328408955460568,-273950.71875,,0.0024681229024679906,0.9830,,1m23s
retrain,5,8.192911525111412e-05,-279075.3125,,0.0024681229024679906,0.9829,,1m44s
retrain,6,7.51348209894786e-05,-284532.34375,,0.0024681229024679906,0.9824,,2m05s
retrain,7,7.307648403948406e-05,-290418.1875,,0.0024681229024679906,0.9827,,2m26s
retrain,8,0.007879512929556465,-291005.875,,0.0024681229024679906,0.9811,,2m47s
retrain,9,0.0040651220684405414,-292161.5,,0.0024681229024679906,0.9829,,3m05s
retrain,10,0.0006199090308044105,-294611.96875,,0.0024681229024679906,0.9844,23.39,3m26s
retrain,11,0.0001621736275750057,-297501.65625,,0.0024681229024679906,0.9846,,3m47s
retrain,12,0.00011680347603687551,-300620.4375,,0.0024681229024679906,0.9843,,4m08s
retrain,13,9.803903128583139e-05,-304023.1875,,0.0024681229024679906,0.9845,,4m29s
retrain,14,8.806114511729296e-05,-307789.0625,,0.0024681229024679906,0.9840,,4m51s
retrain,15,8.091335839223272e-05,-312043.9375,,0.0024681229024679906,0.9844,,5m11s
retrain,16,7.760917258371289e-05,-316888.40625,,0.0024681229024679906,0.9839,,5m32s
retrain,17,0.0028623001440302082,-319277.6875,,0.0024681229024679906,0.9731,,5m52s
retrain,18,0.00934449090117123,-316561.46875,,0.0024681229024679906,0.9847,,6m13s
retrain,19,0.0007410738310427405,-318501.15625,,0.0024681229024679906,0.9838,,6m34s
retrain,20,0.00019511119421028222,-321083.0625,,0.0024681229024679906,0.9837,37.80,6m55s
retrain,21,0.0001350135388240839,-324039.78125,,0.0024681229024679906,0.9843,,7m16s
retrain,22,0.00010812922860786785,-327430.0625,,0.0024681229024679906,0.9843,,7m37s
retrain,23,9.455222469065726e-05,-331372.65625,,0.0024681229024679906,0.9844,,7m58s
retrain,24,9.272250255162362e-05,-335922.65625,,0.0024681229024679906,0.9842,,8m19s
retrain,25,9.561190769745735e-05,-341215.75,,0.0024681229024679906,0.9841,,8m40s
retrain,26,0.0002815030082905044,-346805.46875,,0.0024681229024679906,0.9787,,9m00s
retrain,27,0.013036156794211516,-339821.75,,0.0024681229024679906,0.9825,,9m22s
retrain,28,0.0016420322561403738,-340628.59375,,0.0024681229024679906,0.9836,,9m43s
retrain,29,0.0003664597551804036,-342745.21875,,0.0024681229024679906,0.9840,,10m03s
retrain,30,0.00020215397078039436,-345308.625,,0.0024681229024679906,0.9844,33.94,10m24s
