phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001207741845431489,-549581.3125,,0.0009284434249845214,0.9936,,27s
retrain,2,0.00046680797215272683,-562422.5625,,0.0009284434249845214,0.9925,,54s
retrain,3,0.00031477127952753863,-573861.4375,,0.0009284434249845214,0.9930,,1m20s
retrain,4,3.747348565743778e-05,-590766.5625,,0.0009284434249845214,0.9935,,1m47s
retrain,5,1.7814040246406647e-05,-611827.4375,,0.0009284434249845214,0.9934,,2m14s
retrain,6,1.7501948087010532e-05,-637720.8125,,0.0009284434249845214,0.9937,,2m41s
retrain,7,0.004180075593840153,-634757.8125,,0.0009284434249845214,0.9917,,3m08s
retrain,8,0.001630889289014643,-636008.9375,,0.0009284434249845214,0.9919,,3m35s
retrain,9,0.000571950397528417,-642165.6875,,0.0009284434249845214,0.9927,,4m02s
retrain,10,7.580827552070939e-05,-652176.0625,,0.0009284434249845214,0.9932,22.97,4m29s
