phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001207741845431489,-549581.3125,,0.0009284434249845214,0.9936,,27s
retrain,2,0.00046680797215272683,-562422.5625,,0.0009284434249845214,0.9925,,54s
retrain,3,0.00031477127952753863,-573861.4375,,0.0009284434249845214,0.9930,,1m20s
retrain,4,3.747348565743778e-05,-590766.5625,,0.0009284434249845214,0.9935,,1m47s
retrain,5,1.7814040246406647e-05,-611827.4375,,0.0009284434249845214,0.9934,,2m14s
retrain,6,1.7501948087010532e-05,-637720.8125,,0.0009284434249845214,0.9937,,2m41s
retrain,7,0.004180075593840153,-634757.8125,,0.0009284434249845214,0.9917,,3m08s
retrain,8,0.001630889289014643,-636008.9375,,0.0009284434249845214,0.9919,,3m35s
retrain,9,0.000571950397528417,-642165.6875,,0.0009284434249845214,0.9927,,4m02s
retrain,10,7.580827552070939e-05,-652176.0625,,0.0009284434249845214,0.9932,22.97,4m29s
retrain,11,3.039370827846142e-05,-665002.25,,0.0009284434249845214,0.9930,,4m55s
retrain,12,2.4664290590893263e-05,-681088.3125,,0.0009284434249845214,0.9932,,5m22s
retrain,13,2.299566405188974e-05,-701423.375,,0.0009284434249845214,0.9933,,5m49s
retrain,14,2.7369367714982217e-05,-727009.3125,,0.0009284434249845214,0.9932,,6m15s
retrain,15,0.0037001236051866725,-718169.5625,,0.0009284434249845214,0.9928,,6m42s
retrain,16,0.0023285243465953195,-717137.0625,,0.0009284434249845214,0.9930,,7m09s
retrain,17,0.0005120980637873193,-725657.125,,0.0009284434249845214,0.9939,,7m36s
retrain,18,0.0002015927679965292,-735884.8125,,0.0009284434249845214,0.9935,,8m03s
retrain,19,4.902175042116141e-05,-750617.4375,,0.0009284434249845214,0.9939,,8m30s
retrain,20,3.2564082123766035e-05,-769261.5625,,0.0009284434249845214,0.9940,24.53,8m56s
retrain,21,3.1516720267063644e-05,-792840.125,,0.0009284434249845214,0.9937,,9m23s
retrain,22,4.238639528078541e-05,-822346.8125,,0.0009284434249845214,0.9935,,9m49s
retrain,23,0.005255642935158297,-789928.0,,0.0009284434249845214,0.9928,,10m14s
retrain,24,0.0016001870740767724,-790626.3125,,0.0009284434249845214,0.9918,,10m41s
retrain,25,0.0004978386444961264,-799301.8125,,0.0009284434249845214,0.9931,,11m07s
retrain,26,0.0001450440377769458,-813633.0,,0.0009284434249845214,0.9933,,11m34s
retrain,27,0.0015208541178770246,-814145.8125,,0.0009284434249845214,0.9933,,12m01s
retrain,28,0.0005127414866548254,-824768.25,,0.0009284434249845214,0.9939,,12m27s
retrain,29,8.045357771212972e-05,-843831.1875,,0.0009284434249845214,0.9939,,12m54s
retrain,30,4.0143482760079984e-05,-867706.5625,,0.0009284434249845214,0.9938,26.96,13m21s
