phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001571554238123099,-537183.0625,,0.0007302680313658672,0.9925,,27s
retrain,2,0.0003328364655698048,-547806.5625,,0.0007302680313658672,0.9933,,54s
retrain,3,3.770600254449998e-05,-562323.125,,0.0007302680313658672,0.9933,,1m22s
retrain,4,1.8971639564506405e-05,-580343.1875,,0.0007302680313658672,0.9935,,1m49s
retrain,5,1.7242178482562546e-05,-602039.875,,0.0007302680313658672,0.9932,,2m16s
retrain,6,1.6340937966699207e-05,-628217.9375,,0.0007302680313658672,0.9933,,2m43s
retrain,7,0.0010412360308357164,-649286.6875,,0.0007302680313658672,0.9877,,3m10s
retrain,8,0.004919161620315087,-632301.5625,,0.0007302680313658672,0.9924,,3m38s
retrain,9,0.0009453818888425303,-634935.5625,,0.0007302680313658672,0.9927,,4m02s
retrain,10,0.00014761867071493573,-641599.625,,0.0007302680313658672,0.9934,28.98,4m30s
retrain,11,3.45827074247912e-05,-650179.3125,,0.0007302680313658672,0.9933,,4m57s
retrain,12,2.5428026171872867e-05,-660934.1875,,0.0007302680313658672,0.9934,,5m24s
retrain,13,2.242819546930453e-05,-674398.5,,0.0007302680313658672,0.9934,,5m51s
retrain,14,2.0521815950633027e-05,-691498.1875,,0.0007302680313658672,0.9934,,6m18s
retrain,15,2.243968368951149e-05,-713148.75,,0.0007302680313658672,0.9935,,6m45s
retrain,16,0.0005245014630519715,-733402.5625,,0.0007302680313658672,0.9883,,7m12s
retrain,17,0.005591486862814054,-703537.1875,,0.0007302680313658672,0.9918,,7m40s
retrain,18,0.0016739501309571399,-702851.6875,,0.0007302680313658672,0.9922,,8m07s
retrain,19,0.0003857651072235967,-709385.6875,,0.0007302680313658672,0.9931,,8m34s
retrain,20,0.00018098381529683442,-717023.25,,0.0007302680313658672,0.9939,30.67,9m01s
retrain,21,6.694736579326369e-05,-727663.1875,,0.0007302680313658672,0.9935,,9m28s
retrain,22,2.892347245721491e-05,-741363.4375,,0.0007302680313658672,0.9937,,9m55s
retrain,23,2.6109857658684632e-05,-758507.6875,,0.0007302680313658672,0.9935,,10m22s
retrain,24,2.79750843264992e-05,-779979.0,,0.0007302680313658672,0.9934,,10m49s
retrain,25,3.636667609243887e-05,-806591.875,,0.0007302680313658672,0.9932,,11m16s
retrain,26,0.003113477025142432,-789213.75,,0.0007302680313658672,0.9911,,11m44s
retrain,27,0.0030982624743153184,-782065.1875,,0.0007302680313658672,0.9932,,12m11s
retrain,28,0.0003316903181776676,-789993.375,,0.0007302680313658672,0.9938,,12m38s
retrain,29,8.694004890494398e-05,-800870.25,,0.0007302680313658672,0.9939,,13m05s
retrain,30,4.402584847096781e-05,-814185.1875,,0.0007302680313658672,0.9937,31.94,13m32s
