phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0014433364060975388,-522018.90625,,0.0007566165044980148,0.9930,,27s
retrain,2,0.0008681576547478471,-528579.25,,0.0007566165044980148,0.9931,,51s
retrain,3,0.00012159481669471765,-536717.25,,0.0007566165044980148,0.9936,,1m19s
retrain,4,3.508806511877462e-05,-546672.8125,,0.0007566165044980148,0.9939,,1m46s
retrain,5,1.2628052020534141e-05,-558560.5,,0.0007566165044980148,0.9937,,2m12s
retrain,6,9.984355270995356e-06,-572361.9375,,0.0007566165044980148,0.9938,,2m39s
retrain,7,9.607592600239438e-06,-588413.9375,,0.0007566165044980148,0.9936,,3m07s
retrain,8,9.988796015498262e-06,-606988.1875,,0.0007566165044980148,0.9935,,3m34s
retrain,9,0.001540901822343441,-618964.9375,,0.0007566165044980148,0.9885,,4m00s
retrain,10,0.0033747825674732062,-612308.875,,0.0007566165044980148,0.9930,22.36,4m27s
retrain,11,0.00032680734530877087,-617123.0625,,0.0007566165044980148,0.9931,,4m54s
retrain,12,0.000624839406400406,-620825.4375,,0.0007566165044980148,0.9927,,5m22s
retrain,13,0.0013970012835388236,-620979.6875,,0.0007566165044980148,0.9929,,5m49s
retrain,14,0.00021241274366390523,-626371.5625,,0.0007566165044980148,0.9932,,6m16s
retrain,15,4.406615457772508e-05,-633946.875,,0.0007566165044980148,0.9931,,6m43s
retrain,16,2.012179007728605e-05,-643367.0,,0.0007566165044980148,0.9936,,7m10s
retrain,17,1.6672683488559416e-05,-654868.4375,,0.0007566165044980148,0.9937,,7m37s
retrain,18,1.5490625768848078e-05,-668918.3125,,0.0007566165044980148,0.9936,,8m04s
retrain,19,1.569285241920776e-05,-685916.125,,0.0007566165044980148,0.9938,,8m31s
retrain,20,0.0032818571302824845,-681461.875,,0.0007566165044980148,0.9929,24.31,8m58s
retrain,21,0.0026797040175355505,-676305.375,,0.0007566165044980148,0.9924,,9m25s
retrain,22,0.0006011284466806197,-680362.375,,0.0007566165044980148,0.9933,,9m52s
retrain,23,0.00014205903945670192,-687872.3125,,0.0007566165044980148,0.9933,,10m20s
retrain,24,3.03263552577846e-05,-697555.9375,,0.0007566165044980148,0.9931,,10m47s
retrain,25,2.3631601099138303e-05,-709348.375,,0.0007566165044980148,0.9932,,11m14s
retrain,26,2.0543365243012582e-05,-723708.9375,,0.0007566165044980148,0.9932,,11m38s
retrain,27,2.0880013620717364e-05,-741049.6875,,0.0007566165044980148,0.9927,,12m05s
retrain,28,2.2119695032749103e-05,-761769.0625,,0.0007566165044980148,0.9933,,12m33s
retrain,29,0.005058181550179021,-732203.5625,,0.0007566165044980148,0.9928,,12m59s
retrain,30,0.0009470835064654239,-734640.3125,,0.0007566165044980148,0.9931,25.96,13m13s
