phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001582517134803978,-522742.6875,,0.0009613964637763007,0.9924,,14s
retrain,2,0.00021192906628119394,-531963.25,,0.0009613964637763007,0.9934,,29s
retrain,3,5.804933872792996e-05,-543277.125,,0.0009613964637763007,0.9930,,44s
retrain,4,1.4266249428237644e-05,-556777.3125,,0.0009613964637763007,0.9930,,58s
retrain,5,1.2546946967768235e-05,-572448.1875,,0.0009613964637763007,0.9932,,1m12s
retrain,6,1.4430307807265308e-05,-590305.3125,,0.0009613964637763007,0.9930,,1m27s
retrain,7,1.4742778345597193e-05,-610612.1875,,0.0009613964637763007,0.9931,,1m41s
retrain,8,0.0036051132088632887,-612649.6875,,0.0009613964637763007,0.9915,,1m56s
retrain,9,0.00252996394513757,-614018.0,,0.0009613964637763007,0.9919,,2m05s
retrain,10,0.00037960128702216024,-619621.1875,,0.0009613964637763007,0.9934,17.94,2m18s
retrain,11,8.263372994503395e-05,-627192.75,,0.0009613964637763007,0.9934,,2m32s
retrain,12,3.000273047353706e-05,-636183.75,,0.0009613964637763007,0.9936,,2m47s
retrain,13,2.2210712576664567e-05,-646815.75,,0.0009613964637763007,0.9935,,3m01s
retrain,14,1.9593003380396112e-05,-659497.6875,,0.0009613964637763007,0.9935,,3m16s
retrain,15,1.84692447013731e-05,-674643.25,,0.0009613964637763007,0.9938,,3m31s
retrain,16,9.183086793785454e-05,-691266.375,,0.0009613964637763007,0.9920,,3m45s
retrain,17,0.005066572659115385,-672572.6875,,0.0009613964637763007,0.9926,,3m59s
retrain,18,0.0006064680709522994,-677554.3125,,0.0009613964637763007,0.9931,,4m14s
retrain,19,0.00015058402914874022,-685654.4375,,0.0009613964637763007,0.9930,,4m28s
retrain,20,9.587463017123809e-05,-695467.3125,,0.0009613964637763007,0.9938,30.26,4m43s
retrain,21,3.6170562530302654e-05,-707917.8125,,0.0009613964637763007,0.9937,,4m58s
retrain,22,2.516647263437335e-05,-723166.75,,0.0009613964637763007,0.9939,,5m13s
retrain,23,2.3706478989940176e-05,-741521.0625,,0.0009613964637763007,0.9936,,5m27s
retrain,24,4.9804787297762234e-05,-761752.9375,,0.0009613964637763007,0.9929,,5m41s
retrain,25,0.005333375296376956,-732094.375,,0.0009613964637763007,0.9927,,5m56s
retrain,26,0.0007993479894442619,-735951.4375,,0.0009613964637763007,0.9924,,6m10s
retrain,27,0.0007148270119883819,-739199.4375,,0.0009613964637763007,0.9933,,6m25s
retrain,28,0.00010185830968548544,-748830.375,,0.0009613964637763007,0.9931,,6m39s
retrain,29,3.890520446378408e-05,-761185.375,,0.0009613964637763007,0.9932,,6m54s
retrain,30,2.6888009402773604e-05,-776386.5,,0.0009613964637763007,0.9933,30.53,7m08s
