phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0015743391468313348,-571105.75,,0.0013056288525997548,0.9925,,14s
retrain,2,0.00048067947807167,-590047.625,,0.0013056288525997548,0.9923,,29s
retrain,3,0.00016631701535126618,-607616.1875,,0.0013056288525997548,0.9931,,44s
retrain,4,3.719092098768518e-05,-628879.75,,0.0013056288525997548,0.9929,,58s
retrain,5,0.0009346663885295129,-648149.125,,0.0013056288525997548,0.9902,,1m13s
retrain,6,0.0037589553972153227,-644955.75,,0.0013056288525997548,0.9925,,1m27s
retrain,7,0.0004857671410690576,-655472.875,,0.0013056288525997548,0.9934,,1m42s
retrain,8,7.545157766786967e-05,-670366.9375,,0.0013056288525997548,0.9932,,1m56s
retrain,9,3.4253141074214e-05,-688665.25,,0.0013056288525997548,0.9934,,2m10s
retrain,10,3.205124873611567e-05,-710827.375,,0.0013056288525997548,0.9933,25.88,2m25s
retrain,11,3.234238641128589e-05,-737301.25,,0.0013056288525997548,0.9933,,2m39s
retrain,12,4.6700584182250774e-05,-767438.8125,,0.0013056288525997548,0.9922,,2m54s
retrain,13,0.004680649289837069,-747334.375,,0.0013056288525997548,0.9925,,3m09s
retrain,14,0.0008998805882511078,-755792.125,,0.0013056288525997548,0.9931,,3m23s
retrain,15,0.00044552573801144417,-767661.8125,,0.0013056288525997548,0.9938,,3m31s
retrain,16,0.00010743494262193659,-785055.3125,,0.0013056288525997548,0.9936,,3m46s
retrain,17,0.00015176766149021812,-804445.25,,0.0013056288525997548,0.9934,,4m01s
retrain,18,5.007277094409801e-05,-828365.375,,0.0013056288525997548,0.9935,,4m15s
retrain,19,4.004855698294705e-05,-855888.8125,,0.0013056288525997548,0.9936,,4m29s
retrain,20,0.004595412315158319,-834521.0625,,0.0013056288525997548,0.9916,29.27,4m44s
retrain,21,0.0016432450343777116,-840359.1875,,0.0013056288525997548,0.9928,,4m59s
retrain,22,0.0001977852889438509,-856336.3125,,0.0013056288525997548,0.9934,,5m13s
retrain,23,6.6612890274943e-05,-874991.0625,,0.0013056288525997548,0.9936,,5m27s
retrain,24,5.3798335358078474e-05,-895950.25,,0.0013056288525997548,0.9937,,5m42s
retrain,25,5.583786518521568e-05,-918930.1875,,0.0013056288525997548,0.9942,,5m56s
retrain,26,0.0003406374653238648,-933219.375,,0.0013056288525997548,0.9923,,6m11s
retrain,27,0.005650025104927287,-893043.5,,0.0013056288525997548,0.9915,,6m25s
retrain,28,0.0010290092798764818,-905921.9375,,0.0013056288525997548,0.9939,,6m39s
retrain,29,0.00034575670695303416,-921207.125,,0.0013056288525997548,0.9944,,6m54s
retrain,30,0.0005313941595508368,-933897.125,,0.0013056288525997548,0.9938,32.01,7m09s
