phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0011474875641038428,-557466.8125,,0.0014357626303903288,0.9925,,14s
retrain,2,0.00025017785230253744,-588721.0,,0.0014357626303903288,0.9933,,29s
retrain,3,4.5632887370932925e-05,-619287.375,,0.0014357626303903288,0.9931,,43s
retrain,4,0.002023899866818821,-632643.0625,,0.0014357626303903288,0.9911,,58s
retrain,5,0.0027486572239768673,-633581.0,,0.0014357626303903288,0.9904,,1m13s
retrain,6,0.0007818572517688154,-641283.3125,,0.0014357626303903288,0.9938,,1m24s
retrain,7,6.616480234897608e-05,-654013.0625,,0.0014357626303903288,0.9934,,1m35s
retrain,8,3.9086359948426735e-05,-669438.0,,0.0014357626303903288,0.9933,,1m49s
retrain,9,3.123036390734342e-05,-687803.5,,0.0014357626303903288,0.9934,,2m04s
retrain,10,3.401006102928174e-05,-709114.25,,0.0014357626303903288,0.9933,38.19,2m18s
retrain,11,0.0013563923186678342,-720868.4375,,0.0014357626303903288,0.9860,,2m33s
retrain,12,0.005297919422070845,-709077.25,,0.0014357626303903288,0.9922,,2m47s
retrain,13,0.0007322539830711321,-716550.75,,0.0014357626303903288,0.9934,,3m02s
retrain,14,0.00013242845179641639,-728588.4375,,0.0014357626303903288,0.9934,,3m16s
retrain,15,6.30796600230345e-05,-742992.625,,0.0014357626303903288,0.9937,,3m31s
retrain,16,4.089433529879898e-05,-760043.3125,,0.0014357626303903288,0.9937,,3m45s
retrain,17,4.176875733798321e-05,-779607.5625,,0.0014357626303903288,0.9934,,4m00s
retrain,18,5.034328668801512e-05,-801314.0,,0.0014357626303903288,0.9936,,4m14s
retrain,19,0.0005893142827881093,-818627.8125,,0.0014357626303903288,0.9915,,4m28s
retrain,20,0.006379124960411961,-788695.125,,0.0014357626303903288,0.9932,38.04,4m43s
retrain,21,0.0011918835302596562,-794636.875,,0.0014357626303903288,0.9940,,4m58s
retrain,22,0.0005426804667537606,-804533.6875,,0.0014357626303903288,0.9936,,5m12s
retrain,23,0.0005130975341278827,-812858.625,,0.0014357626303903288,0.9922,,5m27s
retrain,24,0.00038008554006616275,-823839.125,,0.0014357626303903288,0.9935,,5m41s
retrain,25,0.0014965802950629343,-827308.9375,,0.0014357626303903288,0.9929,,5m56s
retrain,26,0.0015923875779340355,-826098.3125,,0.0014357626303903288,0.9933,,6m10s
retrain,27,0.001206336684669077,-829873.1875,,0.0014357626303903288,0.9925,,6m25s
retrain,28,0.0002970904030070718,-841356.3125,,0.0014357626303903288,0.9935,,6m39s
retrain,29,7.21290529416971e-05,-857958.375,,0.0014357626303903288,0.9940,,6m48s
retrain,30,4.493447186893415e-05,-876949.5625,,0.0014357626303903288,0.9940,38.25,7m01s
