phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0009936705071399653,-331547.3125,,0.002422085695149476,0.9935,,27s
retrain,2,0.0011710350354526176,-346208.84375,,0.002422085695149476,0.9926,,55s
retrain,3,0.0007114246850603195,-360562.84375,,0.002422085695149476,0.9927,,1m22s
retrain,4,0.00024530223485998403,-375081.6875,,0.002422085695149476,0.9929,,1m50s
retrain,5,0.0002711753789894904,-389286.71875,,0.002422085695149476,0.9929,,2m17s
retrain,6,0.0023470877634739888,-401285.5625,,0.002422085695149476,0.9932,,2m45s
retrain,7,0.00042133218521141013,-414603.3125,,0.002422085695149476,0.9934,,3m12s
retrain,8,0.000164177158324037,-428454.40625,,0.002422085695149476,0.9916,,3m40s
retrain,9,0.00020406899660827094,-442226.71875,,0.002422085695149476,0.9930,,4m07s
retrain,10,1.6122828325630203e-05,-456923.6875,,0.002422085695149476,0.9931,3.06,4m35s
retrain,11,1.1230146578130492e-05,-472443.3125,,0.002422085695149476,0.9931,,5m02s
retrain,12,1.0830765826604724e-05,-489012.25,,0.002422085695149476,0.9932,,5m30s
retrain,13,1.1625605606491263e-05,-506828.125,,0.002422085695149476,0.9933,,5m57s
retrain,14,1.3199632799035043e-05,-526059.6875,,0.002422085695149476,0.9931,,6m25s
retrain,15,0.0024169354401304796,-538648.75,,0.002422085695149476,0.9914,,6m52s
retrain,16,0.0036357202735283257,-545952.8125,,0.002422085695149476,0.9925,,7m20s
retrain,17,0.0002357976655922054,-557795.5625,,0.002422085695149476,0.9930,,7m47s
retrain,18,5.2945862128702475e-05,-570447.8125,,0.002422085695149476,0.9932,,8m15s
retrain,19,3.1380696913705226e-05,-583918.75,,0.002422085695149476,0.9932,,8m42s
retrain,20,2.6224701905448455e-05,-598442.75,,0.002422085695149476,0.9932,3.06,9m07s
retrain,21,2.577607549425617e-05,-614311.6875,,0.002422085695149476,0.9929,,9m34s
retrain,22,2.8116786437506866e-05,-631745.875,,0.002422085695149476,0.9930,,10m01s
retrain,23,0.002860573784468276,-639075.75,,0.002422085695149476,0.9918,,10m29s
retrain,24,0.0025333633455239275,-643685.375,,0.002422085695149476,0.9922,,10m56s
retrain,25,0.0010720493918706779,-652142.25,,0.002422085695149476,0.9934,,11m23s
retrain,26,0.00014362941727328387,-663557.25,,0.002422085695149476,0.9933,,11m51s
retrain,27,0.0003042991352197229,-675078.25,,0.002422085695149476,0.9926,,12m18s
retrain,28,0.002350322131308106,-679501.4375,,0.002422085695149476,0.9927,,12m46s
retrain,29,0.0016373973446223923,-685689.75,,0.002422085695149476,0.9924,,13m13s
retrain,30,0.000151560124795166,-698162.875,,0.002422085695149476,0.9937,16.78,13m40s
