phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001184282661684847,-597247.375,,0.0023637032249988017,0.9922,,22s
retrain,2,0.001064997027823847,-624451.4375,,0.0023637032249988017,0.9929,,45s
retrain,3,0.0007847975852021288,-642522.375,,0.0023637032249988017,0.9933,,1m07s
retrain,4,0.0010781994575670979,-657715.5625,,0.0023637032249988017,0.9922,,1m29s
retrain,5,0.0009336815752110852,-673311.1875,,0.0023637032249988017,0.9928,,1m52s
retrain,6,0.002032889511367345,-681294.9375,,0.0023637032249988017,0.9929,,2m14s
retrain,7,0.0002057553352481894,-698085.1875,,0.0023637032249988017,0.9932,,2m37s
retrain,8,5.6121413814707924e-05,-718544.75,,0.0023637032249988017,0.9939,,2m59s
retrain,9,4.958244330434051e-05,-741373.375,,0.0023637032249988017,0.9936,,3m21s
retrain,10,5.639238111756034e-05,-765942.1875,,0.0023637032249988017,0.9940,40.83,3m44s
retrain,11,0.0007953172671326077,-783264.1875,,0.0023637032249988017,0.9906,,4m06s
retrain,12,0.005850140937444909,-768782.9375,,0.0023637032249988017,0.9935,,4m28s
retrain,13,0.0005395743560220581,-780498.125,,0.0023637032249988017,0.9931,,4m51s
retrain,14,0.00021411219015426468,-794935.0,,0.0023637032249988017,0.9932,,5m13s
retrain,15,0.00010623660227065557,-810949.75,,0.0023637032249988017,0.9939,,5m35s
retrain,16,6.557752508706472e-05,-828576.1875,,0.0023637032249988017,0.9934,,5m57s
retrain,17,0.000132872952301841,-846795.25,,0.0023637032249988017,0.9932,,6m19s
retrain,18,0.005367657236979964,-829491.0625,,0.0023637032249988017,0.9935,,6m41s
retrain,19,0.0008255092813255032,-838633.875,,0.0023637032249988017,0.9934,,7m04s
retrain,20,0.00013944937078025154,-852766.0625,,0.0023637032249988017,0.9941,43.41,7m26s
retrain,21,8.658302702388028e-05,-868062.625,,0.0023637032249988017,0.9937,,7m48s
retrain,22,7.735360665392363e-05,-884183.375,,0.0023637032249988017,0.9934,,8m11s
retrain,23,0.0018700913346508363,-882283.625,,0.0023637032249988017,0.9868,,8m33s
retrain,24,0.00433325989076014,-874561.25,,0.0023637032249988017,0.9932,,8m56s
retrain,25,0.0009449089830139807,-885047.625,,0.0023637032249988017,0.9932,,9m18s
retrain,26,0.00014534233159550544,-899016.25,,0.0023637032249988017,0.9936,,9m40s
retrain,27,8.364908747025765e-05,-913735.125,,0.0023637032249988017,0.9936,,10m03s
retrain,28,0.0001070524915601709,-928302.6875,,0.0023637032249988017,0.9929,,10m25s
retrain,29,0.0042526854888366265,-907684.8125,,0.0023637032249988017,0.9919,,10m47s
retrain,30,0.0019379620543331839,-912143.875,,0.0023637032249988017,0.9929,41.04,11m10s
