phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0014976232095155865,-511411.15625,,0.001836715535794881,0.9917,,22s
retrain,2,0.0006878032376003527,-526259.4375,,0.001836715535794881,0.9919,,44s
retrain,3,0.0008824187323111535,-539427.0625,,0.001836715535794881,0.9915,,1m06s
retrain,4,0.0007084786694663004,-550911.125,,0.001836715535794881,0.9919,,1m28s
retrain,5,0.0007698834112102607,-563046.0625,,0.001836715535794881,0.9909,,1m51s
retrain,6,0.0015762589923955601,-571054.75,,0.001836715535794881,0.9933,,2m13s
retrain,7,0.0004185287203682795,-583254.25,,0.001836715535794881,0.9930,,2m35s
retrain,8,0.0013986557867518665,-591044.1875,,0.001836715535794881,0.9932,,2m57s
retrain,9,0.0010250574058009987,-599646.9375,,0.001836715535794881,0.9922,,3m20s
retrain,10,0.0005105958766892096,-609775.875,,0.001836715535794881,0.9933,8.99,3m42s
retrain,11,6.665366602984856e-05,-623966.375,,0.001836715535794881,0.9934,,4m04s
retrain,12,2.669868045207598e-05,-641346.75,,0.001836715535794881,0.9935,,4m26s
retrain,13,2.0230150751588856e-05,-662316.125,,0.001836715535794881,0.9934,,4m48s
retrain,14,2.6788019983481112e-05,-687097.0,,0.001836715535794881,0.9935,,5m10s
retrain,15,3.5861391582784564e-05,-715749.1875,,0.001836715535794881,0.9934,,5m33s
retrain,16,0.004646323154971469,-717936.0625,,0.001836715535794881,0.9918,,5m55s
retrain,17,0.002614293002603032,-721105.75,,0.001836715535794881,0.9926,,6m17s
retrain,18,0.00044882667552883506,-732067.75,,0.001836715535794881,0.9933,,6m39s
retrain,19,0.00034591068574542686,-744773.625,,0.001836715535794881,0.9934,,7m01s
retrain,20,0.0014110265336673667,-752490.0625,,0.001836715535794881,0.9930,24.35,7m22s
retrain,21,0.00038538802917367624,-766279.1875,,0.001836715535794881,0.9930,,7m30s
retrain,22,7.301521896952181e-05,-785471.5,,0.001836715535794881,0.9931,,7m51s
retrain,23,5.391153157005041e-05,-808019.5,,0.001836715535794881,0.9928,,8m13s
retrain,24,8.223769841861212e-05,-832787.25,,0.001836715535794881,0.9930,,8m36s
retrain,25,0.005009343052390614,-809036.4375,,0.001836715535794881,0.9929,,8m59s
retrain,26,0.0018152618151255108,-814361.875,,0.001836715535794881,0.9929,,9m21s
retrain,27,0.00047098572909405145,-826489.9375,,0.001836715535794881,0.9935,,9m44s
retrain,28,0.00012999624251776065,-843616.0,,0.001836715535794881,0.9937,,10m07s
retrain,29,6.224483971151737e-05,-863662.0625,,0.001836715535794881,0.9940,,10m30s
retrain,30,6.827030266164608e-05,-886077.0625,,0.001836715535794881,0.9935,37.20,10m52s
