phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0015978248700863635,-565972.25,,0.0028258697522739787,0.9930,,22s
retrain,2,0.0011566954330169815,-584997.625,,0.0028258697522739787,0.9936,,45s
retrain,3,0.0003433582055865524,-606291.5625,,0.0028258697522739787,0.9934,,1m08s
retrain,4,6.68516224701913e-05,-632351.5625,,0.0028258697522739787,0.9925,,1m31s
retrain,5,4.704273154635909e-05,-662624.5,,0.0028258697522739787,0.9931,,1m54s
retrain,6,0.00299060936725679,-674872.4375,,0.0028258697522739787,0.9924,,2m17s
retrain,7,0.001942463741825001,-685841.5625,,0.0028258697522739787,0.9930,,2m40s
retrain,8,0.0009754680453021138,-701544.0,,0.0028258697522739787,0.9922,,3m02s
retrain,9,0.00034968181184667627,-720144.625,,0.0028258697522739787,0.9922,,3m25s
retrain,10,0.00013251779507118043,-743701.4375,,0.0028258697522739787,0.9935,14.96,3m48s
retrain,11,7.458719657358113e-05,-771728.125,,0.0028258697522739787,0.9935,,4m11s
retrain,12,7.087844938475125e-05,-803761.875,,0.0028258697522739787,0.9936,,4m33s
retrain,13,0.004017170301307487,-807576.5625,,0.0028258697522739787,0.9900,,4m56s
retrain,14,0.0031635776576993523,-813222.875,,0.0028258697522739787,0.9918,,5m19s
retrain,15,0.0015558046407240908,-826374.5,,0.0028258697522739787,0.9908,,5m41s
retrain,16,0.000904433542805297,-844141.5,,0.0028258697522739787,0.9939,,6m04s
retrain,17,0.00012864867554647692,-868411.4375,,0.0028258697522739787,0.9935,,6m27s
retrain,18,0.00010736092401493807,-895688.25,,0.0028258697522739787,0.9942,,6m49s
retrain,19,0.0022702623978004947,-901230.0625,,0.0028258697522739787,0.9891,,7m12s
retrain,20,0.004011705699043038,-900903.125,,0.0028258697522739787,0.9929,17.26,7m35s
retrain,21,0.0015334035135184726,-916331.125,,0.0028258697522739787,0.9937,,7m58s
retrain,22,0.0006860245024901814,-936685.4375,,0.0028258697522739787,0.9937,,8m21s
retrain,23,0.00020376313475474792,-962460.9375,,0.0028258697522739787,0.9939,,8m43s
retrain,24,0.000165094406560335,-989799.5,,0.0028258697522739787,0.9931,,9m06s
retrain,25,0.0055833036997646555,-963193.25,,0.0028258697522739787,0.9923,,9m28s
retrain,26,0.0013423344186429555,-981894.625,,0.0028258697522739787,0.9930,,9m51s
retrain,27,0.0003683329805979156,-1005793.875,,0.0028258697522739787,0.9941,,10m13s
retrain,28,0.00018767441899011222,-1031410.3125,,0.0028258697522739787,0.9929,,10m35s
retrain,29,0.001378634532385816,-1033215.875,,0.0028258697522739787,0.9901,,10m58s
retrain,30,0.0038677770110856122,-1030121.4375,,0.0028258697522739787,0.9920,38.77,11m21s
