phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0014439666002334585,-552447.625,,0.003613599593623295,0.9910,,22s
retrain,2,0.0007397743951503495,-574252.0625,,0.003613599593623295,0.9934,,42s
retrain,3,9.256325684154944e-05,-599658.375,,0.003613599593623295,0.9933,,1m05s
retrain,4,3.992944100373279e-05,-629029.625,,0.003613599593623295,0.9930,,1m28s
retrain,5,5.290989516894721e-05,-661960.75,,0.003613599593623295,0.9926,,1m50s
retrain,6,0.005300008946611221,-666698.75,,0.003613599593623295,0.9923,,2m13s
retrain,7,0.0008235296599644546,-683455.5,,0.003613599593623295,0.9931,,2m35s
retrain,8,0.0002934994835159159,-703694.3125,,0.003613599593623295,0.9938,,2m58s
retrain,9,8.20922936641485e-05,-727953.5,,0.003613599593623295,0.9939,,3m21s
retrain,10,8.115833286483393e-05,-755775.375,,0.003613599593623295,0.9936,17.18,3m43s
retrain,11,0.00012778639723207258,-786449.8125,,0.003613599593623295,0.9930,,4m06s
retrain,12,0.005918821750413432,-783062.9375,,0.003613599593623295,0.9925,,4m29s
retrain,13,0.000903301333875667,-800961.9375,,0.003613599593623295,0.9930,,4m52s
retrain,14,0.0012878117293507482,-819152.4375,,0.003613599593623295,0.9921,,5m14s
retrain,15,0.0014172597066673916,-835646.9375,,0.003613599593623295,0.9916,,5m37s
retrain,16,0.0014803765135909391,-850256.6875,,0.003613599593623295,0.9936,,6m00s
retrain,17,0.0013587964551882276,-866324.25,,0.003613599593623295,0.9931,,6m23s
retrain,18,0.002102036045384011,-878325.1875,,0.003613599593623295,0.9929,,6m46s
retrain,19,0.001997501177486265,-892191.1875,,0.003613599593623295,0.9925,,7m08s
retrain,20,0.0009513633310523194,-913957.9375,,0.003613599593623295,0.9932,34.55,7m31s
retrain,21,0.0004364435910465545,-940756.0625,,0.003613599593623295,0.9935,,7m54s
retrain,22,0.0021321525064694775,-951921.0,,0.003613599593623295,0.9922,,8m17s
retrain,23,0.0033718041946257777,-957155.625,,0.003613599593623295,0.9930,,8m40s
retrain,24,0.001203131943779105,-979084.1875,,0.003613599593623295,0.9928,,9m03s
retrain,25,0.00034111057250605276,-1007481.625,,0.003613599593623295,0.9935,,9m26s
retrain,26,0.0009687267307410366,-1024651.4375,,0.003613599593623295,0.9908,,9m48s
retrain,27,0.005325834923462632,-1016491.25,,0.003613599593623295,0.9914,,10m11s
retrain,28,0.0011590542258015678,-1038756.0,,0.003613599593623295,0.9927,,10m34s
retrain,29,0.0013619974193919916,-1057503.375,,0.003613599593623295,0.9914,,10m56s
retrain,30,0.0014144142325288461,-1074995.25,,0.003613599593623295,0.9930,41.12,11m19s
