phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0012616409857843488,-529511.5,,0.004084193176215474,0.9921,,22s
retrain,2,0.0009613542877649403,-557112.125,,0.004084193176215474,0.9921,,44s
retrain,3,0.0007034445567520227,-581171.375,,0.004084193176215474,0.9924,,1m07s
retrain,4,0.0013970340157106874,-600883.8125,,0.004084193176215474,0.9905,,1m30s
retrain,5,0.0009284633467916137,-620445.4375,,0.004084193176215474,0.9930,,1m53s
retrain,6,0.0001775730481289429,-644616.25,,0.004084193176215474,0.9930,,2m15s
retrain,7,4.393192526404164e-05,-673675.75,,0.004084193176215474,0.9930,,2m38s
retrain,8,5.312778745380153e-05,-707581.875,,0.004084193176215474,0.9930,,3m01s
retrain,9,0.0030024392059776195,-725253.25,,0.004084193176215474,0.9910,,3m23s
retrain,10,0.0027231326083827297,-739287.875,,0.004084193176215474,0.9928,15.39,3m46s
retrain,11,0.0009260290908404083,-759920.75,,0.004084193176215474,0.9933,,4m09s
retrain,12,0.0003096390240340649,-786101.4375,,0.004084193176215474,0.9934,,4m32s
retrain,13,0.00012773938992856226,-817835.125,,0.004084193176215474,0.9922,,4m54s
retrain,14,0.0036902189445575154,-823468.4375,,0.004084193176215474,0.9919,,5m17s
retrain,15,0.0021427441538117513,-840429.0625,,0.004084193176215474,0.9930,,5m39s
retrain,16,0.001965081774868304,-858208.0625,,0.004084193176215474,0.9932,,6m02s
retrain,17,0.0009550688838290322,-882247.1875,,0.004084193176215474,0.9931,,6m25s
retrain,18,0.0010180239048281994,-905331.1875,,0.004084193176215474,0.9915,,6m47s
retrain,19,0.0023573167414656683,-917753.125,,0.004084193176215474,0.9917,,7m10s
retrain,20,0.0020818329659300313,-933483.125,,0.004084193176215474,0.9931,34.40,7m33s
retrain,21,0.0006825861245277337,-960650.75,,0.004084193176215474,0.9931,,7m56s
retrain,22,0.003462758320286715,-964981.1875,,0.004084193176215474,0.9937,,8m19s
retrain,23,0.0021034985488280655,-979078.625,,0.004084193176215474,0.9935,,8m41s
retrain,24,0.0010651446822923995,-999233.875,,0.004084193176215474,0.9911,,9m04s
retrain,25,0.0018693796485875888,-1013992.8125,,0.004084193176215474,0.9929,,9m27s
retrain,26,0.0015800737329778106,-1029232.9375,,0.004084193176215474,0.9919,,9m50s
retrain,27,0.0017856732925438943,-1038527.8125,,0.004084193176215474,0.9927,,10m12s
retrain,28,0.002961436223327958,-1039399.6875,,0.004084193176215474,0.9926,,10m35s
retrain,29,0.0017130772142050167,-1050135.5,,0.004084193176215474,0.9938,,10m57s
retrain,30,0.002091581774809553,-1057542.375,,0.004084193176215474,0.9932,43.18,11m20s
