phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0009234216455016395,-317509.15625,,0.0006341558613891267,0.9932,,27s
retrain,2,0.0012353071404829885,-324300.875,,0.0006341558613891267,0.9933,,54s
retrain,3,0.00026285242005273326,-331488.21875,,0.0006341558613891267,0.9935,,1m21s
retrain,4,0.0005649732596531673,-338405.8125,,0.0006341558613891267,0.9935,,1m48s
retrain,5,0.0017819016165617843,-344482.84375,,0.0006341558613891267,0.9928,,2m15s
retrain,6,0.0010495021063158826,-350523.3125,,0.0006341558613891267,0.9913,,2m42s
retrain,7,0.001065924509935227,-356687.75,,0.0006341558613891267,0.9929,,3m09s
retrain,8,0.0001243033137280842,-363344.65625,,0.0006341558613891267,0.9932,,3m36s
retrain,9,7.485953601708388e-05,-370063.96875,,0.0006341558613891267,0.9931,,4m03s
retrain,10,1.011577862333676e-05,-376965.0625,,0.0006341558613891267,0.9933,22.77,4m30s
retrain,11,7.4150952794714914e-06,-384009.9375,,0.0006341558613891267,0.9933,,4m57s
retrain,12,5.876085525895291e-06,-391249.59375,,0.0006341558613891267,0.9931,,5m24s
retrain,13,4.933138183370526e-06,-398764.78125,,0.0006341558613891267,0.9933,,5m51s
retrain,14,4.086513290788219e-06,-406634.625,,0.0006341558613891267,0.9933,,6m18s
retrain,15,3.718550224436967e-06,-414952.0,,0.0006341558613891267,0.9933,,6m45s
retrain,16,3.2805479000520183e-06,-423804.3125,,0.0006341558613891267,0.9933,,7m12s
retrain,17,3.2241665817262327e-06,-433264.25,,0.0006341558613891267,0.9933,,7m39s
retrain,18,3.309749464373605e-06,-443391.1875,,0.0006341558613891267,0.9933,,8m06s
retrain,19,3.2487003136921543e-06,-454224.96875,,0.0006341558613891267,0.9933,,8m33s
retrain,20,0.0032070480772448417,-460091.9375,,0.0006341558613891267,0.9916,43.57,9m00s
retrain,21,0.003121845473506255,-463670.15625,,0.0006341558613891267,0.9927,,9m27s
retrain,22,0.0002769517111096623,-469498.65625,,0.0006341558613891267,0.9933,,9m54s
retrain,23,4.920778645073369e-05,-475704.5625,,0.0006341558613891267,0.9932,,10m21s
retrain,24,1.9261740232104786e-05,-482071.9375,,0.0006341558613891267,0.9933,,10m46s
retrain,25,1.3782283726171348e-05,-488588.125,,0.0006341558613891267,0.9935,,11m13s
retrain,26,1.0672051629126144e-05,-495311.4375,,0.0006341558613891267,0.9936,,11m40s
retrain,27,8.466079696703824e-06,-502349.1875,,0.0006341558613891267,0.9938,,12m07s
retrain,28,6.895588452020244e-06,-509758.8125,,0.0006341558613891267,0.9938,,12m34s
retrain,29,5.968707863955084e-06,-517666.15625,,0.0006341558613891267,0.9936,,13m01s
retrain,30,5.282499940036208e-06,-526176.25,,0.0006341558613891267,0.9937,40.60,13m28s
