phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0010670297628506584,-545065.125,,0.0012009677999156889,0.9930,,27s
retrain,2,0.0009389584729018982,-554651.375,,0.0012009677999156889,0.9922,,54s
retrain,3,0.0010105001618956522,-560427.125,,0.0012009677999156889,0.9926,,1m21s
retrain,4,0.00044033540526086955,-568009.125,,0.0012009677999156889,0.9922,,1m48s
retrain,5,0.0002479361115299374,-577134.0,,0.0012009677999156889,0.9927,,2m16s
retrain,6,2.1056111838074307e-05,-589123.8125,,0.0012009677999156889,0.9928,,2m43s
retrain,7,1.4309889709268949e-05,-602990.75,,0.0012009677999156889,0.9934,,3m10s
retrain,8,1.3637164845901376e-05,-618751.9375,,0.0012009677999156889,0.9931,,3m37s
retrain,9,1.5184393531421846e-05,-636211.5,,0.0012009677999156889,0.9932,,4m04s
retrain,10,0.0038894877863226915,-630368.9375,,0.0012009677999156889,0.9921,34.59,4m31s
retrain,11,0.0017561987624047713,-630403.0,,0.0012009677999156889,0.9937,,4m58s
retrain,12,0.0003707674412971149,-635753.875,,0.0012009677999156889,0.9937,,5m25s
retrain,13,5.33119278976604e-05,-643369.625,,0.0012009677999156889,0.9937,,5m52s
retrain,14,2.8380189870798252e-05,-652377.25,,0.0012009677999156889,0.9938,,6m19s
retrain,15,2.440110964180349e-05,-662816.4375,,0.0012009677999156889,0.9937,,6m46s
retrain,16,2.0289946840724344e-05,-674836.875,,0.0012009677999156889,0.9934,,7m13s
retrain,17,2.1363993117756765e-05,-688371.625,,0.0012009677999156889,0.9939,,7m37s
retrain,18,2.5084211019384382e-05,-703216.75,,0.0012009677999156889,0.9936,,8m04s
retrain,19,0.005356199785086392,-687431.5,,0.0012009677999156889,0.9927,,8m31s
retrain,20,0.0017192548612879666,-687780.75,,0.0012009677999156889,0.9926,38.77,8m58s
retrain,21,0.0006033273931403528,-690859.1875,,0.0012009677999156889,0.9934,,9m25s
retrain,22,8.63042422318055e-05,-697493.3125,,0.0012009677999156889,0.9932,,9m53s
retrain,23,0.00010643295863446838,-704628.75,,0.0012009677999156889,0.9931,,10m20s
retrain,24,5.7907407965224895e-05,-713269.25,,0.0012009677999156889,0.9934,,10m47s
retrain,25,2.6873197561114164e-05,-723481.6875,,0.0012009677999156889,0.9936,,11m14s
retrain,26,2.6462897837003158e-05,-734945.0625,,0.0012009677999156889,0.9935,,11m41s
retrain,27,3.009370691843287e-05,-747551.6875,,0.0012009677999156889,0.9937,,12m08s
retrain,28,0.0010879118245728022,-751561.9375,,0.0012009677999156889,0.9879,,12m35s
retrain,29,0.005133525337208994,-735182.6875,,0.0012009677999156889,0.9924,,13m02s
retrain,30,0.0008159474404523887,-738041.3125,,0.0012009677999156889,0.9936,41.26,13m29s
