phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001441482473953632,-525600.25,,0.0007491538822607202,0.9923,,27s
retrain,2,0.00033913781788282905,-540993.625,,0.0007491538822607202,0.9926,,54s
retrain,3,5.9015902770541594e-05,-556808.625,,0.0007491538822607202,0.9934,,1m21s
retrain,4,1.896280456888917e-05,-573915.5,,0.0007491538822607202,0.9933,,1m48s
retrain,5,1.4004301897057304e-05,-593555.1875,,0.0007491538822607202,0.9934,,2m16s
retrain,6,1.4439158769414462e-05,-616933.0,,0.0007491538822607202,0.9932,,2m43s
retrain,7,1.9412333515015233e-05,-644675.6875,,0.0007491538822607202,0.9931,,3m11s
retrain,8,0.004446725855876531,-641013.25,,0.0007491538822607202,0.9914,,3m38s
retrain,9,0.0019348035915096261,-639214.625,,0.0007491538822607202,0.9932,,4m05s
retrain,10,0.00024175126795586644,-645619.6875,,0.0007491538822607202,0.9936,28.11,4m32s
retrain,11,5.211473135574731e-05,-654335.0,,0.0007491538822607202,0.9933,,4m59s
retrain,12,3.0405036346443617e-05,-664978.5625,,0.0007491538822607202,0.9935,,5m26s
retrain,13,2.379006047834385e-05,-678048.125,,0.0007491538822607202,0.9938,,5m53s
retrain,14,2.1619781264083335e-05,-694244.0,,0.0007491538822607202,0.9937,,6m20s
retrain,15,2.1689890577363257e-05,-714455.4375,,0.0007491538822607202,0.9935,,6m47s
retrain,16,2.2137516983199626e-05,-739817.4375,,0.0007491538822607202,0.9935,,7m14s
retrain,17,0.0025978395192735966,-740901.0,,0.0007491538822607202,0.9880,,7m41s
retrain,18,0.003391039040995141,-730542.375,,0.0007491538822607202,0.9919,,8m08s
retrain,19,0.0005558686460673926,-735950.9375,,0.0007491538822607202,0.9932,,8m36s
retrain,20,7.070422619750995e-05,-745602.8125,,0.0007491538822607202,0.9933,26.56,9m00s
retrain,21,3.933977121347804e-05,-757539.3125,,0.0007491538822607202,0.9934,,9m27s
retrain,22,3.294820964122967e-05,-772184.0625,,0.0007491538822607202,0.9934,,9m54s
retrain,23,3.048872841948954e-05,-790398.1875,,0.0007491538822607202,0.9933,,10m21s
retrain,24,0.0030584570299912834,-777936.5625,,0.0007491538822607202,0.9903,,10m48s
retrain,25,0.0027146152385374685,-768520.4375,,0.0007491538822607202,0.9918,,11m15s
retrain,26,0.0007905990563199642,-772952.3125,,0.0007491538822607202,0.9928,,11m42s
retrain,27,0.00012467788181214323,-781600.5625,,0.0007491538822607202,0.9937,,12m09s
retrain,28,5.1522606774718346e-05,-793902.375,,0.0007491538822607202,0.9936,,12m36s
retrain,29,3.512866658381123e-05,-808885.625,,0.0007491538822607202,0.9938,,13m03s
retrain,30,3.230020906309316e-05,-827287.4375,,0.0007491538822607202,0.9940,26.75,13m30s
