phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0010557897581420547,-528601.3125,,0.0013978411754099426,0.9938,,27s
retrain,2,0.0008124270405620943,-542300.9375,,0.0013978411754099426,0.9918,,54s
retrain,3,0.0015637024354418828,-547093.875,,0.0013978411754099426,0.9929,,1m22s
retrain,4,0.00015068527887800276,-556030.625,,0.0013978411754099426,0.9930,,1m49s
retrain,5,2.3565403578625894e-05,-567235.25,,0.0013978411754099426,0.9927,,2m16s
retrain,6,1.8579185453052105e-05,-580166.8125,,0.0013978411754099426,0.9928,,2m43s
retrain,7,1.6733383186988247e-05,-594933.25,,0.0013978411754099426,0.9927,,3m10s
retrain,8,1.865483384168935e-05,-611457.9375,,0.0013978411754099426,0.9931,,3m37s
retrain,9,0.0004223722655901194,-627539.4375,,0.0013978411754099426,0.9913,,4m04s
retrain,10,0.005751213066637865,-618077.75,,0.0013978411754099426,0.9918,17.85,4m31s
retrain,11,0.0011570125121461994,-622523.625,,0.0013978411754099426,0.9924,,4m58s
retrain,12,0.0003940620259648616,-628971.4375,,0.0013978411754099426,0.9934,,5m25s
retrain,13,0.0007687214481067107,-635389.875,,0.0013978411754099426,0.9924,,5m49s
retrain,14,0.00023207847644213567,-643437.125,,0.0013978411754099426,0.9928,,6m16s
retrain,15,0.0007091535267262467,-649484.25,,0.0013978411754099426,0.9934,,6m43s
retrain,16,0.0008739052689716724,-654494.4375,,0.0013978411754099426,0.9928,,7m10s
retrain,17,0.0011523397023559786,-658839.0,,0.0013978411754099426,0.9923,,7m37s
retrain,18,0.00020683264453443068,-667431.3125,,0.0013978411754099426,0.9934,,8m05s
retrain,19,4.655460002310671e-05,-678566.625,,0.0013978411754099426,0.9932,,8m31s
retrain,20,2.2958877672681412e-05,-691732.25,,0.0013978411754099426,0.9933,33.68,8m59s
retrain,21,2.169120404720767e-05,-706661.5,,0.0013978411754099426,0.9933,,9m26s
retrain,22,2.4406560584672357e-05,-723214.25,,0.0013978411754099426,0.9929,,9m53s
retrain,23,3.6310338622449006e-05,-740770.75,,0.0013978411754099426,0.9933,,10m20s
retrain,24,0.004773513088545951,-727448.8125,,0.0013978411754099426,0.9927,,10m47s
retrain,25,0.0016860818001218528,-729455.5,,0.0013978411754099426,0.9918,,11m14s
retrain,26,0.00048559610596930725,-735360.0,,0.0013978411754099426,0.9925,,11m41s
retrain,27,9.596572377437649e-05,-744071.9375,,0.0013978411754099426,0.9935,,12m08s
retrain,28,4.4012140202054676e-05,-754368.375,,0.0013978411754099426,0.9932,,12m35s
retrain,29,3.4342489194811305e-05,-766016.0625,,0.0013978411754099426,0.9936,,13m02s
retrain,30,3.2912083038900164e-05,-779116.75,,0.0013978411754099426,0.9935,36.96,13m29s
