phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,0.4366470654884974,,,,0.9384,,3s
pretrain,2,0.17242440962791442,,,,0.9610,,6s
pretrain,3,0.12082020704348882,,,,0.9677,,9s
pretrain,4,0.09086987509131432,,,,0.9721,,12s
pretrain,5,0.06999518910646439,,,,0.9719,,15s
pretrain,6,0.056531486564874646,,,,0.9749,,18s
pretrain,7,0.04541784700949987,,,,0.9760,,21s
pretrain,8,0.03681287792921066,,,,0.9777,,25s
pretrain,9,0.030330574479699134,,,,0.9793,,28s
pretrain,10,0.02467994246731202,,,,0.9795,,31s
pretrain,11,0.019005271897464992,,,,0.9799,,34s
pretrain,12,0.016564543294658264,,,,0.9793,,37s
pretrain,13,0.01330413827051719,,,,0.9802,,40s
pretrain,14,0.010159610529616475,,,,0.9790,,43s
pretrain,15,0.009850666698192557,,,,0.9759,,46s
pretrain,16,0.008225601190018157,,,,0.9794,,49s
pretrain,17,0.00720017306363831,,,,0.9799,,52s
pretrain,18,0.00749851551783892,,,,0.9794,,55s
pretrain,19,0.0045322550567332654,,,,0.9790,,58s
pretrain,20,0.004802738960863402,,,,0.9816,,1m01s
retrain,1,0.006502261145288746,-326136.40625,,0.0018293814886630763,0.9813,,7s
retrain,2,0.004286564979112397,-328640.4375,,0.0018293814886630763,0.9771,,20s
retrain,3,0.004507249595566342,-329469.75,,0.0018293814886630763,0.9792,,38s
retrain,4,0.003364527285952742,-330268.8125,,0.0018293814886630763,0.9818,,57s
retrain,5,0.0054839337333804,-329000.25,,0.0018293814886630763,0.9768,,1m15s
retrain,6,0.005012434292569135,-328199.0625,,0.0018293814886630763,0.9814,,1m33s
retrain,7,0.001853039238966691,-330097.1875,,0.0018293814886630763,0.9772,,1m51s
retrain,8,0.0020339549822111923,-331605.28125,,0.0018293814886630763,0.9812,,2m09s
retrain,9,0.0006429428058831642,-334604.65625,,0.0018293814886630763,0.9822,,2m27s
retrain,10,0.010455404714743296,-330611.1875,,0.0018293814886630763,0.9812,37.93,2m45s
retrain,11,0.0026310881513947,-331248.90625,,0.0018293814886630763,0.9814,,3m03s
retrain,12,0.0012292504261053787,-333058.15625,,0.0018293814886630763,0.9834,,3m21s
retrain,13,0.0002470669730294806,-336458.21875,,0.0018293814886630763,0.9836,,3m39s
retrain,14,0.00017934792538483937,-340354.5625,,0.0018293814886630763,0.9843,,3m58s
retrain,15,0.00015787675339185323,-344821.78125,,0.0018293814886630763,0.9838,,4m16s
retrain,16,0.00015232800637410643,-349861.6875,,0.0018293814886630763,0.9844,,4m34s
retrain,17,0.00015300870940554887,-355550.125,,0.0018293814886630763,0.9839,,4m52s
retrain,18,0.011316399850250066,-350793.21875,,0.0018293814886630763,0.9771,,5m10s
retrain,19,0.008968471845332534,-348065.6875,,0.0018293814886630763,0.9797,,5m28s
retrain,20,0.0016603753799805418,-349527.75,,0.0018293814886630763,0.9835,37.63,5m45s
retrain,21,0.0003796643690749382,-352077.09375,,0.0018293814886630763,0.9841,,6m04s
retrain,22,0.00024008532082273935,-355119.75,,0.0018293814886630763,0.9838,,6m22s
retrain,23,0.0001731416447534381,-358645.78125,,0.0018293814886630763,0.9835,,6m40s
retrain,24,0.00015475970330492902,-362725.53125,,0.0018293814886630763,0.9839,,6m57s
retrain,25,0.00014486067357744712,-367456.3125,,0.0018293814886630763,0.9843,,7m16s
retrain,26,0.00610489054825933,-365449.0,,0.0018293814886630763,0.9764,,7m34s
retrain,27,0.011367425680564095,-360299.0625,,0.0018293814886630763,0.9809,,7m52s
retrain,28,0.0019087937390586981,-361056.96875,,0.0018293814886630763,0.9814,,8m10s
retrain,29,0.0004669834141891139,-363280.0,,0.0018293814886630763,0.9838,,8m28s
retrain,30,0.00020951698448237342,-366102.96875,,0.0018293814886630763,0.9834,36.43,8m46s
retrain,31,0.00015704762765284008,-369354.59375,,0.0018293814886630763,0.9830,,9m05s
retrain,32,0.00013419518045848234,-373186.21875,,0.0018293814886630763,0.9826,,9m23s
retrain,33,0.00012393477371078917,-377642.4375,,0.0018293814886630763,0.9836,,9m40s
retrain,34,0.00024313980144700811,-382821.6875,,0.0018293814886630763,0.9830,,10m02s
retrain,35,0.0161913165904892,-371589.375,,0.0018293814886630763,0.9829,,10m26s
retrain,36,0.0022179073935452228,-372048.1875,,0.0018293814886630763,0.9826,,10m50s
retrain,37,0.0004517722488807825,-374231.78125,,0.0018293814886630763,0.9835,,11m14s
retrain,38,0.00018553467400294417,-376923.90625,,0.0018293814886630763,0.9836,,11m38s
retrain,39,0.00014139509286809093,-380131.25,,0.0018293814886630763,0.9836,,12m03s
retrain,40,0.0001232280006350872,-383882.78125,,0.0018293814886630763,0.9837,35.77,12m21s
retrain,41,0.00011614828061040801,-388316.65625,,0.0018293814886630763,0.9840,,12m40s
retrain,42,0.00011546304970203588,-393505.28125,,0.0018293814886630763,0.9836,,13m00s
retrain,43,0.0001225296674160442,-399476.125,,0.0018293814886630763,0.9842,,13m24s
retrain,44,0.010066024962366403,-393463.21875,,0.0018293814886630763,0.9763,,13m47s
retrain,45,0.008388100151888405,-389905.90625,,0.0018293814886630763,0.9814,,14m11s
retrain,46,0.0034007354284403845,-389525.71875,,0.0018293814886630763,0.9840,,14m35s
retrain,47,0.0005630074421215492,-391235.625,,0.0018293814886630763,0.9834,,14m56s
retrain,48,0.0002052502582858627,-393776.75,,0.0018293814886630763,0.9842,,15m20s
retrain,49,0.00014420436109454992,-396733.59375,,0.0018293814886630763,0.9838,,15m43s
retrain,50,0.00012198102178711754,-400157.40625,,0.0018293814886630763,0.9839,35.93,16m06s
retrain,51,0.00011292353607520151,-404124.5,,0.0018293814886630763,0.9839,,16m29s
retrain,52,0.00011184620446098658,-408800.90625,,0.0018293814886630763,0.9844,,16m51s
retrain,53,0.00011372533286727655,-414219.875,,0.0018293814886630763,0.9843,,17m15s
retrain,54,0.007645272471400676,-410359.375,,0.0018293814886630763,0.9718,,17m39s
retrain,55,0.011732783101405948,-404771.46875,,0.0018293814886630763,0.9820,,18m01s
retrain,56,0.0012030893019245317,-406039.40625,,0.0018293814886630763,0.9829,,18m24s
retrain,57,0.0003084544235607609,-408390.0,,0.0018293814886630763,0.9831,,18m47s
retrain,58,0.00019341955365768324,-410980.46875,,0.0018293814886630763,0.9833,,19m11s
retrain,59,0.00014926631286458965,-413929.34375,,0.0018293814886630763,0.9833,,19m34s
retrain,60,0.000129827670607483,-417373.375,,0.0018293814886630763,0.9834,36.30,19m57s
retrain,61,0.00011957125927826079,-421457.6875,,0.0018293814886630763,0.9836,,20m19s
retrain,62,0.00012208600905238805,-426295.3125,,0.0018293814886630763,0.9829,,20m43s
retrain,63,0.0026482862633129115,-426693.15625,,0.0018293814886630763,0.9720,,21m07s
retrain,64,0.013973077788234999,-415438.84375,,0.0018293814886630763,0.9816,,21m29s
retrain,65,0.001568466091689091,-416302.96875,,0.0018293814886630763,0.9817,,21m52s
retrain,66,0.0005991395055917868,-418166.4375,,0.0018293814886630763,0.9829,,22m15s
retrain,67,0.00018447826276145253,-420698.5625,,0.0018293814886630763,0.9836,,22m39s
retrain,68,0.0001262315902179883,-423693.09375,,0.0018293814886630763,0.9832,,23m02s
retrain,69,0.00011537966088896307,-427106.5,,0.0018293814886630763,0.9841,,23m25s
retrain,70,0.00010582990936236456,-431142.78125,,0.0018293814886630763,0.9844,36.86,23m48s
retrain,71,0.00011048893503611908,-435838.625,,0.0018293814886630763,0.9838,,24m11s
retrain,72,0.0006329534203774529,-440110.40625,,0.0018293814886630763,0.9771,,24m35s
retrain,73,0.016613218971768706,-423487.9375,,0.0018293814886630763,0.9818,,24m59s
retrain,74,0.0014889303381865223,-424705.71875,,0.0018293814886630763,0.9837,,25m22s
retrain,75,0.0003263370809465414,-427025.0,,0.0018293814886630763,0.9851,,25m44s
retrain,76,0.00016705026693137674,-429585.78125,,0.0018293814886630763,0.9848,,26m07s
retrain,77,0.0001272444034810178,-432489.34375,,0.0018293814886630763,0.9850,,26m31s
retrain,78,0.00011162641080542622,-435885.375,,0.0018293814886630763,0.9857,,26m54s
retrain,79,0.00010512705806662173,-439796.375,,0.0018293814886630763,0.9851,,27m17s
retrain,80,0.00010468917853625802,-444444.03125,,0.0018293814886630763,0.9850,37.88,27m40s
retrain,81,0.00011325599325064104,-449676.15625,,0.0018293814886630763,0.9841,,28m02s
retrain,82,0.016437426791138326,-433922.65625,,0.0018293814886630763,0.9805,,28m26s
retrain,83,0.0038766887339142463,-433173.6875,,0.0018293814886630763,0.9832,,28m49s
retrain,84,0.0009793316879755972,-434578.6875,,0.0018293814886630763,0.9829,,29m11s
retrain,85,0.00041882118897823,-436743.46875,,0.0018293814886630763,0.9840,,29m34s
retrain,86,0.0001488478366372874,-439578.15625,,0.0018293814886630763,0.9838,,29m58s
retrain,87,0.0001173559786354114,-442630.75,,0.0018293814886630763,0.9840,,30m22s
retrain,88,0.00010108714244512764,-446185.09375,,0.0018293814886630763,0.9837,,30m44s
retrain,89,9.581304489208075e-05,-450287.90625,,0.0018293814886630763,0.9840,,31m07s
retrain,90,9.551114996138494e-05,-455164.9375,,0.0018293814886630763,0.9839,39.01,31m30s
retrain,91,0.00010343565060660088,-460681.21875,,0.0018293814886630763,0.9842,,31m54s
retrain,92,0.011811331207952268,-450371.4375,,0.0018293814886630763,0.9805,,32m17s
retrain,93,0.006291605395032093,-447299.03125,,0.0018293814886630763,0.9824,,32m40s
retrain,94,0.0010118662711465732,-448913.21875,,0.0018293814886630763,0.9838,,33m03s
retrain,95,0.0002736120904000321,-451465.78125,,0.0018293814886630763,0.9841,,33m26s
retrain,96,0.00015908519284857904,-454112.15625,,0.0018293814886630763,0.9837,,33m50s
retrain,97,0.0001226669328675295,-457164.65625,,0.0018293814886630763,0.9838,,34m13s
retrain,98,0.0001096215534984367,-460553.65625,,0.0018293814886630763,0.9840,,34m36s
retrain,99,0.00010840837057039607,-464536.75,,0.0018293814886630763,0.9845,,34m58s
retrain,100,0.00011562093465666597,-468892.125,,0.0018293814886630763,0.9841,41.31,35m22s
