phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001571554238123099,-537183.0625,,0.0007302680313658672,0.9925,,27s
retrain,2,0.0003328364655698048,-547806.5625,,0.0007302680313658672,0.9933,,55s
retrain,3,3.770600254449998e-05,-562323.125,,0.0007302680313658672,0.9933,,1m22s
retrain,4,1.8971639564506405e-05,-580343.1875,,0.0007302680313658672,0.9935,,1m50s
pretrain,1,0.2789962984879812,,,,0.9804,,5s
pretrain,1,0.2789962984879812,,,,0.9804,,5s
pretrain,2,0.06796995839079222,,,,0.9864,,11s
pretrain,3,0.04606916656295459,,,,0.9882,,16s
pretrain,4,0.036331741159160935,,,,0.9900,,21s
pretrain,5,0.02842611918548743,,,,0.9883,,26s
pretrain,6,0.023408837007979553,,,,0.9900,,31s
pretrain,7,0.019160655800501504,,,,0.9905,,37s
pretrain,8,0.016359630797803403,,,,0.9912,,42s
pretrain,9,0.013023800874936084,,,,0.9915,,47s
pretrain,10,0.01166560783997799,,,,0.9912,,52s
pretrain,11,0.009281412785189846,,,,0.9917,,58s
pretrain,12,0.007771348259023701,,,,0.9920,,1m03s
pretrain,13,0.00822404136240172,,,,0.9910,,1m08s
pretrain,14,0.005216750843652213,,,,0.9920,,1m13s
pretrain,15,0.005485792428049414,,,,0.9893,,1m19s
pretrain,16,0.0055057893653012195,,,,0.9915,,1m24s
pretrain,17,0.006104674938526781,,,,0.9918,,1m29s
pretrain,18,0.004222678596561309,,,,0.9931,,1m34s
pretrain,19,0.0033199647876327315,,,,0.9926,,1m40s
pretrain,20,0.003006456200761022,,,,0.9935,,1m45s
retrain,1,0.0037700386341360474,-639784.8125,,0.0007302680313658672,0.9912,,29s
retrain,2,0.0028106998834002295,-646420.625,,0.0007302680313658672,0.9914,,57s
retrain,3,0.003315414309842163,-649857.0625,,0.0007302680313658672,0.9915,,1m27s
retrain,4,0.002677108994480659,-653087.25,,0.0007302680313658672,0.9925,,1m56s
