phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,1.2867131849479676,,,,0.5871,,53s
pretrain,2,0.8742566443061829,,,,0.6807,,1m45s
pretrain,3,0.7281064494895935,,,,0.7363,,2m38s
pretrain,4,0.6354530932617187,,,,0.6999,,3m31s
pretrain,5,0.5775776280593872,,,,0.7109,,4m24s
pretrain,6,0.5388786716079712,,,,0.7505,,5m17s
pretrain,7,0.4987821452140808,,,,0.8152,,6m10s
pretrain,8,0.4735926102352142,,,,0.7720,,7m03s
pretrain,9,0.44280043062210084,,,,0.8128,,7m55s
pretrain,10,0.4184922784233093,,,,0.8403,,8m48s
pretrain,11,0.401586147480011,,,,0.8320,,9m41s
pretrain,12,0.38787052805900574,,,,0.8289,,10m34s
pretrain,13,0.37245537956237795,,,,0.8308,,11m27s
pretrain,14,0.36413687357902524,,,,0.8064,,12m20s
pretrain,15,0.3465384158229828,,,,0.8414,,13m13s
pretrain,16,0.3372836308860779,,,,0.8521,,14m06s
pretrain,17,0.3318688392162323,,,,0.8419,,14m59s
pretrain,18,0.32001223299980164,,,,0.8523,,15m51s
pretrain,19,0.31061998081207276,,,,0.8675,,16m44s
pretrain,20,0.3089031093740463,,,,0.8631,,17m37s
pretrain,21,0.30310785959243775,,,,0.8536,,18m30s
pretrain,22,0.29682513845443725,,,,0.8763,,19m23s
pretrain,23,0.29157617904663086,,,,0.8589,,20m16s
pretrain,24,0.28804125416755677,,,,0.8439,,21m09s
pretrain,25,0.2843020058441162,,,,0.8785,,22m02s
pretrain,26,0.27776854157447817,,,,0.8409,,22m54s
pretrain,27,0.2772941604232788,,,,0.8648,,23m47s
pretrain,28,0.27640439659118654,,,,0.8751,,24m40s
pretrain,29,0.2701615207862854,,,,0.8806,,25m33s
pretrain,30,0.2658278564357758,,,,0.8646,,26m26s
pretrain,31,0.2619918786907196,,,,0.8747,,27m19s
pretrain,32,0.2662798893642426,,,,0.8779,,28m11s
pretrain,33,0.2563619848537445,,,,0.8753,,29m04s
pretrain,34,0.2620600036907196,,,,0.8807,,29m57s
pretrain,35,0.2536847500324249,,,,0.8682,,30m50s
pretrain,36,0.25381746008872985,,,,0.8786,,31m43s
pretrain,37,0.24910986597061158,,,,0.8552,,32m35s
pretrain,38,0.2502360219478607,,,,0.8734,,33m28s
pretrain,39,0.24819051879405976,,,,0.8695,,34m21s
pretrain,40,0.24233696882247924,,,,0.8636,,35m14s
pretrain,41,0.24299153913021088,,,,0.8606,,35m56s
pretrain,42,0.24186042406082153,,,,0.8842,,36m49s
pretrain,43,0.24056454933166505,,,,0.8842,,37m42s
pretrain,44,0.2369236499118805,,,,0.8819,,38m35s
pretrain,45,0.2394427808856964,,,,0.8859,,39m27s
pretrain,46,0.231203361825943,,,,0.8729,,40m20s
pretrain,47,0.2391669521331787,,,,0.8750,,41m13s
pretrain,48,0.22960139017105102,,,,0.8856,,42m06s
pretrain,49,0.23241706646442414,,,,0.8769,,42m59s
pretrain,50,0.2314612962579727,,,,0.8754,,43m52s
pretrain,51,0.22979946598052978,,,,0.8834,,44m45s
pretrain,52,0.2267685451889038,,,,0.8749,,45m38s
pretrain,53,0.2295911162853241,,,,0.8709,,46m30s
pretrain,54,0.22655567996025086,,,,0.8854,,47m23s
pretrain,55,0.22348941864013672,,,,0.8833,,48m16s
pretrain,56,0.22494654034614564,,,,0.8684,,49m09s
pretrain,57,0.22245727022647857,,,,0.8815,,50m02s
pretrain,58,0.22204283969402314,,,,0.8889,,50m55s
pretrain,59,0.22406813791275024,,,,0.8851,,51m48s
pretrain,60,0.22218099462985993,,,,0.8852,,52m40s
pretrain,61,0.21707308654785157,,,,0.8796,,53m33s
pretrain,62,0.2181329390335083,,,,0.8784,,54m26s
pretrain,63,0.2137775255393982,,,,0.8703,,55m19s
pretrain,64,0.22371836346149446,,,,0.8776,,56m12s
pretrain,65,0.21497317569732666,,,,0.8821,,57m04s
pretrain,66,0.21878915291786194,,,,0.8796,,57m57s
pretrain,67,0.21245594492912293,,,,0.8835,,58m50s
pretrain,68,0.21824341392993926,,,,0.8812,,59m43s
pretrain,69,0.21710154501438142,,,,0.8857,,1h00m36s
pretrain,70,0.21098195636749267,,,,0.8920,,1h01m29s
pretrain,71,0.21421935145378113,,,,0.8840,,1h02m21s
pretrain,72,0.21728719146728515,,,,0.8840,,1h03m14s
pretrain,73,0.21070299479484558,,,,0.8755,,1h04m07s
pretrain,74,0.2141190880393982,,,,0.8681,,1h05m00s
pretrain,75,0.21082922884464264,,,,0.8913,,1h05m53s
pretrain,76,0.20912991971969605,,,,0.8848,,1h06m46s
pretrain,77,0.2113224731016159,,,,0.8875,,1h07m38s
pretrain,78,0.20760090641021728,,,,0.8889,,1h08m31s
pretrain,79,0.21348127672195436,,,,0.8880,,1h09m24s
pretrain,80,0.20654970200538636,,,,0.8812,,1h10m17s
pretrain,81,0.20968681246757506,,,,0.8756,,1h11m10s
