phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0027468993659286447,-230576.78125,,0.0013061468549802155,0.9822,,5s
retrain,2,0.0010127659830478175,-245696.375,,0.0013061468549802155,0.9818,,11s
retrain,3,0.00028330130205140447,-258239.90625,,0.0013061468549802155,0.9831,,17s
retrain,4,0.00016866970130698368,-269382.84375,,0.0013061468549802155,0.9827,,23s
retrain,5,8.974330781687362e-05,-280127.375,,0.0013061468549802155,0.9830,,29s
retrain,6,7.842540789279156e-05,-290350.21875,,0.0013061468549802155,0.9827,,34s
retrain,7,7.874583246399804e-05,-300303.5625,,0.0013061468549802155,0.9827,,40s
retrain,8,8.839039109783092e-05,-310022.90625,,0.0013061468549802155,0.9825,,46s
retrain,9,0.010718862174387323,-303054.71875,,0.0013061468549802155,0.9822,,52s
retrain,10,0.001370697996071734,-304612.34375,,0.0013061468549802155,0.9833,31.87,58s
retrain,11,0.00025687987382601323,-307558.1875,,0.0013061468549802155,0.9833,,1m03s
retrain,12,0.00013511343207986404,-310757.34375,,0.0013061468549802155,0.9835,,1m09s
retrain,13,0.00010660731221044747,-314117.15625,,0.0013061468549802155,0.9833,,1m14s
retrain,14,9.037615935667418e-05,-317747.40625,,0.0013061468549802155,0.9828,,1m19s
retrain,15,7.962548193754628e-05,-321776.6875,,0.0013061468549802155,0.9837,,1m25s
retrain,16,7.36230665211527e-05,-326403.71875,,0.0013061468549802155,0.9837,,1m30s
retrain,17,6.995716701785568e-05,-331788.5625,,0.0013061468549802155,0.9837,,1m35s
retrain,18,7.950537465124702e-05,-337988.0625,,0.0013061468549802155,0.9834,,1m41s
retrain,19,0.011336414182784695,-330599.90625,,0.0013061468549802155,0.9815,,1m46s
retrain,20,0.00203485562610828,-330882.75,,0.0013061468549802155,0.9824,34.35,1m52s
retrain,21,0.00037446728400730836,-332577.09375,,0.0013061468549802155,0.9823,,1m57s
retrain,22,0.0001529437689188247,-334872.8125,,0.0013061468549802155,0.9823,,2m03s
retrain,23,0.00011421460805625732,-337492.0625,,0.0013061468549802155,0.9825,,2m08s
retrain,24,9.325733564328402e-05,-340423.6875,,0.0013061468549802155,0.9825,,2m14s
retrain,25,7.553949171766968e-05,-343885.9375,,0.0013061468549802155,0.9829,,2m19s
retrain,26,6.942166178681267e-05,-347989.9375,,0.0013061468549802155,0.9830,,2m24s
retrain,27,6.674514508340507e-05,-352937.5,,0.0013061468549802155,0.9829,,2m30s
retrain,28,6.900223469710909e-05,-358696.3125,,0.0013061468549802155,0.9829,,2m35s
retrain,29,0.0057255736612574154,-356132.625,,0.0013061468549802155,0.9759,,2m40s
retrain,30,0.006265224465799596,-351923.1875,,0.0013061468549802155,0.9828,33.37,2m46s
