phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002517106217093048,-243518.734375,,0.0017792905588964337,0.9804,,20s
retrain,2,0.001176131749219106,-248696.765625,,0.0017792905588964337,0.9822,,41s
retrain,3,0.0003541238235067188,-253501.421875,,0.0017792905588964337,0.9828,,1m02s
retrain,4,0.00010629475158105683,-258513.28125,,0.0017792905588964337,0.9830,,1m23s
retrain,5,8.130213592909665e-05,-263695.78125,,0.0017792905588964337,0.9831,,1m44s
retrain,6,6.507588594977278e-05,-269172.71875,,0.0017792905588964337,0.9832,,2m05s
retrain,7,6.192323391854492e-05,-274960.90625,,0.0017792905588964337,0.9833,,2m26s
retrain,8,6.001498675662636e-05,-281157.21875,,0.0017792905588964337,0.9835,,2m47s
retrain,9,0.009095695295871701,-280953.03125,,0.0017792905588964337,0.9797,,3m08s
retrain,10,0.0017311219435825478,-283331.625,,0.0017792905588964337,0.9812,3.81,3m29s
retrain,11,0.00040762201744364577,-286342.59375,,0.0017792905588964337,0.9822,,3m49s
