phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0021177023963963922,-261505.890625,,0.00340256617031456,0.9824,,20s
retrain,2,0.0008857330981952449,-266437.0625,,0.00340256617031456,0.9820,,41s
retrain,3,0.0025958160406987494,-268860.1875,,0.00340256617031456,0.9816,,1m02s
retrain,4,0.00041869302579628615,-272310.71875,,0.00340256617031456,0.9819,,1m23s
retrain,5,0.00023700206258314818,-276227.09375,,0.00340256617031456,0.9827,,1m44s
retrain,6,9.133490619812316e-05,-280638.125,,0.00340256617031456,0.9826,,2m04s
retrain,7,8.380574643839889e-05,-285412.4375,,0.00340256617031456,0.9825,,2m25s
retrain,8,8.340428097678038e-05,-290602.125,,0.00340256617031456,0.9826,,2m46s
retrain,9,0.00201577205551827,-294538.5,,0.00340256617031456,0.9720,,3m06s
retrain,10,0.008717871318718729,-293118.125,,0.00340256617031456,0.9804,23.11,3m27s
retrain,11,0.0008205357494725225,-295256.65625,,0.00340256617031456,0.9823,,3m48s
retrain,12,0.00022354761498475758,-298038.0,,0.00340256617031456,0.9828,,4m09s
retrain,13,0.0001510079674257819,-301112.5,,0.00340256617031456,0.9828,,4m29s
retrain,14,0.00011059855183605881,-304537.46875,,0.00340256617031456,0.9827,,4m50s
retrain,15,0.00010213230828909825,-308327.78125,,0.00340256617031456,0.9828,,5m11s
retrain,16,9.820849426226536e-05,-312535.71875,,0.00340256617031456,0.9831,,5m32s
retrain,17,0.00010508982805574002,-317195.8125,,0.00340256617031456,0.9834,,5m53s
retrain,18,0.00012085652578001222,-322268.125,,0.00340256617031456,0.9823,,6m14s
retrain,19,0.010221075755396547,-319096.59375,,0.00340256617031456,0.9803,,6m35s
retrain,20,0.002301602863683365,-320396.53125,,0.00340256617031456,0.9816,36.86,6m55s
retrain,21,0.0009633626553229987,-322227.96875,,0.00340256617031456,0.9835,,7m16s
retrain,22,0.0002529410842010596,-324847.03125,,0.00340256617031456,0.9831,,7m37s
retrain,23,0.0001375527295769037,-327890.5625,,0.00340256617031456,0.9837,,7m55s
retrain,24,0.0001118990442463352,-331314.1875,,0.00340256617031456,0.9835,,8m16s
retrain,25,0.00010183195649199964,-335174.53125,,0.00340256617031456,0.9838,,8m37s
retrain,26,0.00010278175303634878,-339505.125,,0.00340256617031456,0.9841,,8m58s
retrain,27,0.00010994830182850517,-344398.40625,,0.00340256617031456,0.9840,,9m18s
retrain,28,0.00013337120944828106,-349830.09375,,0.00340256617031456,0.9845,,9m39s
retrain,29,0.012389046354204765,-345612.125,,0.00340256617031456,0.9817,,10m00s
retrain,30,0.0029019590215253023,-346406.4375,,0.00340256617031456,0.9831,42.94,10m21s
