phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0020092092998451943,-250590.4375,,0.0013674310408579526,0.9817,,18s
retrain,2,0.0026367350645149904,-257231.984375,,0.0013674310408579526,0.9797,,38s
retrain,3,0.0012647522650736695,-260752.921875,,0.0013674310408579526,0.9839,,59s
retrain,4,0.00025722839843753413,-264786.09375,,0.0013674310408579526,0.9836,,1m20s
retrain,5,0.0012550265402516136,-267511.65625,,0.0013674310408579526,0.9817,,1m40s
retrain,6,0.003729552838741802,-266829.34375,,0.0013674310408579526,0.9809,,2m01s
retrain,7,0.0010560572572052478,-268478.375,,0.0013674310408579526,0.9835,,2m21s
retrain,8,0.00020499300213365737,-271460.4375,,0.0013674310408579526,0.9839,,2m42s
retrain,9,8.802868062290751e-05,-274892.8125,,0.0013674310408579526,0.9839,,3m03s
retrain,10,6.114774405141361e-05,-278758.1875,,0.0013674310408579526,0.9841,36.09,3m24s
retrain,11,5.418562270618471e-05,-283095.0625,,0.0013674310408579526,0.9839,,3m44s
retrain,12,5.682327310641995e-05,-288024.3125,,0.0013674310408579526,0.9841,,4m05s
retrain,13,0.006905831069761674,-284803.0,,0.0013674310408579526,0.9813,,4m25s
retrain,14,0.0016129681906934517,-285391.21875,,0.0013674310408579526,0.9814,,4m46s
retrain,15,0.0011748111023460904,-286647.25,,0.0013674310408579526,0.9831,,5m06s
retrain,16,0.000630074953303847,-288431.84375,,0.0013674310408579526,0.9834,,5m27s
retrain,17,9.764006551801382e-05,-291223.3125,,0.0013674310408579526,0.9833,,5m47s
retrain,18,7.617138658291272e-05,-294445.5,,0.0013674310408579526,0.9836,,6m08s
retrain,19,6.573189851478674e-05,-298124.125,,0.0013674310408579526,0.9832,,6m28s
retrain,20,5.9378321664068306e-05,-302423.0,,0.0013674310408579526,0.9833,35.70,6m49s
retrain,21,5.573861942005654e-05,-307391.65625,,0.0013674310408579526,0.9830,,7m09s
retrain,22,5.3935725351038854e-05,-313216.375,,0.0013674310408579526,0.9837,,7m30s
retrain,23,0.00016663745571264977,-319570.5625,,0.0013674310408579526,0.9785,,7m50s
retrain,24,0.009638436131024112,-311573.8125,,0.0013674310408579526,0.9818,,8m11s
retrain,25,0.0014609690236917232,-312127.3125,,0.0013674310408579526,0.9821,,8m31s
retrain,26,0.00033866779908324436,-313707.78125,,0.0013674310408579526,0.9829,,8m52s
retrain,27,0.00010624820979768022,-316003.28125,,0.0013674310408579526,0.9827,,9m12s
retrain,28,7.526961954087407e-05,-318686.3125,,0.0013674310408579526,0.9827,,9m33s
retrain,29,6.304334003119341e-05,-321816.65625,,0.0013674310408579526,0.9830,,9m53s
retrain,30,5.78458340120657e-05,-325477.09375,,0.0013674310408579526,0.9827,34.39,10m14s
